query,entity_type,entity_id,display_title,display_subtitle,token_text,token_type,related_asset_id,related_fund_id,related_project_id,relation_type,source_table,rank_weight
1120,fund,112018,[19호] 이지스KORIF사모부동산투자신탁19호,운용 | 리테일 | 대한민국,[19호] 이지스KORIF사모부동산투자신탁19호 112018 NH농협생명보험 농협생명보험 대한지방행정공제회 삼성생명 삼성생명보험 애큐온캐피탈 우리은행 케이비생명 한국지방재정공제회 홈플러스삼천포점 (투자) 홈플러스죽도점 (투자) 홈플러스진주점 (투자),canonical_entity,ast_1f446ce9025d,112018,,self,"asset_fund_links, asset_project_link_resolution, beneficiary_exposures, lender_exposures, v_funds_enriched",100
1120,fund,112019,[17-1호] 이지스KORIF사모부동산투자신탁17-1호,청산 | 오피스 | 대한민국,[17-1호] 이지스KORIF사모부동산투자신탁17-1호 112019 London Office Ropemaker Place,canonical_entity,ast_f5fc5bbdb980,112019,,self,"asset_fund_links, asset_project_link_resolution, v_funds_enriched",100
1120,fund,112020,[17-2호] 이지스KORIF사모부동산투자신탁17-2호,청산 | 오피스 | 대한민국,[17-2호] 이지스KORIF사모부동산투자신탁17-2호 112020 London Office Ropemaker Place,canonical_entity,ast_f5fc5bbdb980,112020,,self,"asset_fund_links, asset_project_link_resolution, v_funds_enriched",100
1120,fund,112021,[17-3호] 이지스KORIF사모부동산투자신탁17-3호,청산 | 오피스 | 대한민국,[17-3호] 이지스KORIF사모부동산투자신탁17-3호 112021 London Office Ropemaker Place,canonical_entity,ast_f5fc5bbdb980,112021,,self,"asset_fund_links, asset_project_link_resolution, v_funds_enriched",100
1120,fund,112022,[17-4호] 이지스KORIF사모부동산투자신탁17-4호,청산 | 오피스 | 대한민국,[17-4호] 이지스KORIF사모부동산투자신탁17-4호 112022 London Office Ropemaker Place,canonical_entity,ast_f5fc5bbdb980,112022,,self,"asset_fund_links, asset_project_link_resolution, v_funds_enriched",100
1120,fund,112024,[25호] 이지스일반사모부동산투자신탁25호(운용),운용 | 오피스 | 대한민국,[25호] 이지스일반사모부동산투자신탁25호(운용) 112024 삼성화재 이지스레지던스리츠 이지스밸류리츠 트윈트리타워 현대해상화재보험,canonical_entity,ast_b79d97794e21,112024,,self,"asset_fund_links, beneficiary_exposures, lender_exposures, v_funds_enriched",100
1120,fund,112025,[22호] 이지스 KORIF 사모부동산투자신탁 22호,청산 | 오피스 | 대한민국,[22호] 이지스 KORIF 사모부동산투자신탁 22호 112025 서영빌딩 (투자) 탑빌딩 트리스빌딩 (투자) 호수빌딩,canonical_entity,ast_03afde6453fc,112025,,self,"asset_fund_links, asset_project_link_resolution, v_funds_enriched",100
1120,fund,112026,[20-1호] 이지스해외간접RES사모부동산투자신탁제20-1호,운용 | 복합(오피스) | 글로벌,[20-1호] 이지스해외간접RES사모부동산투자신탁제20-1호 112026 PartnersGroup Real Estate Secondary 2013 개인(박상태) 과학기술인공제회,canonical_entity,ast_a69271e859b5,112026,,self,"asset_fund_links, asset_project_link_resolution, beneficiary_exposures, v_funds_enriched",100
1120,fund,112027,[23호] 이지스타이탄사모부동산투자신탁23호,청산 | 대한민국,[23호] 이지스타이탄사모부동산투자신탁23호 112027,canonical_entity,,112027,,self,v_funds_enriched,100
1120,fund,112028,[24호] 이지스사모부동산투자신탁24호,청산 | 복합(호텔) | 대한민국,[24호] 이지스사모부동산투자신탁24호 112028,canonical_entity,,112028,,self,v_funds_enriched,100
