query,total,fund,asset,project,lender,beneficiary,error
이오타서울,16,8,2,6,0,0,
눈스퀘어,8,1,1,1,2,3,
국민연금,23,8,10,4,0,1,
홈플러스,50,10,29,0,0,11,
1120,50,50,0,0,0,0,
