sgg_code,sgg_name,umd_name,jibun,deal_date,deal_amount_10k_krw,building_type,row_count,sum_building_area_m2,row_areas_m2,floors,uses,document_ids
11500,강서구,마곡동,767,2025-12-15,1356520,집합,4,6197.92,1549.48|1549.48|1549.48|1549.48,|||,숙박|숙박|숙박|숙박,2ab8c1e08b2854e6a65cbcaf155e74ec|6a85f948a33c56138049587bba01cfab|7b46f702c40c5188914bda4903096458|4cf61aa03fd9581c8f67f89f82146bd1
11650,서초구,서초동,1445-14,2025-05-12,1579675,집합,4,5968.76,1492.19|1492.19|1492.19|1492.19,|||,업무|업무|업무|업무,423e06f31a4f50628f07ea030beb4127|df3dd3cf850c5cbbb05cd2fd04ef0bff|379bd240e29a56b9846bad9141e04222|f1bfba06fd87540e897f68a7c1c308ee
11560,영등포구,여의도동,25,2025-12-23,795839,집합,10,5968.1,596.81|596.81|596.81|596.81|596.81|596.81|596.81|596.81|596.81|596.81,|||||||||,업무|업무|업무|업무|제2종근린생활|제2종근린생활|제2종근린생활|제1종근린생활|제1종근린생활|제1종근린생활,fcdfbc9cacc459b2b1b1e603a1203926|5fe4d7a8649e5c09a0219bac78d3bf4f|b3ca91c9fb0e5b5f88f874a5490da102|e79d139ff2025108b392551994bc9aa3|bb91124ef81f52e59c7836e641e1ec22|b3321c51a6a35a6e81e3c6020a1a7b5c|dbe43dfdbe8c56889622e41b5c923ea3|d14d6e2bc43b5dcfa3589cfebd05b11d|76780a66b5e85eb78524d3fbedb58e80|8c3056eb886f5d7ba5e0baee4226c76f
11500,강서구,마곡동,767,2025-07-04,2442387,집합,3,5937.69,1979.23|1979.23|1979.23,||,업무|업무|업무,e4bfa655e9b95c8381eeef81206892de|ce12740660885a539f48a0814e30db8a|a4eeb28b741759cb90ecbfce448e3db0
11170,용산구,동자동,56,2025-02-27,1439914,집합,8,5883.04,735.38|735.38|735.38|735.38|735.38|735.38|735.38|735.38,|||||||,숙박|숙박|숙박|숙박|숙박|숙박|숙박|숙박,c4b7c07220e057d8b3d9b1d7678c9698|301976fe7ebb546b85817e8402d63a93|823ac7d11e9a541ab014deee16de8f7b|94b6b92242985895bfa6042a8240c611|13203736f4ad5dc297cd4863494f8bf4|fdb65edf668f5169b16e7b899d216635|bffdcd93af62546eb8a14814625d9ed5|ce21e5a33f435712a46adde15b6e2fea
11650,서초구,서초동,1321-11,2025-06-20,2494461,집합,6,5593.38,932.23|932.23|932.23|932.23|932.23|932.23,16|13|15|11|14|17,업무|업무|업무|업무|업무|업무,36a82142a53b5f49a4480d740ef5f8b7|6826aed02b1157eb9919d1f608e00311|8f1ee34ec6135885a0ed26003494cea4|88f5e2a674275fcaab6c36dfaab94419|33befc3bd981509983134bb5694f4cd1|d9edc0cf9eb9524cb2316f54656fccc3
11140,중구,신당동,4**,2025-07-25,1330000,일반,2,5328.94,2664.47|2664.47,|,업무|업무,0b32d16fbf1d596f9eedbbbeca6af047|6c39cc40d31953c296b28ab153e363eb
11650,서초구,서초동,1445-14,2025-05-12,1389143,집합,4,5248.96,1312.24|1312.24|1312.24|1312.24,|||,업무|업무|업무|업무,47180db672ba5e0aa9fb371cec222bb2|180f657cd4c15bd08edd6a4facb22aa1|b324878b99dd5401906e48b5cf6f4e30|89672e8c7d3250a685ffc664b57025ab
41150,의정부시,의정부동,3*,2025-01-24,64082,일반,7,4989.53,712.79|712.79|712.79|712.79|712.79|712.79|712.79,||||||,제1종근린생활|제1종근린생활|제1종근린생활|제1종근린생활|제1종근린생활|제1종근린생활|제1종근린생활,8ee1844afbc051b7a1e22669f7a8e4ca|ac1f99e8b2095dcd8f075121da600b3d|753f24d1def15681b42994c1f58ea8e9|8823b4611196589fa00645b9dc8ca573|7187c56da2b95e93b399f45e3491f8ad|252ecbacfdb95aa490a563733b564792|35646f04575d596ab1908ceff49f2eca
11200,성동구,도선동,3*,2025-03-31,6700000,일반,2,4685.26,2342.63|2342.63,|,업무|업무,ff8b7303be0a57349b23f70055876818|cc4608e958be5d789777d44edd26a140
11680,강남구,대치동,9**,2025-11-07,3290000,일반,2,4614.04,2307.02|2307.02,|,업무|업무,bebcfe7d60e25d94ba8ab792e26fa62f|c3857cdf935355dc8a596bcec6e88184
11680,강남구,역삼동,718-20,2025-04-08,1120843,집합,8,4569.84,571.23|571.23|571.23|571.23|571.23|571.23|571.23|571.23,10|5|8|9|3|7|4|6,업무|업무|업무|업무|업무|업무|업무|업무,869226c5aa285f2282deaffad0928ba6|443123cde4b657f0ace1ae60010a9c43|f44ab0c645555bf28b6b8b472c538ecd|4e12b7f7d7c95b1db9c57fa64cf9aa88|daf1ed3cfa485cca95b88a0296fd3261|d98875506db550919584a066070e75b4|ce39dde824c25ab482cf6a0a1208615e|8a909f0c6a6459f991de4dfc1283fec2
11440,마포구,상암동,1595-1,2025-08-29,1104660,집합,3,4296.78,1432.26|1432.26|1432.26,9|7|8,제2종근린생활|제2종근린생활|제2종근린생활,6d0319a0cda05ebfab94deb56ffaa1f6|02879cf0e54c5bfd92f11d3438bab0a9|ab4cdac84f82535386fd661e39d22b20
