sample_no,sample_frame,audit_class,audit_reason,region,sgg_code,sgg_name,umd_name,jibun,deal_date,building_type,building_use,building_area_m2,plottage_area_m2,floor,deal_amount_10k_krw,area_bin,document_id
35,RANDOM_60,REMOVE_CLEAR,집합건물·소면적·층 정보로 개별 호실 거래 가능성 높음,서울,11140,중구,중림동,355,2025-08-06,집합,판매,50.4,,,55000,A_0_100,1518cdc37ebf54ca90df374622f30ebc
36,RANDOM_60,REMOVE_CLEAR,건물면적 500㎡ 이하로 대형 비주거 거래 기준에서 명확히 소규모,경기,41285,고양시 일산동구,중산동,1***,2025-03-07,일반,제2종근린생활,70.0,319.8,,70000,A_0_100,b2b9da97e0355314a090cbaedef8d819
37,RANDOM_60,REVIEW_EDGE,"일반건물 1,000㎡ 초과로 건물 전체 거래일 수 있어 단순 소형으로 보기 어려움",서울,11140,중구,흥인동,1**,2025-05-16,일반,제1종근린생활,1235.79,406.3,,1000000,D_1000_2000,bc5d0baf1dc55e69b99e137ee42580ed
38,RANDOM_60,REMOVE_CLEAR,집합건물·소면적·층 정보로 개별 호실 거래 가능성 높음,서울,11440,마포구,신수동,450,2025-04-23,집합,제2종근린생활,17.82,,1,10000,A_0_100,bbf27471b48859a38298a2ae537c8299
39,RANDOM_60,REMOVE_CLEAR,집합건물·소면적·층 정보로 개별 호실 거래 가능성 높음,서울,11230,동대문구,답십리동,542-1,2025-09-25,집합,제1종근린생활,37.49,,1,57500,A_0_100,852a85c9701258ab91987847ab833594
40,RANDOM_60,REMOVE_CLEAR,집합건물·소면적·층 정보로 개별 호실 거래 가능성 높음,경기,41173,안양시 동안구,호계동,1327,2025-03-29,집합,제2종근린생활,28.0,,,38500,A_0_100,50ec30de7bca5eb79b66c85b0acde101
41,RANDOM_60,REMOVE_CLEAR,건물면적 500㎡ 이하로 대형 비주거 거래 기준에서 명확히 소규모,경기,41113,수원시 권선구,고색동,2**,2025-02-17,일반,제2종근린생활,298.12,499,,170000,B_100_500,2433636cac0a5672a9e781ed6c68ce63
42,RANDOM_60,REMOVE_CLEAR,집합건물·소면적·층 정보로 개별 호실 거래 가능성 높음,경기,41273,안산시 단원구,원곡동,994-8,2025-09-23,집합,업무,21.0,,2,11415,A_0_100,a62614899c625d3fb5a5f92d62414883
43,RANDOM_60,REMOVE_CLEAR,집합건물·소면적·층 정보로 개별 호실 거래 가능성 높음,서울,11230,동대문구,제기동,892-71,2025-11-22,집합,판매,6.6,,,6000,A_0_100,03f9562829b75e939bd2922f0be64de6
44,RANDOM_60,REVIEW_EDGE,"일반건물 1,000㎡ 초과로 건물 전체 거래일 수 있어 단순 소형으로 보기 어려움",서울,11440,마포구,연남동,5**,2025-02-18,일반,업무,2907.63,355.7,,3300000,E_2000_3300,cb77ba44eb2f5e2090c9f824a0edd8fe
