theme,quarter,date,publisher,title,url
PF,2025Q4,2025-10-17,코어비트,"삼성물산, 메트로·서울로타워 책임임차 확정..브릿지론 3개월 만기연장 성공 - 코어비트",https://news.google.com/rss/articles/CBMiUEFVX3lxTFAtTzRubnk3Z1NaRUFzNXZEUmRUZ1BJeEREWm1rMnkyLVRBMFMwSmJPelY0bGZvV1h5V2s4NS1yWWJJWlBmNzloZmVKVTlBWGoy?oc=5
PF,2025Q4,2025-10-24,딜사이트,"메트로·서울로타워 브릿지론, 내년 1월까지 연장 - 딜사이트",https://news.google.com/rss/articles/CBMiT0FVX3lxTE9VWHNpMlRBbWQyVmtiQ3BWY09mNDI5T3BJVUJNa2c1clI4clZlaVo5X3FkOGVSb1VncHBJdXBqcTNuV05CcnhFd0ZKSlM0Xzg?oc=5
대출,2025Q1,2025-01-15,연합인포맥스,"강남 임피리얼 팰리스 호텔, 4천억 리파이낸싱…""PF보단 담보대출"" - 연합인포맥스",https://news.google.com/rss/articles/CBMicEFVX3lxTFBoUF80eHNqLUpNZXlrcmJ3RlVfV3Zpb1JyVHV0bEVidXNEZGNDTVR4MDFvU3lHeW0xN2wwSW9yS0p0T21LVWRNZC11ZWs3emNrQUdob0ZYSjJBQjJtc1VsU1k4c1ptVDFNaFFNM01uUmY?oc=5
대출,2025Q1,2025-01-24,대한경제,"[흔들리는 건설, PF 경색 우려] “부동산PF, 내부 승인 받기 어려워요”…서울 PF도 만기연장시 이자보증 요구 - 대한경제",https://news.google.com/rss/articles/CBMidEFVX3lxTFA1akxVV2F1OXFGOHRtMXJaeDhEV1N4d1JYUWZ4Y2gtQXg0QkJROG5HeVR5bDViOVgtM2pqRkswcEtFQmxkTjI5MjFHalJjdVdWX0k2eVpyRnhkQzdUREl2Rktqak9vLW14QWh3RnBOWVRsZFhR?oc=5
대출,2025Q1,2025-02-04,땅집고,"엠디엠플러스 '아크로 여의도 더원', 완판 앞두고 '1400억' 리파이낸싱 - 땅집고",https://news.google.com/rss/articles/CBMif0FVX3lxTE85bTNvTUNoZW1CY1U2SWtKNzVpSmlKUWdwcUlqV3htbHl1TWtLNWRmTlM5S2FqSzc3dVVhejFodVdTc3RLUTAweVFLWHliMXBDdkZWOUFnSzRaT2gyQlV0ZUd0NV92NHVYcHA1eWpvdXc3dGZQS18tVkxjR2hPUW_SAXNBVV95cUxPUVdCemozR1ZnV2FvRUhTa2lYM3VGbXIwMzExa2lXbF9lQjBKaG43ZE1qZVRRMlpHb1A0LWpQbklZQ0o2MjNlSTJpbVZyUll6WmlZNVdER0xBaXRQUDNEUG9CaERHUk1VZjlBeHVidkQ0RVFF?oc=5
대출,2025Q2,2025-04-03,매일경제,1.75兆 여의도 파크원 리파이낸싱 속도 - 매일경제,https://news.google.com/rss/articles/CBMiUkFVX3lxTFBLVlJkVEZBOUlKVU1NTmZFT3VtV2lvWlQyTmVzMktnaTdPYjF0RXdmc3JjbzZQbGJnQTMxYlltMkFJR3R5bzVvb3Z5S3JvbGk4Y3c?oc=5
대출,2025Q2,2025-04-09,ksdaily.co.kr,LS증권 PF대출 변제 방해 법원 판단...김포공원 개발사업권 강탈 미수 - ksdaily.co.kr,https://news.google.com/rss/articles/CBMibEFVX3lxTE1zc3ZiNFhEcnI3QU54SlBYbk0wbGpLdjNFQnNwZXZpU1liWlE3X2hJWUp6VGhKVGtfMlg3TVAxTHJGZzJsSkxkbGh4MUZkVGNIUVBaMjAzX2dlSjBLQUJCOGtqWVRyWVBmcDdVQg?oc=5
대출,2025Q2,2025-04-20,bloter.net,"코람코라이프인프라리츠, 1900억 규모 자금 조달…남청라 물류센터 담보대출 차환 - bloter.net",https://news.google.com/rss/articles/CBMiaEFVX3lxTE5tUEhNY1JaV1Y1ZVVtREwtdTZlcXpTb0NacDN3bnR0cG5xRFJBREgySUpDWXdZMFUwM19PM1habWJRaHVwOG9CM0l0U3p3ZWNNU3FBZXpubzVhU1dqUEExaGNpYjY5b2Vv0gFsQVVfeXFMUER2eExiVmtnSVJnQllzcnpkaERGYURDdkZBNFloUzk5bHhmVUZ5dVdYTklaRml2Ymdqc1V1MmpVYk1OS21NcENOd2hUZktKYWk4M0VpamU4WHNtaVhmTHNxdDR0bS1SaHRUazU5?oc=5
대출,2025Q3,2025-07-14,매일경제,수도권 대출 절벽…제2금융권 문의 빗발 - 매일경제,https://news.google.com/rss/articles/CBMiVEFVX3lxTE5HVFBlVEp1UUdoTDI1c1V4aGFzN2tWOG5rcm5ONml0eGhrU1FqSzI4S2RfTkN3cG5mQjNpUVBwOEVPY01YeTVmWnNRWkVOSktpem9Haw?oc=5
대출,2025Q3,2025-07-25,마켓인,"군인공제회 보유 판교H스퀘어, 내년 7월 대출 5380억 만기…매각 '아직' - 마켓인",https://news.google.com/rss/articles/CBMickFVX3lxTE1XTkF0cjVRZjZxT0h0ZnVKekl6Vmd5aUNqc0NJTTBCSlJNNE1SRVJjS0JrSE1md0dHYlNsWC03WGg5bE9GNEJhYlhsT05OLVBFckhldlV1Z3k3bW52UjdEcUswdlI4ZVIyNTV3VWhRTWZJQQ?oc=5
