domain,severity,issue_type,fund_id,source_asset_name,db_asset_candidates_for_fund,recommendation,asset_id,db_asset_name,relation_type
fund_asset_link,info,supabase_pair_not_in_today_source_exact,120077,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_30efc1e2c218,이지스경산물류제1호일반사모부동산투자회사의 1종 종류주식,inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,120082,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_9c85ee271a7f,이지스경산로지스1호(보통주),inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,120083,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_9c85ee271a7f,이지스경산로지스1호(보통주),inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,120086,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_616c3d79da75,경산 쿠팡물류센터,inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,120087,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_616c3d79da75,경산 쿠팡물류센터,inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,120088,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_616c3d79da75,경산 쿠팡물류센터,inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,120089,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_146d3e80165b,"신동해빌딩, NICE2사옥",inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,120090,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_146d3e80165b,"신동해빌딩, NICE2사옥",inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,120092,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_bd54043679c9,"재생에너지 플랫폼회사(""HoldCo"")에 대한 지분 및 주주대여금",inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,120093,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_bd54043679c9,"재생에너지 플랫폼회사(""HoldCo"")에 대한 지분 및 주주대여금",inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,120100,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_5804290d6389,용산라이프PFV 대여금,inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,120101,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_5804290d6389,용산라이프PFV 대여금,inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,120105,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_a60db5e30056,이지스 330호 (OPUS407/舊뉴욕제과빌딩),inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,120106,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_e0a9abed71bf,롯데수원역쇼핑타운토지,inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,120107,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_e0a9abed71bf,롯데수원역쇼핑타운토지,inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,120113,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_cd9937cc8678,와이디427피에프브이 주식회사,inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,120114,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_b9718f8cb5fe,아레나스영종,inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,120115,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_b9718f8cb5fe,아레나스영종,inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,120116,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_b9718f8cb5fe,아레나스영종,inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,120117,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_b9718f8cb5fe,아레나스영종,inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,120118,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_109318d66df6,화성 석포리 물류센터,inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,120119,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_74fc8d406c81,신라스테이울산,inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,190003,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_34e35d0dff33,분당야탑물류센터,inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,190004,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_34e35d0dff33,분당야탑물류센터,inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,190010,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_73e5216b97f6,이천 마장면 물류센터,inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,190015,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_0555a6694264,이지스제572호부동산일반사모투자회사(1종),inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,190016,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_0555a6694264,이지스제572호부동산일반사모투자회사(1종),inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,190018,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_d139acda1f42,하남시풍산동9MW 데이터센터,inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,190019,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_d139acda1f42,하남시풍산동9MW 데이터센터,inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,200003,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_1f446ce9025d,홈플러스죽도점 (투자),inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,200036,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_edd6f6c3e3e5,더피나클강남 (투자),inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,200037,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_edd6f6c3e3e5,더피나클강남 (투자),inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,200038,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_c77b0263f7c6,PFV_Westwood 지분증권,inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,200039,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_3575c5ffffe0,Dallas KPMG Plaza Senior Loan,inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,200044,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_b1f5f079a694,Miami Courvoisier Center Senior Loan,inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,300006,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_4d1430b5f175,공모주,inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,300007,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_4d1430b5f175,공모주,inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,300008,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_4d1430b5f175,공모주,inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,300009,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_4d1430b5f175,공모주,inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,300010,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_fbe13b6b1e0a,글로벌 리츠,inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,300011,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_f230c76d6975,"AA- 이상 채권, 국내 상장 리츠, 공모주, 스팩",inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,300012,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_4d1430b5f175,공모주,inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,300016,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_f230c76d6975,"AA- 이상 채권, 국내 상장 리츠, 공모주, 스팩",inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,300018,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_4d1430b5f175,공모주,inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,300019,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_4d1430b5f175,공모주,inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,300020,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_4d1430b5f175,공모주,inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,300028,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_4d1430b5f175,공모주,inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,300032,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_4d1430b5f175,공모주,inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,300033,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_4d1430b5f175,공모주,inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,300034,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_4d1430b5f175,공모주,inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,300035,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_4d1430b5f175,공모주,inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,300036,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_4d1430b5f175,공모주,inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,300037,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_4d1430b5f175,공모주,inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,300039,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_4d1430b5f175,공모주,inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,300040,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_f230c76d6975,"AA- 이상 채권, 국내 상장 리츠, 공모주, 스팩",inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,300044,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_4d1430b5f175,공모주,inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,300047,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_4d1430b5f175,공모주,inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,300050,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_4d1430b5f175,공모주,inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,300051,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_4d1430b5f175,공모주,inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,300052,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_4d1430b5f175,공모주,inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,300054,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_4d1430b5f175,공모주,inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,300057,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_4d1430b5f175,공모주,inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,300061,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_4d1430b5f175,공모주,inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,300063,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_4d1430b5f175,공모주,inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,300073,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_4d1430b5f175,공모주,inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,300074,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_4d1430b5f175,공모주,inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,300075,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_4d1430b5f175,공모주,inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,300076,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_4d1430b5f175,공모주,inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,300079,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_4d1430b5f175,공모주,inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,300080,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_4d1430b5f175,공모주,inferred_underlying_asset
fund_asset_link,info,supabase_pair_not_in_today_source_exact,R00002,,,"May be older, inferred, synthetic, or out-of-scope for today's active source export.",ast_1f446ce9025d,홈플러스죽도점 (투자),inferred_underlying_asset
