domain,severity,issue_type,fund_id,field,source_column,db_column,source_value,db_value,difference,recommendation,asset_id,asset_code,db_api_enrichment_status,db_building_ledger_source,source_asset_name,db_asset_candidates_for_fund,db_asset_name,relation_type,source_rows,db_rows
asset_master,review,asset_field_change_candidate,,business_stage,사업단계,business_stage,운영/실물,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_f3cb5064d76b,A112556003,found,BldRgstHubService.getBrTitleInfo,,,,,,
asset_master,review,asset_field_change_candidate,,portfolio_region,투자지역,portfolio_region,대한민국,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_f3cb5064d76b,A112556003,found,BldRgstHubService.getBrTitleInfo,,,,,,
asset_master,review,asset_field_change_candidate,,country_code,국내/해외,country_code,KR,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_f3cb5064d76b,A112556003,found,BldRgstHubService.getBrTitleInfo,,,,,,
asset_master,review,asset_field_change_candidate,,site_area,토지면적(㎡),site_area,,1271,,Physical fields may be API-enriched. Review provenance before overwriting.,ast_f3cb5064d76b,A112556003,found,BldRgstHubService.getBrTitleInfo,,,,,,
asset_master,review,asset_field_change_candidate,,completion_date,준공(예정)일,completion_date,,2023-06-28,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_f3cb5064d76b,A112556003,found,BldRgstHubService.getBrTitleInfo,,,,,,
asset_master,review,asset_field_change_candidate,,parking,주차대수,parking,,옥내 77 / 옥외 0,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_f3cb5064d76b,A112556003,found,BldRgstHubService.getBrTitleInfo,,,,,,
asset_master,review,asset_field_change_candidate,,portfolio_region,투자지역,portfolio_region,유럽,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_07f69f4d8b19,A112558001,not_checked,,,,,,,
asset_master,review,asset_field_change_candidate,,country_code,국내/해외,country_code,OVERSEAS,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_07f69f4d8b19,A112558001,not_checked,,,,,,,
asset_master,review,asset_field_change_candidate,,address_text,"전체주소(시/도, 구/군 포함)",address_text,경기도 성남시 수정구 창업로 18,경기도 성남시 수정구 시흥동 288-2,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_ea83005ce057,A112559001,pending,building_cache.json,,,,,,
asset_master,review,asset_field_change_candidate,,business_stage,사업단계,business_stage,운영/실물,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_ea83005ce057,A112559001,pending,building_cache.json,,,,,,
asset_master,review,asset_field_change_candidate,,portfolio_region,투자지역,portfolio_region,대한민국,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_ea83005ce057,A112559001,pending,building_cache.json,,,,,,
asset_master,review,asset_field_change_candidate,,site_area,토지면적(㎡),site_area,,13830,,Physical fields may be API-enriched. Review provenance before overwriting.,ast_ea83005ce057,A112559001,pending,building_cache.json,,,,,,
asset_master,review,asset_field_change_candidate,,parking,주차대수,parking,,옥내 973 / 옥외 0,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_ea83005ce057,A112559001,pending,building_cache.json,,,,,,
asset_master,review,asset_field_change_candidate,,portfolio_region,투자지역,portfolio_region,북미,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_834d830d4c5a,A112560001,not_checked,,,,,,,
asset_master,review,asset_field_change_candidate,,country_code,국내/해외,country_code,OVERSEAS,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_834d830d4c5a,A112560001,not_checked,,,,,,,
asset_master,review,asset_field_change_candidate,,business_stage,사업단계,business_stage,개발,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_e7e65d3bc117,A112561001,found,BldRgstHubService.getBrTitleInfo,,,,,,
asset_master,review,asset_field_change_candidate,,portfolio_region,투자지역,portfolio_region,대한민국,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_e7e65d3bc117,A112561001,found,BldRgstHubService.getBrTitleInfo,,,,,,
asset_master,review,asset_field_change_candidate,,country_code,국내/해외,country_code,KR,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_e7e65d3bc117,A112561001,found,BldRgstHubService.getBrTitleInfo,,,,,,
asset_master,review,asset_field_change_candidate,,site_area,토지면적(㎡),site_area,,1452,,Physical fields may be API-enriched. Review provenance before overwriting.,ast_e7e65d3bc117,A112561001,found,BldRgstHubService.getBrTitleInfo,,,,,,
asset_master,review,asset_field_change_candidate,,parking,주차대수,parking,,옥내 106 / 옥외 4,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_e7e65d3bc117,A112561001,found,BldRgstHubService.getBrTitleInfo,,,,,,
asset_master,review,asset_field_change_candidate,,canonical_name,자산(건물)명,canonical_name,글로벌 리츠,Global REITs (수협),,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_f5220c768a13,A112564001,not_checked,,,,,,,
