domain,severity,issue_type,fund_id,field,source_value,db_value,difference,source_rows,db_rows,recommendation
lender_exposure,review,fund_exposure_sum_change_candidate,P00035,committed,60000000000,320351200000,-260351200000,2,8,Review row-level exposure changes before replacing detail table.
lender_exposure,review,fund_exposure_sum_change_candidate,P00035,drawn,60000000000,320350000000,-260350000000,2,8,Review row-level exposure changes before replacing detail table.
lender_exposure,review,fund_exposure_sum_change_candidate,P00035,remaining,0,1200000,-1200000,2,8,Review row-level exposure changes before replacing detail table.
lender_exposure,review,fund_exposure_sum_change_candidate,P00037,committed,810500000000,957000000000,-146500000000,17,40,Review row-level exposure changes before replacing detail table.
lender_exposure,review,fund_exposure_sum_change_candidate,P00037,drawn,810500000000,957000000000,-146500000000,17,40,Review row-level exposure changes before replacing detail table.
lender_exposure,update_candidate,source_fund_exposure_not_in_supabase,R00008,,,,,1,0,Exposure for this fund exists in today's source but not in Supabase.
lender_exposure,info,supabase_exposure_not_in_today_source,112080,,,,,0,1,May be inactive/out-of-scope or removed from today's source export.
lender_exposure,info,supabase_exposure_not_in_today_source,112268,,,,,0,2,May be inactive/out-of-scope or removed from today's source export.
lender_exposure,info,supabase_exposure_not_in_today_source,112442,,,,,0,3,May be inactive/out-of-scope or removed from today's source export.
lender_exposure,info,supabase_exposure_not_in_today_source,112475,,,,,0,5,May be inactive/out-of-scope or removed from today's source export.
lender_exposure,info,supabase_exposure_not_in_today_source,112557,,,,,0,9,May be inactive/out-of-scope or removed from today's source export.
lender_exposure,info,supabase_exposure_not_in_today_source,112630,,,,,0,1,May be inactive/out-of-scope or removed from today's source export.
lender_exposure,info,supabase_exposure_not_in_today_source,P00002,,,,,0,3,May be inactive/out-of-scope or removed from today's source export.
lender_exposure,info,supabase_exposure_not_in_today_source,P00027,,,,,0,1,May be inactive/out-of-scope or removed from today's source export.
lender_exposure,info,supabase_exposure_not_in_today_source,P00028,,,,,0,3,May be inactive/out-of-scope or removed from today's source export.
lender_exposure,info,supabase_exposure_not_in_today_source,P00031,,,,,0,1,May be inactive/out-of-scope or removed from today's source export.
lender_exposure,info,supabase_exposure_not_in_today_source,P00036,,,,,0,4,May be inactive/out-of-scope or removed from today's source export.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112026,committed,30173079000,29680833000,492246000,2,2,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112026,remaining,23263840371,22771594371,492246000,2,2,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112030,committed,75395000000,74165000000,1230000000,2,2,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112030,remaining,56992958354,55762958354,1230000000,2,2,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112032,committed,22633579000,22264333000,369246000,2,2,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112032,remaining,16474608024,16105362024,369246000,2,2,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112049,committed,419251285834,412411587159,6839698675,3,3,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112049,remaining,-76969955322,-83809653998,6839698676,3,3,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112051,committed,43933316300,43285057100,648259200,2,2,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112051,remaining,28748387380,28100128180,648259200,2,2,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112057,committed,226185000000,222495000000,3690000000,5,5,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112057,invested,84287513234,86159144031,-1871630797,5,5,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112057,remaining,141897486766,136335855970,5561630796,5,5,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112074,committed,52698900000,51921300000,777600000,1,1,Review row-level exposure changes before replacing detail table.
