project_name,primary_asset_id,master_project_id,master_project_code,mission_project_id,mission_project_code_before,mission_project_code_after,payload_fields
Dallas Office One AT&T Plaza,ast_8a013a44ba44,project_notion_3268ced4-3c47-81a1-8fba-f225c28fa9e0,PRJ-113,project_notion_3258ced4-3c47-81a4-bf1c-d0bb8e56df6a,,PRJ-113,"metadata,project_code"
Toronto The One Super-senior Loan (Receivership Funding),ast_beb45fea6c85,project_notion_3268ced4-3c47-811a-955d-d4879f6c369a,PRJ-99,project_notion_3258ced4-3c47-8120-8974-d89af9db54c3,,PRJ-99,"metadata,project_code"
AP Tower,,project_notion_3268ced4-3c47-811e-af3e-f5ffd2588739,PRJ-182,project_notion_3258ced4-3c47-81cf-afee-c4a0e68e4772,,PRJ-182,"metadata,project_code"
NPL 3호,ast_0bed91ccb4ec,project_notion_3268ced4-3c47-81b2-9dab-cca1334c19df,PRJ-77,project_notion_3258ced4-3c47-8178-917e-c3f68c562c3e,,PRJ-77,"metadata,project_code"
ARES Special Opportunities Fund,ast_71e4c2f1e642,project_notion_3268ced4-3c47-811f-932e-e289eb608c23,PRJ-90,project_notion_3258ced4-3c47-81ba-aaae-e4387fce5d2e,,PRJ-90,"metadata,project_code"
안산시 고잔동 오피스텔 개발,ast_2afd5e4b541f,project_notion_3268ced4-3c47-8122-8042-d520493fbf51,PRJ-131,project_notion_3258ced4-3c47-810c-b6ce-c7f33d6c28fc,,PRJ-131,"metadata,project_code"
대구 경산 쿠팡센터,ast_616c3d79da75,project_notion_3268ced4-3c47-8122-96e2-c99bf96da91c,PRJ-26,project_notion_3258ced4-3c47-819b-a52f-e7c8354328c7,,PRJ-26,"metadata,project_code"
Ares Landmark Real Estate Partners VIII,ast_4409771035d2,project_notion_3268ced4-3c47-8123-a2ec-f00fcd30009b,PRJ-89,project_notion_3258ced4-3c47-812d-b8db-dc1ea518edaf,,PRJ-89,"metadata,project_code"
서리풀 개발사업,ast_a5ca6d81dcd9,project_notion_3268ced4-3c47-8124-9d19-f74df970af1b,PRJ-159,project_notion_3258ced4-3c47-81aa-adde-cf3478b10198,,PRJ-159,"metadata,project_code"
뉴욕제과(OPUS407),,project_notion_3268ced4-3c47-81a1-9366-f55aa7361352,PRJ-169,project_notion_3258ced4-3c47-8174-bbc0-d6ba8619eea5,,PRJ-169,"metadata,project_code"
US Courtyard by Marriott Portfolio Rescue Capital Loan,ast_86bf4722d494,project_notion_3268ced4-3c47-8125-98b6-fdc24490a505,PRJ-105,project_notion_3258ced4-3c47-81dc-8c41-fd98a32e2344,,PRJ-105,"metadata,project_code"
마곡 원그로브,,project_notion_3268ced4-3c47-8128-8ec1-ed5ef467fa78,PRJ-179,project_notion_3258ced4-3c47-81ea-aa82-deda1dac2fe3,,PRJ-179,"metadata,project_code"
"Pantheon Viking Co-Invest LP, NMP V, PGSF VII, PSD III",ast_1c98656c9aa6,project_notion_3268ced4-3c47-8127-89d8-c7b8a4e189f0,PRJ-196,project_notion_3258ced4-3c47-81aa-8a38-eca933a0ef3a,,PRJ-196,"metadata,project_code"
부산 육양국 DC,ast_7b9ae18fb951,project_notion_3268ced4-3c47-812b-88e3-e4f6d552d62c,PRJ-153,project_notion_3258ced4-3c47-8146-a972-deb45e2e5bb9,,PRJ-153,"metadata,project_code"
금천구 물류 복합개발사업,,project_notion_3268ced4-3c47-812d-9975-fcc08c4f2d71,PRJ-64,project_notion_3258ced4-3c47-81cf-8ce2-fe2570b2f1c6,,PRJ-64,"metadata,project_code"
Jakarta Office Treasury Tower,ast_cb61fdbd9aa4,project_notion_3268ced4-3c47-812d-b6b2-c87aa3584527,PRJ-117,project_notion_3258ced4-3c47-81f0-8369-c28a6a18e400,,PRJ-117,"metadata,project_code"
세운5구역 개발사업,ast_508cc8fee1ee,project_notion_3268ced4-3c47-8131-b1f1-e0223542afc5,PRJ-154,project_notion_3258ced4-3c47-81fe-863b-d520374af4eb,,PRJ-154,"metadata,project_code"
IA 14차 유동화,ast_0bed91ccb4ec,project_notion_3268ced4-3c47-8131-be56-ec0ac40f45c8,PRJ-13,project_notion_3258ced4-3c47-81dc-a737-f2cb3c4b352c,,PRJ-13,"metadata,project_code"
용산PF재구조화 펀드,ast_5804290d6389,project_notion_3268ced4-3c47-8132-9b5a-f00e03f2d6e7,PRJ-72,project_notion_3258ced4-3c47-81c2-be12-f2654447d341,,PRJ-72,"metadata,project_code"
"Virginia Amazon Warehouse , Lakeville Amazon Warehouse , Kansas city Amazon Warehouse",ast_373f87c6b8d9,project_notion_3268ced4-3c47-8134-bde8-db87465641ba,PRJ-127,project_notion_3258ced4-3c47-8148-8d44-e1119e0d636a,,PRJ-127,"metadata,project_code"
하남2IDC 개발사업,ast_d139acda1f42,project_notion_3268ced4-3c47-8135-82f4-c5571b78de16,PRJ-156,project_notion_3258ced4-3c47-819d-982d-faf113678bdf,,PRJ-156,"metadata,project_code"
구리시 수택동 주거용 오피스텔 개발사업,ast_ee5b4d0511ec,project_notion_3268ced4-3c47-8135-b7c2-c2de5c7511d3,PRJ-129,project_notion_3258ced4-3c47-81cd-b5e6-d5dbcfd4bc13,,PRJ-129,"metadata,project_code"
타임테라스 동탄,ast_75c6cda594b3,project_notion_3268ced4-3c47-8136-bc2c-f9aa4ed4f6d8,PRJ-4,project_notion_3258ced4-3c47-81e8-94a9-fa596740cf42,,PRJ-4,"metadata,project_code"
"ARDIAN Infrastructure Fund VI S.C.S., SICAV-RAIF",ast_8fe5e8aa8a5f,project_notion_3268ced4-3c47-8138-851b-c845a969b162,PRJ-88,project_notion_3258ced4-3c47-81e5-8a70-da8f98aad94b,,PRJ-88,"metadata,project_code"
신라스테이 해운대,ast_39df6f35071a,project_notion_3268ced4-3c47-8138-ace2-e1b46fc2739d,PRJ-170,project_notion_3258ced4-3c47-8157-9c3e-ef6d1102c77c,,PRJ-170,"metadata,project_code"
TIKEHAU Capital이운용하는TIKEHAU Direct Lending 6L의수익증권,ast_864ff5655978,project_notion_3268ced4-3c47-813a-9904-f96bb264a48b,PRJ-96,project_notion_3258ced4-3c47-8197-b5da-ff934491f875,,PRJ-96,"metadata,project_code"
평택 아디다스 물류센터,ast_2652e06dfeaa,project_notion_3268ced4-3c47-813c-b7de-e5829f083d59,PRJ-150,project_notion_3258ced4-3c47-8170-8de5-f9c1b071c202,,PRJ-150,"metadata,project_code"
"Ardian Americas Infrastructure Fund V S.C.S., SICAV-RAIF",ast_89a55348d21e,project_notion_3268ced4-3c47-813d-98b2-c476ce584208,PRJ-86,project_notion_3258ced4-3c47-8154-be8d-ec7a529bfce4,,PRJ-86,"metadata,project_code"
제주 올레리조트,ast_f5e665f7cf35,project_notion_3268ced4-3c47-813d-a930-dc7b3df89c3d,PRJ-34,project_notion_3258ced4-3c47-81d4-87f0-c8ebc9069f6d,,PRJ-34,"metadata,project_code"
잠실 MICE,,project_notion_3268ced4-3c47-813e-a9c2-eab7297099c2,PRJ-60,project_notion_3258ced4-3c47-81a4-93b1-fa5abfb56fe4,,PRJ-60,"metadata,project_code"
홈플러스 전주효자,ast_1f446ce9025d,project_notion_3268ced4-3c47-813e-bcba-d8bcadf734f6,PRJ-141,project_notion_3258ced4-3c47-819a-a6ab-d0752c7e7cd0,,PRJ-141,"metadata,project_code"
SBW 턴어라운드,ast_d148de771db5,project_notion_3268ced4-3c47-813f-8c9b-c523d70148a1,PRJ-18,project_notion_3258ced4-3c47-812d-8b74-fc2d2994a424,,PRJ-18,"metadata,project_code"
Pantheon PGSF VII,ast_9e287de54a5c,project_notion_3268ced4-3c47-813f-980a-f4da8d9b9edb,PRJ-194,project_notion_3258ced4-3c47-81e5-aec3-f801e7ff1b6e,,PRJ-194,"metadata,project_code"
Nuveen RE-PCCP U.S. Core-Plus Real Estate Debt Fund,ast_7045c219d59c,project_notion_3268ced4-3c47-813f-aac2-f88af864f231,PRJ-192,project_notion_3258ced4-3c47-81c6-8e94-dc4d1e0afe7c,,PRJ-192,"metadata,project_code"
안성 홈플러스 물류센터,ast_52adbb346181,project_notion_3268ced4-3c47-813f-b8fd-f6800a53e0d7,PRJ-147,project_notion_3258ced4-3c47-81e0-81b0-fe1420d49b02,,PRJ-147,"metadata,project_code"
판교테크원타워 (실물우선주),ast_d6b3682a1147,project_notion_3268ced4-3c47-8141-8a16-c752203e78dc,PRJ-19,project_notion_3258ced4-3c47-817b-992a-df5b5aaff1f1,,PRJ-19,"metadata,project_code"
롯데 수원역 쇼핑타운 토지,ast_e0a9abed71bf,project_notion_3268ced4-3c47-8142-adea-c49f3e4eba09,PRJ-143,project_notion_3258ced4-3c47-8180-8b84-fcbb5e944aca,,PRJ-143,"metadata,project_code"
가산동 임대형 기숙사 개발사업,ast_37df20b9e30d,project_notion_3268ced4-3c47-8144-a1df-ff8b63c8e26f,PRJ-45,project_notion_3258ced4-3c47-8136-96d3-f99474d7d46d,,PRJ-45,"metadata,project_code"
AXA Real Estate Development Venture IV,ast_db4e0440e038,project_notion_3268ced4-3c47-8145-839d-d9dea5784324,PRJ-91,project_notion_3258ced4-3c47-8158-9ea3-ff51db53ac4e,,PRJ-91,"metadata,project_code"
부산 송정 물류센터,ast_afb26eedbbe3,project_notion_3268ced4-3c47-8147-8f6b-f51a419a69f2,PRJ-9,project_notion_3258ced4-3c47-8199-8f47-e575a5da4632,,PRJ-9,"metadata,project_code"
용인 남사 물류센터,ast_7b6e6d2a39c2,project_notion_3268ced4-3c47-8147-b112-f45702c90f42,PRJ-11,project_notion_3258ced4-3c47-815f-a7e6-d5193cd0cdfc,,PRJ-11,"metadata,project_code"
Nuveen Global Real Estate Debt Partners Fund II (UK),ast_7ff7300b8ef6,project_notion_3268ced4-3c47-819d-ab18-e5b6425eeb89,PRJ-190,project_notion_3258ced4-3c47-816e-b5d5-c4598a11f0d5,,PRJ-190,"metadata,project_code"
"홈플러스 4개점 (영등포, 금천, 동수원, 센텀시티)",,project_notion_3268ced4-3c47-8149-ab2f-d5545d1dae3e,PRJ-140,project_notion_3258ced4-3c47-8113-95b7-e748647ad9be,,PRJ-140,"metadata,project_code"
금강타워3,,project_notion_3268ced4-3c47-814b-8838-f2f2454f6cd1,PRJ-23,project_notion_3258ced4-3c47-81fc-afec-f367fe884416,,PRJ-23,"metadata,project_code"
탑빌딩,,project_notion_3268ced4-3c47-814f-8498-dccd6174b2a9,PRJ-171,project_notion_3258ced4-3c47-813a-ad6f-f1b693613c25,,PRJ-171,"metadata,project_code"
토론토 The One 주거복합시설 건설자금 대출 펀드 운용,ast_c7abc1f4627e,project_notion_3268ced4-3c47-814f-91fb-f3df2a130f89,PRJ-82,project_notion_3258ced4-3c47-8184-a631-d5d0ba437068,,PRJ-82,"metadata,project_code"
서여의도 임대주택 개발사업,ast_146d3e80165b,project_notion_3268ced4-3c47-814f-a040-f961b6e01c72,PRJ-136,project_notion_3258ced4-3c47-814e-8248-f4ca04db3fd1,,PRJ-136,"metadata,project_code"
Poland Logistics Zalando,ast_5264d55d0bc9,project_notion_3268ced4-3c47-8151-a62a-c37110f68442,PRJ-123,project_notion_3258ced4-3c47-8153-ada3-dc9c8d99feef,,PRJ-123,"metadata,project_code"
눈스퀘어,,project_notion_3268ced4-3c47-8152-9a50-c341d219e5df,PRJ-142,project_notion_3258ced4-3c47-818f-8658-c0aeb026bc8c,,PRJ-142,"metadata,project_code"
카스퀘어 NPL,ast_6526b194cc13,project_notion_3268ced4-3c47-8152-85f1-d4094801fe39,PRJ-36,project_notion_3258ced4-3c47-815d-a7f7-dbdc6a9cb545,,PRJ-36,"metadata,project_code"
TPG Real Estate Partners IV,ast_2e084a75011d,project_notion_3268ced4-3c47-8155-856d-cc1607f04e63,PRJ-101,project_notion_3258ced4-3c47-8172-84d8-c70af74ceece,,PRJ-101,"metadata,project_code"
고양삼송 데이터센터,ast_6c274653ed0b,project_notion_3268ced4-3c47-8155-b7a0-c18626b30479,PRJ-152,project_notion_3258ced4-3c47-817a-8d9d-ca7fa218d56f,,PRJ-152,"metadata,project_code"
마곡 명소화 부지 개발사업,ast_bfb1c5d3da5c,project_notion_3268ced4-3c47-8157-9e5b-c307268410a9,PRJ-130,project_notion_3258ced4-3c47-81ed-a229-f6953c68328a,,PRJ-130,"metadata,project_code"
CJ제일제당센터,,project_notion_3268ced4-3c47-8106-8b31-f7f4a6b34829,PRJ-44,project_notion_3258ced4-3c47-81d9-92e7-ddcbebd26b54,,PRJ-44,"metadata,project_code"
부산 해운대구 중동 공동주택 개발,ast_d4da0b74e017,project_notion_3268ced4-3c47-8102-9ac3-daa261cabed7,PRJ-49,project_notion_3258ced4-3c47-81a2-8889-e0127ab86d9c,,PRJ-49,"metadata,project_code"
경산 스페셜시츄에이션,ast_30efc1e2c218,project_notion_3268ced4-3c47-8102-ac19-e5adfb55962b,PRJ-20,project_notion_3258ced4-3c47-81d4-9cfc-eb667306d728,,PRJ-20,"metadata,project_code"
청라 오피스텔 개발사업,ast_4f18f7d89d7d,project_notion_3268ced4-3c47-8103-8808-c913c77929b1,PRJ-73,project_notion_3258ced4-3c47-8174-9ccc-e400e5a2f47d,,PRJ-73,"metadata,project_code"
은평 시니어리빙 1호,ast_7dc6f67bfd0a,project_notion_3268ced4-3c47-8105-b042-c36e53c4117d,PRJ-55,project_notion_3258ced4-3c47-817a-977f-f625bb42318f,,PRJ-55,"metadata,project_code"
Tokyo Office Harumi Island Triton Square Tower W,ast_b78f4cd39988,project_notion_3268ced4-3c47-8106-b764-c67e14df2e91,PRJ-125,project_notion_3258ced4-3c47-816d-b79a-d32f392c6d97,,PRJ-125,"metadata,project_code"
New York 685 5th Avenue Mezzanine Loan,ast_403ec12279a7,project_notion_3268ced4-3c47-8108-ad18-d962db115fa5,PRJ-185,project_notion_3258ced4-3c47-8171-943e-fd9cc83dd227,,PRJ-185,"metadata,project_code"
천호 스페셜시츄에이션,ast_9e6791cd4061,project_notion_3268ced4-3c47-8109-8697-d7c4ca7b70ca,PRJ-62,project_notion_3258ced4-3c47-813e-9d58-d1d583860844,,PRJ-62,"metadata,project_code"
타임워크 명동,,project_notion_3268ced4-3c47-81a9-9370-f10420dc5722,PRJ-3,project_notion_3258ced4-3c47-81c7-9617-e7c725c64bad,,PRJ-3,"metadata,project_code"
판교 아이스퀘어 D동,ast_578a66328a1e,project_notion_3268ced4-3c47-81a2-b758-f4d08f68a8f7,PRJ-41,project_notion_3258ced4-3c47-8190-9c2c-d9cdea369e36,,PRJ-41,"metadata,project_code"
오산세교 주상복합 개발사업,ast_04ce3ef6593c,project_notion_3268ced4-3c47-81a2-bc74-d2f1e81e5190,PRJ-71,project_notion_3258ced4-3c47-81dc-9709-fa150a62a94b,,PRJ-71,"metadata,project_code"
"판교 제2테크노밸리 C1, C2블록 아이스퀘어 개발사업",ast_cbf922113fc6,project_notion_3268ced4-3c47-81a4-bed2-e30818696e5a,PRJ-42,project_notion_3258ced4-3c47-8157-b1ac-f58d211a8fef,,PRJ-42,"metadata,project_code"
창원 두동 물류센터,ast_9bedafe14895,project_notion_3268ced4-3c47-81a9-bdb2-d84fc8a343c5,PRJ-35,project_notion_3258ced4-3c47-81fc-841c-c91c6aabb9b9,,PRJ-35,"metadata,project_code"
Blackstone Real Estate Debt Strategies V,ast_28fa6c0336df,project_notion_3268ced4-3c47-81aa-9fc1-c0b8f1b642ff,PRJ-93,project_notion_3258ced4-3c47-816f-a361-ce65d6ef8825,,PRJ-93,"metadata,project_code"
롯데백화점 분당점 리모델링,ast_af02aac59036,project_notion_3268ced4-3c47-81ab-ab53-d67ec1de875d,PRJ-2,project_notion_3258ced4-3c47-81be-a045-f6d9f2ee2c6a,,PRJ-2,"metadata,project_code"
위례 시니어리빙 개발사업,ast_cd234848887e,project_notion_3268ced4-3c47-81ac-8273-e1d685edeeae,PRJ-54,project_notion_3258ced4-3c47-8157-9a3c-d0552bc88d81,,PRJ-54,"metadata,project_code"
Chicago Student Housing Illini Tower,ast_92af696ba01e,project_notion_3268ced4-3c47-81ac-bde6-d38709d5ed72,PRJ-112,project_notion_3258ced4-3c47-8190-9788-dc95e11ee98a,,PRJ-112,"metadata,project_code"
IA 15차 유동화,ast_fa4bc636d98d,project_notion_3268ced4-3c47-81ae-9c0e-fd1eb9b5e250,PRJ-14,project_notion_3258ced4-3c47-81f2-9672-f0869c23d12e,,PRJ-14,"metadata,project_code"
NPL 5호,ast_58e37903d5ef,project_notion_3268ced4-3c47-81af-9629-e74d0039b03f,PRJ-79,project_notion_3258ced4-3c47-8182-8ab9-dd2b43a692ec,,PRJ-79,"metadata,project_code"
시그니쳐타워 매입 (실물우선주),,project_notion_3268ced4-3c47-81b4-9763-d6f43325d059,PRJ-70,project_notion_3258ced4-3c47-81e6-82fc-cedfc112ad78,,PRJ-70,"metadata,project_code"
가산IDC,,project_notion_3268ced4-3c47-81bc-b030-d95ba46c5620,PRJ-46,project_notion_3258ced4-3c47-81b6-8e3a-d15825e558f5,,PRJ-46,"metadata,project_code"
SI타워,,project_notion_3268ced4-3c47-81be-a591-f0330adceba9,PRJ-74,project_notion_3258ced4-3c47-8159-973d-cb76116e43bb,,PRJ-74,"metadata,project_code"
DCC,,project_notion_3268ced4-3c47-81b9-92bb-c2d5f3081a2e,PRJ-32,project_notion_3258ced4-3c47-8128-bbb6-d603525e49d2,,PRJ-32,"metadata,project_code"
"Hamburg Office Fleet II, Brussels Office Brederode, Barcelona Office Fontanella, Prague Office Praga Studios, Paris Office Louis David",ast_46a7ecc290e9,project_notion_3268ced4-3c47-81b7-9794-e0802c9cca6b,PRJ-116,project_notion_3258ced4-3c47-818c-a7f3-d0b5a538aeb4,,PRJ-116,"metadata,project_code"
Milano Office Pirelli HQ,ast_ee72b3682575,project_notion_3268ced4-3c47-81b7-9f37-fc206a57c961,PRJ-118,project_notion_3258ced4-3c47-8109-b77c-c27e4235bb64,,PRJ-118,"metadata,project_code"
분당 야탑 물류,ast_34e35d0dff33,project_notion_3268ced4-3c47-81ba-bcf5-cc8a02c3cbb5,PRJ-51,project_notion_3258ced4-3c47-812e-b745-f9ba6ea3a900,,PRJ-51,"metadata,project_code"
포천 정교리 물류,ast_deef81e70ae6,project_notion_3268ced4-3c47-81bb-9256-c5e640f30f92,PRJ-63,project_notion_3258ced4-3c47-8115-9bac-f9515d912ba0,,PRJ-63,"metadata,project_code"
Washington D.C. Atlantic Building Senior Loan,ast_c738d1b8cbc2,project_notion_3268ced4-3c47-81bc-818f-e55973faaeb1,PRJ-106,project_notion_3258ced4-3c47-8170-a96f-f1b19cb9e29e,,PRJ-106,"metadata,project_code"
김포 데이터센터 개발사업,ast_0bab0f479396,project_notion_3268ced4-3c47-81c0-b357-fae2bc9b20e6,PRJ-6,project_notion_3258ced4-3c47-81d8-b179-d43fa8bbe452,,PRJ-6,"metadata,project_code"
