project_name,primary_asset_id,master_project_id,master_project_code,mission_project_id,mission_project_code_before,mission_project_code_after,payload_fields
스타필드 고양,ast_53a61027bef6,project_notion_3268ced4-3c47-81eb-8a57-e3a582501948,PRJ-145,project_notion_3258ced4-3c47-818c-952f-d3aaab07234e,,PRJ-145,"metadata,project_code"
반포 스페셜시츄에이션,ast_02e499cf476b,project_notion_3268ced4-3c47-81eb-b5a0-c02b7f306052,PRJ-48,project_notion_3258ced4-3c47-81c6-aa6d-fd1918557d0c,,PRJ-48,"metadata,project_code"
화성 석포리 물류,ast_109318d66df6,project_notion_3268ced4-3c47-81ed-88ed-e064f8fbf28f,PRJ-167,project_notion_3258ced4-3c47-816e-a0cf-fe088bbc0c2e,,PRJ-167,"metadata,project_code"
괌웨스틴호텔,ast_0e8530670140,project_notion_3268ced4-3c47-81f2-9ff9-c1b64060d048,PRJ-21,project_notion_3258ced4-3c47-81ef-83e7-e2f1a916caa3,,PRJ-21,"metadata,project_code"
트레블로지명동시티홀,,project_notion_3268ced4-3c47-81f8-a106-db67e31f9773,PRJ-38,project_notion_3258ced4-3c47-81ec-8f7a-ff2d8ae5730a,,PRJ-38,"metadata,project_code"
효제동 주거복합 개발사업,ast_dfa1348ddd15,project_notion_3268ced4-3c47-81f7-85d5-dfe72814334d,PRJ-133,project_notion_3258ced4-3c47-8144-a246-e143a4860886,,PRJ-133,"metadata,project_code"
"Paris Logistics Amazon , Bristol Logistics Amazon , Barcelona Logistics Amazon",ast_713f8b4e24da,project_notion_3268ced4-3c47-81f9-9bbf-c9aa5f8afcbd,PRJ-122,project_notion_3258ced4-3c47-8116-b1d2-e72db33d5b84,,PRJ-122,"metadata,project_code"
맹그로브 신촌,ast_64855a473d9f,project_notion_3268ced4-3c47-81f9-b5ed-fd6aad0d5a41,PRJ-67,project_notion_3258ced4-3c47-81ca-894d-d5b44d3c5ca4,,PRJ-67,"metadata,project_code"
팩토리얼 성수,ast_fa825d8bd449,project_notion_3268ced4-3c47-81fa-9940-efbd6d41063d,PRJ-181,project_notion_3258ced4-3c47-814b-bf36-ec234ae43b2d,,PRJ-181,"metadata,project_code"
티맥스 수내타워,ast_dd22d6a3cb4f,project_notion_3268ced4-3c47-81fb-8cc3-d43861ad2f4b,PRJ-172,project_notion_3258ced4-3c47-8110-979d-cb1bf2ae6f8e,,PRJ-172,"metadata,project_code"
애월 복합관광단지 개발사업,ast_8870b9567bcd,project_notion_3268ced4-3c47-81fb-b3b0-d1d716899402,PRJ-53,project_notion_3258ced4-3c47-81d0-aae6-fed0986cadd7,,PRJ-53,"metadata,project_code"
Vienna Office & Retail Wien Mitte,ast_ebd723e072c4,project_notion_3268ced4-3c47-81fc-b963-dbd5d76cd7d5,PRJ-126,project_notion_3258ced4-3c47-81a9-abe1-ef1efcd1299a,,PRJ-126,"metadata,project_code"
"Paris Logistics Amazon , Barcelona Logistics Amazon , Bristol Logistics Amazon",ast_713f8b4e24da,project_notion_3268ced4-3c47-81d7-82d1-d7c0c8e09216,PRJ-121,project_notion_3258ced4-3c47-8118-ae0f-dd60c937a8f8,,PRJ-121,"metadata,project_code"
V플렉스 (舊 NC타워2),,project_notion_3268ced4-3c47-81e4-ae6b-f287ffea4e45,PRJ-151,project_notion_3258ced4-3c47-8128-bd7f-fcd601dd9754,,PRJ-151,"metadata,project_code"
은평 시니어리빙 2호,ast_13b334c7bf6b,project_notion_3268ced4-3c47-81eb-bde1-e34050f5002c,PRJ-56,project_notion_3258ced4-3c47-815c-a71e-effed6ca2386,,PRJ-56,"metadata,project_code"
평창동 시니어주택,,project_notion_3268ced4-3c47-81f5-ac8e-e86da52df783,PRJ-43,project_notion_3258ced4-3c47-8176-a201-e6ba6ae3785a,,PRJ-43,"metadata,project_code"
울산역 KTX S3블럭 오피스텔 개발사업,ast_eb6dfd75233b,project_notion_3268ced4-3c47-81b4-8e89-f7ace4ba83c7,PRJ-5,project_notion_3258ced4-3c47-81a1-ae94-e9ff46be5503,,PRJ-5,"metadata,project_code"
Frankfurt Office Trianon,ast_3b4b047a6381,project_notion_3268ced4-3c47-81c1-a7ea-f8827a934b01,PRJ-115,project_notion_3258ced4-3c47-817a-b713-cc1721ffc64b,,PRJ-115,"metadata,project_code"
천안 성성7지구 공동주택 개발사업,ast_8bd8d91c9bb8,project_notion_3268ced4-3c47-81c8-8825-e93d7e438b4e,PRJ-61,project_notion_3258ced4-3c47-8168-b61b-f37e347025ae,,PRJ-61,"metadata,project_code"
국내 PF 재구조화 1호,ast_4e15ca971054,project_notion_3268ced4-3c47-8101-8cb6-d9d2a5d40ee2,PRJ-75,project_notion_3258ced4-3c47-814e-82a7-ee711e28e008,,PRJ-75,"metadata,project_code"
판교 아이스퀘어 C1블록 숙박/상업시설,ast_ea83005ce057,project_notion_3268ced4-3c47-81a2-93c9-fa8262b5cbf6,PRJ-40,project_notion_3258ced4-3c47-811a-b4c3-f2ab4747275c,,PRJ-40,"metadata,project_code"
