entity_id,canonical_name,display_name,entity_kind,primary_stakeholder_group_code,primary_stakeholder_type_code,primary_stakeholder_type_name,source_systems,latest_base_date,is_active,notes
SH000757,포스코A&C,포스코A&C,organization,project_partner,operator_contractor,운영/시공 파트너,counterparty_seed,,Y,
SH000758,포스코이앤씨,포스코이앤씨,organization,project_partner,operator_contractor,운영/시공 파트너,counterparty_seed,,Y,
SH000759,푸른덴셜생명보험,푸른덴셜생명보험,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000760,푸른인베스트먼트,푸른인베스트먼트,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000761,푸른저축은행,푸른저축은행,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000762,푸본현대생명보험,푸본현대생명보험,organization,capital_partner,fund_beneficiary,펀드 수익자,"beneficiary_snapshot,lender_snapshot",2025-11-30,Y,
SH000763,프라임비전제일차,프라임비전제일차,organization,financing_partner,lender,금융기관(대주),lender_snapshot,2025-11-30,Y,
SH000764,피벗플러스,피벗플러스,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000765,피에스텍,피에스텍,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000766,핀포인트,핀포인트,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000767,하나,하나,organization,financing_partner,lender,금융기관(대주),t5t_dashboard,2026-04-17,Y,
SH000768,하나레지던스2호,하나레지던스2호,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000769,하나생명보험,하나생명보험,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000770,하나손해보험,하나손해보험,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000771,하나에프앤아이(하나F&I),하나에프앤아이(하나F&I),organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000772,하나은행,하나은행,organization,financing_partner,lender,금융기관(대주),"beneficiary_snapshot,lender_snapshot",2025-11-30,Y,
SH000773,하나증권,하나증권,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000774,하나캐피탈,하나캐피탈,organization,financing_partner,lender,금융기관(대주),"beneficiary_snapshot,lender_snapshot",2025-11-30,Y,
SH000775,하나커넥트,하나커넥트,organization,financing_partner,lender,금융기관(대주),lender_snapshot,2025-11-30,Y,
SH000776,하우징플랫폼(Blind),하우징플랫폼(Blind),organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000777,하인즈코리아투자자문,하인즈코리아투자자문,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000778,한국교직원공제회,한국교직원공제회,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000779,한국부동산에스앤디,한국부동산에스앤디,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000780,한국산업단지공단,한국산업단지공단,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000781,한국자산관리공사,한국자산관리공사,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000782,한국자산신탁,한국자산신탁,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000783,한국저축은행,한국저축은행,organization,financing_partner,lender,금융기관(대주),t5t_dashboard,2026-04-13,Y,
SH000784,한국증권금융,한국증권금융,organization,financing_partner,lender,금융기관(대주),"beneficiary_snapshot,lender_snapshot",2025-11-30,Y,
SH000785,한국증권금융(신한부동산론전문투자형사모부동산투자신탁제2호의 신탁업자로서),한국증권금융(신한부동산론전문투자형사모부동산투자신탁제2호의 신탁업자로서),organization,financing_partner,lender,금융기관(대주),lender_snapshot,2025-11-30,Y,
SH000786,한국지방재정공제회,한국지방재정공제회,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000787,한국투자부동산신탁,한국투자부동산신탁,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000788,한국투자저축은행,한국투자저축은행,organization,financing_partner,lender,금융기관(대주),lender_snapshot,2025-11-30,Y,
SH000789,한국투자증권,한국투자증권,organization,capital_partner,fund_beneficiary,펀드 수익자,"beneficiary_snapshot,lender_snapshot",2025-11-30,Y,
SH000790,한국투자캐피탈,한국투자캐피탈,organization,financing_partner,lender,금융기관(대주),lender_snapshot,2025-11-30,Y,
SH000791,한국파마,한국파마,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000792,한국해양진흥공사,한국해양진흥공사,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000793,한림 CM,한림 CM,organization,project_partner,operator_contractor,운영/시공 파트너,counterparty_seed,,Y,
SH000794,한림개발,한림개발,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000795,한미글로벌,한미글로벌,organization,project_partner,operator_contractor,운영/시공 파트너,counterparty_seed,,Y,
SH000796,한미글로벌건축사사무소,한미글로벌건축사사무소,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000797,한성저축은행,한성저축은행,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000798,한세실업,한세실업,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000799,한세예스24홀딩스,한세예스24홀딩스,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000800,한신공영,한신공영,organization,project_partner,operator_contractor,운영/시공 파트너,counterparty_seed,,Y,
SH000801,한전,한전,organization,public_authority,public_body,공공/행정기관,t5t_dashboard,2026-03-03,Y,
SH000802,한중건설,한중건설,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
