group_name,counterparty_registered_name,categories,source_systems,project_count_max,source_record_total,latest_base_date,priority_score,importance_level,coverage_note
KDB생명보험,,['?????(LP)'],beneficiary_snapshot,7,8,2025-11-30,78,Medium,"Initial beneficiary/lender seed from local v0110. project_max=7, source_records=8"
교보생명,,"['????(??)', 'FI']",lender_snapshot,7,8,2025-11-30,78,Medium,"Initial beneficiary/lender seed from local v0110. project_max=7, source_records=8"
공무원연금공단,,['?????(LP)'],beneficiary_snapshot,7,7,2025-11-30,77,Medium,"Initial beneficiary/lender seed from local v0110. project_max=7, source_records=7"
농업협동조합중앙회,,['?????(LP)'],beneficiary_snapshot,7,7,2025-11-30,77,Medium,"Initial beneficiary/lender seed from local v0110. project_max=7, source_records=7"
삼성생명보험,,['?????(LP)'],beneficiary_snapshot,7,7,2025-11-30,77,Medium,"Initial beneficiary/lender seed from local v0110. project_max=7, source_records=7"
한화투자증권,,['?????(LP)'],beneficiary_snapshot,7,7,2025-11-30,77,Medium,"Initial beneficiary/lender seed from local v0110. project_max=7, source_records=7"
현대캐피탈,,"['????(??)', 'FI']","beneficiary_snapshot, lender_snapshot, t5t_dashboard",6,13,2026-04-17,73,Medium,"Initial beneficiary/lender seed from local v0110. project_max=6, source_records=13"
NH농협은행,,"['????(??)', 'FI']","beneficiary_snapshot, lender_snapshot",6,9,2025-11-30,69,Medium,"Initial beneficiary/lender seed from local v0110. project_max=6, source_records=9"
메트라이프생명보험,,"['????(??)', 'FI']","beneficiary_snapshot, lender_snapshot",6,8,2025-11-30,68,Medium,"Initial beneficiary/lender seed from local v0110. project_max=6, source_records=8"
우미건설,우미건설(주),['?????(LP)'],"beneficiary_snapshot, counterparty_seed",6,8,2025-11-30,68,Medium,"Initial beneficiary/lender seed from local v0110. project_max=6, source_records=8"
한국증권금융,,"['????(??)', 'FI']","beneficiary_snapshot, lender_snapshot",6,8,2025-11-30,68,Medium,"Initial beneficiary/lender seed from local v0110. project_max=6, source_records=8"
NH농협캐피탈,,"['????(??)', 'FI']","beneficiary_snapshot, lender_snapshot",6,7,2025-11-30,67,Medium,"Initial beneficiary/lender seed from local v0110. project_max=6, source_records=7"
키움증권,,['?????(LP)'],beneficiary_snapshot,6,7,2025-11-30,67,Medium,"Initial beneficiary/lender seed from local v0110. project_max=6, source_records=7"
농협중앙회(농업협동조합중앙회),,"['????(??)', 'FI']",lender_snapshot,6,6,2025-11-30,66,Medium,"Initial beneficiary/lender seed from local v0110. project_max=6, source_records=6"
BNK캐피탈,,['?????(LP)'],"beneficiary_snapshot, lender_snapshot",5,11,2025-11-30,61,Medium,"Initial beneficiary/lender seed from local v0110. project_max=5, source_records=11"
MG새마을금고중앙회,,"['????(??)', 'FI']","beneficiary_snapshot, lender_snapshot",5,8,2025-11-30,58,Medium,"Initial beneficiary/lender seed from local v0110. project_max=5, source_records=8"
케이티에스테이트,,['?????(LP)'],beneficiary_snapshot,5,6,2025-11-30,56,Medium,"Initial beneficiary/lender seed from local v0110. project_max=5, source_records=6"
GS리테일,,['?????(LP)'],beneficiary_snapshot,5,5,2025-11-30,55,Medium,"Initial beneficiary/lender seed from local v0110. project_max=5, source_records=5"
개인투자자,,['?????(LP)'],beneficiary_snapshot,5,5,2025-11-30,55,Medium,"Initial beneficiary/lender seed from local v0110. project_max=5, source_records=5"
고용노동부 산재보험기금,,['?????(LP)'],beneficiary_snapshot,5,5,2025-11-30,55,Medium,"Initial beneficiary/lender seed from local v0110. project_max=5, source_records=5"
대신저축은행,,"['????(??)', 'FI']",lender_snapshot,5,5,2025-11-30,55,Medium,"Initial beneficiary/lender seed from local v0110. project_max=5, source_records=5"
신협(청운신용협동조합),,"['????(??)', 'FI']",lender_snapshot,5,5,2025-11-30,55,Medium,"Initial beneficiary/lender seed from local v0110. project_max=5, source_records=5"
전문건설공제조합,,['?????(LP)'],beneficiary_snapshot,5,5,2025-11-30,55,Medium,"Initial beneficiary/lender seed from local v0110. project_max=5, source_records=5"
키움저축은행,,"['????(??)', 'FI']",lender_snapshot,5,5,2025-11-30,55,Medium,"Initial beneficiary/lender seed from local v0110. project_max=5, source_records=5"
푸른저축은행,,['?????(LP)'],beneficiary_snapshot,4,9,2025-11-30,49,Medium,"Initial beneficiary/lender seed from local v0110. project_max=4, source_records=9"
