group_name,counterparty_registered_name,categories,source_systems,project_count_max,source_record_total,latest_base_date,priority_score,importance_level,coverage_note
신협(부산동래신용협동조합),,"['????(??)', 'FI']",lender_snapshot,2,2,2025-11-30,22,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=2"
신협(양천신용협동조합),,"['????(??)', 'FI']",lender_snapshot,2,2,2025-11-30,22,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=2"
신협(원주신용협동조합),,"['????(??)', 'FI']",lender_snapshot,2,2,2025-11-30,22,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=2"
신협(인천치과의사신용협동조합),,"['????(??)', 'FI']",lender_snapshot,2,2,2025-11-30,22,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=2"
신협(화곡신용협동조합),,"['????(??)', 'FI']",lender_snapshot,2,2,2025-11-30,22,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=2"
신협(화지산신용협동조합),,"['????(??)', 'FI']",lender_snapshot,2,2,2025-11-30,22,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=2"
아이알디브이,,['?????(LP)'],beneficiary_snapshot,2,2,2025-11-30,22,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=2"
에스원,,['?????(LP)'],beneficiary_snapshot,2,2,2025-11-30,22,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=2"
엔에이치투자증권,,['?????(LP)'],beneficiary_snapshot,2,2,2025-11-30,22,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=2"
엠지알브이,,['?????(LP)'],beneficiary_snapshot,2,2,2025-11-30,22,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=2"
우미글로벌,,['?????(LP)'],beneficiary_snapshot,2,2,2025-11-30,22,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=2"
우정사업본부(보험),,['?????(LP)'],beneficiary_snapshot,2,2,2025-11-30,22,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=2"
유진투자증권,,['?????(LP)'],beneficiary_snapshot,2,2,2025-11-30,22,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=2"
이지스NPL4호,,['?????(LP)'],beneficiary_snapshot,2,2,2025-11-30,22,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=2"
이지스자산운용(1종),,['?????(LP)'],beneficiary_snapshot,2,2,2025-11-30,22,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=2"
이지스자산운용(2종),,['?????(LP)'],beneficiary_snapshot,2,2,2025-11-30,22,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=2"
이지스자산운용(B종),,['?????(LP)'],beneficiary_snapshot,2,2,2025-11-30,22,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=2"
장풍이노베이션,,['?????(LP)'],beneficiary_snapshot,2,2,2025-11-30,22,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=2"
제이에스티나,,['?????(LP)'],beneficiary_snapshot,2,2,2025-11-30,22,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=2"
케이리츠투자운용,,['?????(LP)'],beneficiary_snapshot,2,2,2025-11-30,22,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=2"
켄달스퀘어자산운용,,['?????(LP)'],beneficiary_snapshot,2,2,2025-11-30,22,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=2"
코리안리재보험,,"['????(??)', 'FI']",lender_snapshot,2,2,2025-11-30,22,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=2"
푸른덴셜생명보험,,['?????(LP)'],beneficiary_snapshot,2,2,2025-11-30,22,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=2"
핀포인트,,['?????(LP)'],beneficiary_snapshot,2,2,2025-11-30,22,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=2"
한국투자부동산신탁,,['?????(LP)'],beneficiary_snapshot,2,2,2025-11-30,22,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=2"
한화건설,,['?????(LP)'],beneficiary_snapshot,2,2,2025-11-30,22,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=2"
현대카드,,['?????(LP)'],beneficiary_snapshot,2,2,2025-11-30,22,Low,"Initial beneficiary/lender seed from local v0110. project_max=2, source_records=2"
IOIV,,"['????(??)', 'FI']",lender_snapshot,1,9,2025-11-30,19,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=9"
퍼시픽제33호전문사모부동산투자유한회사,,"['????(??)', 'FI']","beneficiary_snapshot, lender_snapshot",1,6,2025-11-30,16,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=6"
인성저축은행,,['?????(LP)'],"beneficiary_snapshot, lender_snapshot",1,5,2025-11-30,15,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=5"
M&G (APF 1 S.a.r.l),,"['????(??)', 'FI']","beneficiary_snapshot, lender_snapshot",1,4,2025-11-30,14,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=4"
SPC,,"['????(??)', 'FI']",lender_snapshot,1,3,2025-11-30,13,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=3"
대우건설,(주)대우건설,['?????(LP)'],"beneficiary_snapshot, counterparty_seed",1,3,2025-11-30,13,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=3"
롯데쇼핑,,['FI'],"beneficiary_snapshot, t5t_dashboard",1,3,2026-03-30,13,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=3"
세람저축은행,,['?????(LP)'],beneficiary_snapshot,1,3,2025-11-30,13,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=3"
엽연초생산협동조합중앙회,,['?????(LP)'],beneficiary_snapshot,1,3,2025-11-30,13,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=3"
한화저축은행,,['?????(LP)'],"beneficiary_snapshot, lender_snapshot",1,3,2025-11-30,13,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=3"
816공간제일차 주식회사,,"['????(??)', 'FI']",lender_snapshot,1,2,2025-11-30,12,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=2"
ASSKR1,,"['????(??)', 'FI']",lender_snapshot,1,2,2025-11-30,12,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=2"
Invesco,,['?????(LP)'],beneficiary_snapshot,1,2,2025-11-30,12,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=2"
JB우리캐피탈,,['?????(LP)'],beneficiary_snapshot,1,2,2025-11-30,12,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=2"
KB국민은행(한국투자올에셋부동산11호의 신탁업자 지위),,['?????(LP)'],beneficiary_snapshot,1,2,2025-11-30,12,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=2"
KB저축은행,,['?????(LP)'],beneficiary_snapshot,1,2,2025-11-30,12,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=2"
NUBIRA PTE. LTD.,,['?????(LP)'],beneficiary_snapshot,1,2,2025-11-30,12,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=2"
Woori 아메리카,,"['????(??)', 'FI']",lender_snapshot,1,2,2025-11-30,12,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=2"
개인,,['?????(LP)'],"beneficiary_snapshot, lender_snapshot",1,2,2025-11-30,12,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=2"
개인(강대우),,['?????(LP)'],beneficiary_snapshot,1,2,2025-11-30,12,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=2"
개인(박금자),,['?????(LP)'],beneficiary_snapshot,1,2,2025-11-30,12,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=2"
개인(박상태),,['?????(LP)'],beneficiary_snapshot,1,2,2025-11-30,12,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=2"
농협(백운농업협동조합),,"['????(??)', 'FI']",lender_snapshot,1,2,2025-11-30,12,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=2"
동일스위트,,['?????(LP)'],"beneficiary_snapshot, lender_snapshot",1,2,2025-11-30,12,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=2"
사학연금,,['?????(LP)'],beneficiary_snapshot,1,2,2025-11-30,12,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=2"
삼성SRA1호,,"['????(??)', 'FI']",lender_snapshot,1,2,2025-11-30,12,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=2"
센트럴저축은행,,"['????(??)', 'FI']",lender_snapshot,1,2,2025-11-30,12,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=2"
아시아에프앤아이,,['?????(LP)'],beneficiary_snapshot,1,2,2025-11-30,12,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=2"
양지로지스특시,,['?????(LP)'],beneficiary_snapshot,1,2,2025-11-30,12,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=2"
오투저축은행,,['?????(LP)'],"beneficiary_snapshot, lender_snapshot",1,2,2025-11-30,12,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=2"
우리투자증권,,['?????(LP)'],"beneficiary_snapshot, lender_snapshot",1,2,2025-11-30,12,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=2"
이우식,,['?????(LP)'],beneficiary_snapshot,1,2,2025-11-30,12,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=2"
이지스NPL일반사모부동산투자신탁제3호,,['?????(LP)'],beneficiary_snapshot,1,2,2025-11-30,12,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=2"
이지스국내PF재구조화1-3호(모),,['?????(LP)'],beneficiary_snapshot,1,2,2025-11-30,12,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=2"
이지스랜드플랫폼일반사모부동산투자신탁제1-1호(Blind),,['?????(LP)'],beneficiary_snapshot,1,2,2025-11-30,12,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=2"
이지스리얼에셋일반사모부동산투자신탁제1호,,['?????(LP)'],beneficiary_snapshot,1,2,2025-11-30,12,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=2"
이지스스트래티직 전문투자형사모부동산 자투자신탁 제1-3-3호,,['?????(LP)'],beneficiary_snapshot,1,2,2025-11-30,12,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=2"
이지스이익참여형메자닌일반사모부동산모투자신탁제1-1호(Blind),,['?????(LP)'],"beneficiary_snapshot, lender_snapshot",1,2,2025-11-30,12,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=2"
이지스이익참여형메자닌일반사모부동산모투자신탁제1-3호(Blind),,['?????(LP)'],"beneficiary_snapshot, lender_snapshot",1,2,2025-11-30,12,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=2"
이지스이익참여형메자닌일반사모부동산모투자신탁제1-4호(Blind),,['?????(LP)'],"beneficiary_snapshot, lender_snapshot",1,2,2025-11-30,12,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=2"
이지스일반사모부동산투자신탁제468-1호,,['?????(LP)'],beneficiary_snapshot,1,2,2025-11-30,12,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=2"
이지스자산운용(A종),,['?????(LP)'],beneficiary_snapshot,1,2,2025-11-30,12,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=2"
제이피어반디,,['?????(LP)'],beneficiary_snapshot,1,2,2025-11-30,12,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=2"
중국농업은행,,"['????(??)', 'FI']",lender_snapshot,1,2,2025-11-30,12,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=2"
푸본현대생명보험,,['?????(LP)'],"beneficiary_snapshot, lender_snapshot",1,2,2025-11-30,12,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=2"
하인즈코리아투자자문,,['?????(LP)'],beneficiary_snapshot,1,2,2025-11-30,12,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=2"
한국증권금융(신한부동산론전문투자형사모부동산투자신탁제2호의 신탁업자로서),,"['????(??)', 'FI']",lender_snapshot,1,2,2025-11-30,12,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=2"
한국투자캐피탈,,"['????(??)', 'FI']",lender_snapshot,1,2,2025-11-30,12,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=2"
한국해양진흥공사,,['?????(LP)'],beneficiary_snapshot,1,2,2025-11-30,12,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=2"
116-2(산재기금),,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
116-3(신협중앙회),,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
116-3(주택도시기금),,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
448-3호,,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
448-4,,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
ADCF Megatrends Singapore Pte Ltd,,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
AP SG 9 PTE.LTD.,,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
APO Corp,,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
BCS NL B.V.,,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
BCS NL C.V.,,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
BNK저축은행,,"['????(??)', 'FI']",lender_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
CJ제일제당,,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
Capikor Pte.Ltd.,,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
DA VINCI HOLDCO PTE. LTD.,,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
DB손해보험(본계정),,"['????(??)', 'FI']",lender_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
DGB 제1호 펀드,,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
DGB 제2호 펀드,,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
DGB 제3호 펀드,,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
DGB생명보험,,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
DS네트웍스,,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
Datapulse Pte.Ltd.,,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
G9 Asia X. Pte. Ltd.,,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
GFI,,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
GIB홈플러스,,"['????(??)', 'FI']",lender_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
Gangnam Asset PTE.LTD,,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
HSBC자산운용,,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
I.O.IV,,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
IADC2호,,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
IGIS Asia Data Center 1 Pte. Ltd.,,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
IRE-RE-SA SICAV-SIF,,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
Icheon REF Pte.Ltd,,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
Invesco Investments(Bermuda),,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
KB국민은행(공모),,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
KB라이프생명보험,,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
KB증권(A),,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
KDCIP 2호(Blind),,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
KDCIP(A종)(Blind),,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
KG파트너스,,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
M&G (APF 2 S.a.r.l),,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
M&G(TS ASIA),,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
MG새마을금고(용인중앙),,"['????(??)', 'FI']",lender_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
MG새마을금고(이태원1동),,"['????(??)', 'FI']",lender_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
MG캐피탈,,"['????(??)', 'FI']",lender_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
Morgan stanley,,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
NH저축은행,,"['????(??)', 'FI']",lender_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
NH헤지자산운용,,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
North Sky Luge No 4 Limited,,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
Nuveen Group Holdings Limited,,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
OCBC Bank,,"['????(??)', 'FI']",lender_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
OSB저축은행,,"['????(??)', 'FI']",lender_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
Pinnacle Eagle Ltd.,,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
Pinnacle KR Asset PTE.LTD,,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
SK디앤디,,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
TDH2,,"['????(??)', 'FI']",lender_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
TTN,,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
Tow Heng Tan,,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
YG자산개발 및 개인3인,,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
Yeongdong(Korea)Pte.Ltd,,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
개인(강민구),,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
개인(강영구),,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
개인(김건호),,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
개인(김남호),,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
개인(김남희),,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
개인(김민지),,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
개인(김율희),,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
개인(김주성),,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
개인(김주형),,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
개인(김주희),,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
개인(김태호),,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
개인(김희원),,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
개인(백현미),,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
개인(이수연),,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
개인(이인영),,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
개인(조갑주),,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
개인(주구슬),,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
개인1(A종),,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
개인2(A종),,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
개인3(A종),,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
개인투자자 포함,,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
개인투자자 포함(공모펀드),,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
개인투자자들,,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
건강한시간,,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
게우트플래닝,,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
경남은행,,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
경방,,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
골든웨이브(유),,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
교보생명보험(연금),,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
교보증권,,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
교원라이프,,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
교원인베스트,,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
구봉산업,,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
국가철도공단,,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
국민연금공단(1종),,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
국민연금공단(2종),,['?????(LP)'],beneficiary_snapshot,1,1,2025-11-30,11,Low,"Initial beneficiary/lender seed from local v0110. project_max=1, source_records=1"
