group_name,group_code,member_entities,source_systems,group_mapping_status,entity_count,role_count,latest_base_date,dominant_stakeholder_type
농협(월출산농업협동조합),group,농협(월출산농업협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
농협(의령농업협동조합),group,농협(의령농업협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
농협(임실농업협동조합),group,농협(임실농업협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
농협(제주고산농업협동조합),group,농협(제주고산농업협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
농협(진도농업협동조합),group,농협(진도농업협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
농협(진주진양농업협동조합),group,농협(진주진양농업협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
농협(진해농업협동조합),group,농협(진해농업협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
농협(철원농업협동조합),group,농협(철원농업협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
농협(추풍령농업협동조합),group,농협(추풍령농업협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
농협(춘천강동농업협동조합),group,농협(춘천강동농업협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
농협(하서농업협동조합),group,농협(하서농업협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
농협(하양농업협동조합 동부지점),group,농협(하양농업협동조합 동부지점),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
농협(함덕농업협동조합),group,농협(함덕농업협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
농협(함창농업협동조합),group,농협(함창농업협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
농협(합천농업협동조합),group,농협(합천농업협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
농협(합천새남부농업협동조합),group,농협(합천새남부농업협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
농협(현서농업협동조합),group,농협(현서농업협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
농협(홍성낙농협동조합),group,농협(홍성낙농협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
농협(홍해농업협동조합),group,농협(홍해농업협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
농협(화개악양농업협동조합),group,농협(화개악양농업협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
농협대주단,group,농협대주단,lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
농협중앙회(농업협동조합중앙회),group,농협중앙회(농업협동조합중앙회),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
뉴스타케이제일차,group,뉴스타케이제일차,lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
뉴익스파트너스,group,뉴익스파트너스,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
다안건설,group,다안건설,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
다올저축은행,group,다올저축은행,"beneficiary_snapshot,lender_snapshot",self,1,2,2025-11-30,금융기관(대주)
다이와,group,다이와,t5t_dashboard,self,1,1,2026-04-13,금융기관(대주)
담배인삼공제회,group,담배인삼공제회,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
대교이앤씨,group,대교이앤씨,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
대교홀딩스,group,대교홀딩스,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
대구대건신용협동조합,group,대구대건신용협동조합,lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
대림,group,대림,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
대승글로벌,group,대승글로벌,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
대신자산신탁,group,대신자산신탁,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
대신저축은행,group,대신저축은행,lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
대우건설,group,대우건설,"beneficiary_snapshot,counterparty_seed",self,1,2,2025-11-30,운영/시공 파트너
대한소방공제회,group,대한소방공제회,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
대한토지신탁,group,대한토지신탁,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
더시스템랩,group,더시스템랩,counterparty_seed,self,1,1,,운영/시공 파트너
더케이저축은행,group,더케이저축은행,"beneficiary_snapshot,lender_snapshot",self,1,2,2025-11-30,금융기관(대주)
데피니트파트너스,group,데피니트파트너스,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
동부건설,group,동부건설,counterparty_seed,self,1,1,,운영/시공 파트너
동부산테마파크,group,동부산테마파크,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
동양생명,group,동양생명,lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
동원건설산업,group,동원건설산업,counterparty_seed,self,1,1,,운영/시공 파트너
동원제일저축은행,group,동원제일저축은행,lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
동일건축,group,동일건축,counterparty_seed,self,1,1,,운영/시공 파트너
동일스위트,group,동일스위트,"beneficiary_snapshot,lender_snapshot",self,1,2,2025-11-30,금융기관(대주)
두가 CNC,cnc,두가 CNC,counterparty_seed,self,1,1,,운영/시공 파트너
디비에스은행,group,디비에스은행,lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
디앤디플랫폼리츠,group,디앤디플랫폼리츠,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
디앤에스씨,group,디앤에스씨,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
디앤오,group,디앤오,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
디에스네트웍스,group,디에스네트웍스,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
디에스센트럴프라임,group,디에스센트럴프라임,lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
디에스클러스터,group,디에스클러스터,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
디와이시스템,group,디와이시스템,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
디피아이피코리아 유한회사,group,디피아이피코리아 유한회사,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
라인플러스,group,라인플러스,t5t_dashboard,self,1,1,2026-04-12,임차인
라크라,group,라크라,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
롯데 이노베이트,group,롯데 이노베이트,counterparty_seed,self,1,1,,운영/시공 파트너
롯데건설,group,롯데건설,counterparty_seed,self,1,1,,운영/시공 파트너
롯데손해보험,group,롯데손해보험,"beneficiary_snapshot,lender_snapshot",self,1,2,2025-11-30,금융기관(대주)
