group_name,group_code,member_entities,source_systems,group_mapping_status,entity_count,role_count,latest_base_date,dominant_stakeholder_type
신협(서대구신용협동조합),group,신협(서대구신용협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
신협(서울치과의사신용협동조합),group,신협(서울치과의사신용협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
신협(성남중앙신용협동조합),group,신협(성남중앙신용협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
신협(송파동부신용협동조합),group,신협(송파동부신용협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
신협(수원중앙신용협동조합),group,신협(수원중앙신용협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
신협(신정신용협동조합),group,신협(신정신용협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
신협(아산신용협동조합),group,신협(아산신용협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
신협(양천신용협동조합),group,신협(양천신용협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
신협(연무신용협동조합),group,신협(연무신용협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
신협(영암신용협동조합),group,신협(영암신용협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
신협(오산신용협동조합),group,신협(오산신용협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
신협(울산남부신용협동조합),group,신협(울산남부신용협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
