crm_db_version,entity_id,canonical_name,display_name,group_name,group_code,group_mapping_status,group_rule_id,counterparty_general_name,counterparty_registered_name,counterparty_category,counterparty_resource_list,related_projects_text,current_contact_points,next_target_project,entity_kind,primary_stakeholder_group_code,primary_stakeholder_type_code,primary_stakeholder_type_name,role_count,role_types,role_subtypes,source_systems,source_record_total,project_count_max,latest_base_date,owner_department,owner_manager,record_status,importance_level,relationship_status,interest_topics,key_requests,risk_notes,next_action,next_meeting_date,coverage_note
v0110,SH000478,신협(부산동래신용협동조합),신협(부산동래신용협동조합),신협(부산동래신용협동조합),group,self,,신협(부산동래신용협동조합),,,,,,,organization,financing_partner,lender,금융기관(대주),1,금융기관(대주),상호금융,lender_snapshot,2,2,2025-11-30,개발,이창준,seeded,,,,,,,,
v0110,SH000479,신협(부산성의신용협동조합),신협(부산성의신용협동조합),신협(부산성의신용협동조합),group,self,,신협(부산성의신용협동조합),,,,,,,organization,financing_partner,lender,금융기관(대주),1,금융기관(대주),상호금융,lender_snapshot,1,1,2025-11-30,개발,이창준,seeded,,,,,,,,
v0110,SH000480,신협(부산시중앙신용협동조합),신협(부산시중앙신용협동조합),신협(부산시중앙신용협동조합),group,self,,신협(부산시중앙신용협동조합),,,,,,,organization,financing_partner,lender,금융기관(대주),1,금융기관(대주),상호금융,lender_snapshot,1,1,2025-11-30,개발,이창준,seeded,,,,,,,,
v0110,SH000481,신협(부산장우신용협동조합),신협(부산장우신용협동조합),신협(부산장우신용협동조합),group,self,,신협(부산장우신용협동조합),,,,,,,organization,financing_partner,lender,금융기관(대주),1,금융기관(대주),상호금융,lender_snapshot,1,1,2025-11-30,"전략펀드운용1실,자산관리2파트4",김회인,seeded,,,,,,,,
v0110,SH000482,신협(부산진신용협동조합),신협(부산진신용협동조합),신협(부산진신용협동조합),group,self,,신협(부산진신용협동조합),,,,,,,organization,financing_partner,lender,금융기관(대주),1,금융기관(대주),상호금융,lender_snapshot,3,3,2025-11-30,개발,이창준,seeded,,,,,,,,
v0110,SH000483,신협(부산행복신용협동조합),신협(부산행복신용협동조합),신협(부산행복신용협동조합),group,self,,신협(부산행복신용협동조합),,,,,,,organization,financing_partner,lender,금융기관(대주),1,금융기관(대주),상호금융,lender_snapshot,1,1,2025-11-30,"전략펀드운용1실,자산관리2파트4",김회인,seeded,,,,,,,,
v0110,SH000484,신협(북동신용협동조합),신협(북동신용협동조합),신협(북동신용협동조합),group,self,,신협(북동신용협동조합),,,,,,,organization,financing_partner,lender,금융기관(대주),1,금융기관(대주),상호금융,lender_snapshot,1,1,2025-11-30,개발,이창준,seeded,,,,,,,,
v0110,SH000485,신협(북부산신용협동조합),신협(북부산신용협동조합),신협(북부산신용협동조합),group,self,,신협(북부산신용협동조합),,,,,,,organization,financing_partner,lender,금융기관(대주),1,금융기관(대주),상호금융,lender_snapshot,1,1,2025-11-30,개발,이창준,seeded,,,,,,,,
v0110,SH000486,신협(북성신용협동조합),신협(북성신용협동조합),신협(북성신용협동조합),group,self,,신협(북성신용협동조합),,,,,,,organization,financing_partner,lender,금융기관(대주),1,금융기관(대주),상호금융,lender_snapshot,1,1,2025-11-30,라이프리빙파트,김완혁,seeded,,,,,,,,
v0110,SH000487,신협(북원신용협동조합),신협(북원신용협동조합),신협(북원신용협동조합),group,self,,신협(북원신용협동조합),,,,,,,organization,financing_partner,lender,금융기관(대주),1,금융기관(대주),상호금융,lender_snapshot,1,1,2025-11-30,"전략펀드운용1실,자산관리1파트1",이병관,seeded,,,,,,,,
v0110,SH000488,신협(새서울신용협동조합),신협(새서울신용협동조합),신협(새서울신용협동조합),group,self,,신협(새서울신용협동조합),,,,,,,organization,financing_partner,lender,금융기관(대주),1,금융기관(대주),상호금융,lender_snapshot,1,1,2025-11-30,개발,이창준,seeded,,,,,,,,
v0110,SH000489,신협(서대구신용협동조합),신협(서대구신용협동조합),신협(서대구신용협동조합),group,self,,신협(서대구신용협동조합),,,,,,,organization,financing_partner,lender,금융기관(대주),1,금융기관(대주),상호금융,lender_snapshot,1,1,2025-11-30,개발,이창준,seeded,,,,,,,,
v0110,SH000490,신협(서울치과의사신용협동조합),신협(서울치과의사신용협동조합),신협(서울치과의사신용협동조합),group,self,,신협(서울치과의사신용협동조합),,,,,,,organization,financing_partner,lender,금융기관(대주),1,금융기관(대주),상호금융,lender_snapshot,1,1,2025-11-30,라이프리빙파트,유한나,seeded,,,,,,,,
v0110,SH000491,신협(성남중앙신용협동조합),신협(성남중앙신용협동조합),신협(성남중앙신용협동조합),group,self,,신협(성남중앙신용협동조합),,,,,,,organization,financing_partner,lender,금융기관(대주),1,금융기관(대주),상호금융,lender_snapshot,3,3,2025-11-30,"전략펀드운용1실,자산관리1파트1",이병관,seeded,,,,,,,,
v0110,SH000492,신협(송파동부신용협동조합),신협(송파동부신용협동조합),신협(송파동부신용협동조합),group,self,,신협(송파동부신용협동조합),,,,,,,organization,financing_partner,lender,금융기관(대주),1,금융기관(대주),상호금융,lender_snapshot,1,1,2025-11-30,"전략펀드운용1실,자산관리1파트1",이병관,seeded,,,,,,,,
v0110,SH000493,신협(수원중앙신용협동조합),신협(수원중앙신용협동조합),신협(수원중앙신용협동조합),group,self,,신협(수원중앙신용협동조합),,,,,,,organization,financing_partner,lender,금융기관(대주),1,금융기관(대주),상호금융,lender_snapshot,1,1,2025-11-30,개발,이창준,seeded,,,,,,,,
v0110,SH000494,신협(신정신용협동조합),신협(신정신용협동조합),신협(신정신용협동조합),group,self,,신협(신정신용협동조합),,,,,,,organization,financing_partner,lender,금융기관(대주),1,금융기관(대주),상호금융,lender_snapshot,1,1,2025-11-30,개발,이창준,seeded,,,,,,,,
v0110,SH000495,신협(아산신용협동조합),신협(아산신용협동조합),신협(아산신용협동조합),group,self,,신협(아산신용협동조합),,,,,,,organization,financing_partner,lender,금융기관(대주),1,금융기관(대주),상호금융,lender_snapshot,1,1,2025-11-30,"전략펀드운용1실,자산관리2파트4",김회인,seeded,,,,,,,,
v0110,SH000496,신협(양천신용협동조합),신협(양천신용협동조합),신협(양천신용협동조합),group,self,,신협(양천신용협동조합),,,,,,,organization,financing_partner,lender,금융기관(대주),1,금융기관(대주),상호금융,lender_snapshot,2,2,2025-11-30,개발,이창준,seeded,,,,,,,,
v0110,SH000497,신협(연무신용협동조합),신협(연무신용협동조합),신협(연무신용협동조합),group,self,,신협(연무신용협동조합),,,,,,,organization,financing_partner,lender,금융기관(대주),1,금융기관(대주),상호금융,lender_snapshot,1,1,2025-11-30,라이프리빙파트,김완혁,seeded,,,,,,,,
v0110,SH000498,신협(영암신용협동조합),신협(영암신용협동조합),신협(영암신용협동조합),group,self,,신협(영암신용협동조합),,,,,,,organization,financing_partner,lender,금융기관(대주),1,금융기관(대주),상호금융,lender_snapshot,1,1,2025-11-30,"전략펀드운용1실,자산관리1파트1",이병관,seeded,,,,,,,,
v0110,SH000499,신협(오산신용협동조합),신협(오산신용협동조합),신협(오산신용협동조합),group,self,,신협(오산신용협동조합),,,,,,,organization,financing_partner,lender,금융기관(대주),1,금융기관(대주),상호금융,lender_snapshot,1,1,2025-11-30,라이프리빙파트,유한나,seeded,,,,,,,,
v0110,SH000500,신협(울산남부신용협동조합),신협(울산남부신용협동조합),신협(울산남부신용협동조합),group,self,,신협(울산남부신용협동조합),,,,,,,organization,financing_partner,lender,금융기관(대주),1,금융기관(대주),상호금융,lender_snapshot,1,1,2025-11-30,개발,이창준,seeded,,,,,,,,
v0110,SH000501,신협(울산중앙신용협동조합),신협(울산중앙신용협동조합),신협(울산중앙신용협동조합),group,self,,신협(울산중앙신용협동조합),,,,,,,organization,financing_partner,lender,금융기관(대주),1,금융기관(대주),상호금융,lender_snapshot,1,1,2025-11-30,개발,이창준,seeded,,,,,,,,
v0110,SH000502,신협(울산행복신용협동조합),신협(울산행복신용협동조합),신협(울산행복신용협동조합),group,self,,신협(울산행복신용협동조합),,,,,,,organization,financing_partner,lender,금융기관(대주),1,금융기관(대주),상호금융,lender_snapshot,1,1,2025-11-30,개발,이창준,seeded,,,,,,,,
