entity_role_id,entity_id,canonical_name,stakeholder_group_code,stakeholder_group_name,stakeholder_type_code,stakeholder_type_name,stakeholder_subtype_code,stakeholder_subtype_name,source_system,source_role_label,source_records,project_count,latest_base_date,owner_department,owner_manager,raw_type_label,raw_class_label,t5t_type_name,confidence,status,notes
SH000190-R01,SH000190,경남은행,capital_partner,자본 파트너,fund_beneficiary,펀드 수익자,bank,은행,beneficiary_snapshot,수익자,1,1,2025-11-30,자산관리3파트2,박동민,전문투자자,은행,기관투자자(LP),0.95,active,
SH000191-R01,SH000191,경방,capital_partner,자본 파트너,fund_beneficiary,펀드 수익자,corporate,일반기업,beneficiary_snapshot,수익자,1,1,2025-11-30,자산관리3파트2,정승우,,일반기업,기관투자자(LP),0.95,active,
SH000192-R01,SH000192,경찰공제회,capital_partner,자본 파트너,fund_beneficiary,펀드 수익자,mutual_aid_association,공제회,beneficiary_snapshot,수익자,5,5,2025-11-30,자산관리1파트2,이상렬,전문투자자,공제회,기관투자자(LP),0.95,active,
SH000193-R01,SH000193,고용노동부 산재보험기금,capital_partner,자본 파트너,fund_beneficiary,펀드 수익자,pension_fund,연기금,beneficiary_snapshot,수익자,5,5,2025-11-30,자산관리1파트1,김수현,전문투자자,연기금,기관투자자(LP),0.95,active,
SH000194-R01,SH000194,골든웨이브(유),capital_partner,자본 파트너,fund_beneficiary,펀드 수익자,beneficiary_unknown,수익자 일반,beneficiary_snapshot,수익자,1,1,2025-11-30,"사업,물류솔루션실",이준수,,,기관투자자(LP),0.8,active,
SH000195-R01,SH000195,공모,capital_partner,자본 파트너,fund_beneficiary,펀드 수익자,beneficiary_unknown,기타 투자기관,beneficiary_snapshot,수익자,2,2,2025-11-30,"229호TF,글로벌펀드운용3",노선호,전문투자자,기타 투자기관,기관투자자(LP),0.95,active,
SH000196-R01,SH000196,공무원연금공단,capital_partner,자본 파트너,fund_beneficiary,펀드 수익자,pension_fund,연기금,beneficiary_snapshot,수익자,7,7,2025-11-30,글로벌펀드운용2,신윤아,전문투자자,연기금,기관투자자(LP),0.95,active,
SH000197-R01,SH000197,공제회,capital_partner,자본 파트너,institutional_lp,기관투자자(LP),lp_unknown,LP 일반,t5t_dashboard,기관투자자(LP),18,1,2026-04-13,,,기관투자자(LP),,기관투자자(LP),0.75,active,T5T 로그 키워드 기반 식별
SH000198-R01,SH000198,과학기술인공제회,capital_partner,자본 파트너,fund_beneficiary,펀드 수익자,mutual_aid_association,공제회,beneficiary_snapshot,수익자,10,9,2025-11-30,글로벌펀드운용2,전서진,전문투자자,공제회,기관투자자(LP),0.95,active,
SH000198-R02,SH000198,과학기술인공제회,financing_partner,금융 파트너,lender,금융기관(대주),mutual_aid_association,공제회,lender_snapshot,대주,1,1,2025-11-30,IOTA TF,조영비,,공제회,금융기관(대주),0.95,active,
SH000199-R01,SH000199,광주은행,financing_partner,금융 파트너,lender,금융기관(대주),bank,은행,lender_snapshot,대주,8,8,2025-11-30,"전략펀드운용1실,자산관리1파트2",이정연,,은행,금융기관(대주),0.95,active,
SH000200-R01,SH000200,교보리얼코,capital_partner,자본 파트너,fund_beneficiary,펀드 수익자,beneficiary_unknown,수익자 일반,beneficiary_snapshot,수익자,3,3,2025-11-30,사업,이구,,,기관투자자(LP),0.8,active,
