펀드코드,약칭,펀드명,섹터
112111,117호(A),이지스코어오피스공모부동산투자신탁제117호(Class A), 
112116,119호,이지스미국일반사모부동산투자신탁119호,오피스
112280,232호(1종),이지스일반사모부동산투자신탁232호(1종),특별자산
112386,전문투자형사모1호(2종),이지스전문투자형사모부동산투자신탁1호(2종), 
120032,랜드플랫폼1-3호(1종),이지스랜드플랫폼일반사모부동산투자신탁제1-3호(1종),지분증권
200039,578호,이지스InfraVia유럽인프라일반사모투자신탁제578호,역외재간접
112529,406호,이지스전문투자형사모투자신탁406호,기타
300034,하이일드2호(C1),이지스하이일드공모주일반사모투자신탁제2호(Class C1),기타
112149,151호(3종),이지스제151호전문투자형사모부동산투자유한회사(3종),주거
120088,경산로지스1호(2종),이지스경산로지스제1호일반사모부동산투자회사(2종),물류
112458,370호(C),이지스전문투자형사모투자신탁370호(Class C), 
112776,508호(2종),이지스일반사모부동산투자신탁제508호(2종),지분증권
112436,고배당리츠(C-P2),이지스글로벌고배당리츠플러스부동산투자신탁(리츠-재간접형) Class C-P2,지분증권
P00020,P검단아트,검단아트에스피씨 주식회사,주거
112274,257호,이지스전문투자형사모부동산투자신탁257호,특별자산
120052,수서PF(2종),이지스수서PF재구조화일반사모부동산투자신탁(2종),NPL
112424,353호(2-B종),이지스일반사모부동산투자신탁제353호(2-B종),복합(오피스)
112394,222호(보통주),이지스제222호전문투자형사모부동산투자회사(보통주),오피스
112175,166호,이지스임대주택일반사모부동산투자신탁166호(재간접형),주거
112125,46-1호,이지스유럽일반사모부동산투자신탁46-1호 (재간접형),물류
112179,166호(D종),이지스임대주택전문투자형사모부동산투자신탁166호(재간접형) (D종),주거
112556,418호,이지스한남일반사모부동산투자신탁제418호,복합(오피스)
112453,367호,이지스전문투자형사모부동산투자유한회사367호(운용), 
112414,336호,이지스일반사모부동산투자신탁제336호,리테일
112734,라이징K리츠(C-P2e),이지스 라이징 K리츠 부동산투자신탁(리츠-재간접형)C-P2e class,지분증권
112677,47호(1종),이지스사모부동산투자신탁47호(1종),호텔
112076,84호,이지스글로벌전문투자형사모부동산투자신탁84호,복합(오피스)
112680,468-2호(1종),이지스일반사모부동산투자신탁제468-2호(1종),지분증권
112021,17-3호,이지스KORIF사모부동산투자신탁17-3호,오피스
300013,멀티인컴4호(A),이지스 멀티인컴 일반사모투자신탁 제4호(class A),기타
112349,이지스밸류플러스,㈜이지스밸류플러스위탁관리부동산투자회사,오피스
112031,31호,이지스사모부동산투자신탁31호, 
120054,42호(1종),이지스일반사모부동산투자신탁42호(1종), 
120109,424호(보통주식1-1),이지스제424호전문투자형사모부동산투자회사(보통주식1-1),오피스
112002,8호,피에스KORIF사모부동산투자신탁8호,리테일
112329,286호(1종),이지스전문투자형사모부동산투자신탁286호(1종),물류
112043,43-1호,이지스사모부동산자투자신탁43-1호,호텔
112001,1호,이지스전문투자형사모부동산투자신탁1호,리테일
112062,63호,이지스KORIF63호, 
112238,스트래티직1-1호,이지스스트래티직전문투자형사모부동산모투자신탁제1-1호,오피스
112239,210호(A종),이지스제210호전문투자형사모부동산투자회사(최선순위A종), 
112246,236호,이지스전문투자형사모부동산투자신탁236호,오피스
112124,NPL1-1호,이지스NPL전문투자형사모부동산투자신탁1-1호,NPL
112150,141호,이지스글로벌일반사모부동산투자신탁141호,리테일
112079,99호,이지스KORIF99호, 
112128,코어1호,이지스코어플랫폼일반사모부동산자투자신탁제1호,지분증권
112457,370호(A),이지스전문투자형사모투자신탁370호(Class A), 
112257,239호(C-P),이지스부동산투자신탁239호 (Class C-p), 
112264,244호,이지스전문투자형사모부동산투자신탁244호,리테일
112800,천호SS(2종),이지스천호스페셜시츄에이션일반사모부동산투자신탁(2종),NPL
112225,219호,이지스전문투자형사모부동산투자신탁219호, 
112249,231호,이지스전문투자형사모투자신탁231호,주거
112353,317호(1종),이지스전문투자형사모부동산투자신탁317호(1종), 
112276,258호,이지스전문투자형사모부동산투자신탁258호,특별자산
112282,232호(3종),이지스일반사모부동산투자신탁232호(3종),특별자산
112288,263호(1종),이지스전문투자형사모부동산투자신탁263호 1종,주거
112289,263호(2종),이지스전문투자형사모부동산투자신탁263호 2종,주거
112298,280호,이지스부동산투자신탁280호,주거
112297,277호,이지스전문투자형사모투자신탁277호,오피스
112304,262호,이지스글로벌전문투자형사모부동산투자신탁262호,오피스
112207,208호,이지스전문투자형사모투자신탁208호,주거
112210,210호(1종),이지스제210호전문투자형사모부동산투자회사(1종),복합(오피스)
112314,290호,이지스전문투자형사모부동산투자신탁290호(운용),오피스
112643,451호(1종),이지스일반사모부동산투자신탁제451호(1종),물류
112747,501호(2종),이지스일반사모부동산자투자신탁제501호(2종),데이터센터
P00011,P디오션259,디오션259피에프브이 주식회사,복합(호텔)
112028,24호,이지스사모부동산투자신탁24호,복합(호텔)
112224,215호,이지스미국전문투자형사모부동산투자신탁215호, 
112330,286호(2종),이지스전문투자형사모부동산투자신탁286호(2종),물류
112681,468-2호(2종),이지스일반사모부동산투자신탁제468-2호(2종),지분증권
112342,309호,이지스전문투자형사모부동산투자신탁309호,기타
112301,282호,이지스전문투자형사모투자신탁282호,물류
120081,경산로지스1-1호,이지스경산로지스일반사모부동산투자신탁제1-1호(운용),물류
112345,302호(A),이지스코어리테일부동산투자신탁302호(Class A), 
120007,517-1호(5종),이지스일반사모부동산자투자신탁제517의1호(1의5종),복합(주거)
112359,310호(C-I),이지스글로벌공모부동산투자신탁310호(파생형) (Class C-I), 
112360,310호(C-P),이지스글로벌공모부동산투자신탁310호(파생형) (Class C-P), 
112367,299호(C1),이지스리테일부동산투자신탁299호 (Class-C1),리테일
112369,에이치밸류(1종),에이치밸류전문투자형사모부동산투자유한회사(1종),리테일
112261,셀렉리츠1호(A),이지스글로벌셀렉트리츠일반사모부동산투자신탁 1호 Class A,기타
112215,207호,이지스전문투자형사모투자신탁207호(재간접형),복합(오피스)
112746,501호(1종),이지스일반사모부동산자투자신탁제501호(1종),데이터센터
112378,330호(2-B종),이지스일반사모부동산투자신탁제330호(2-B종),복합(리테일)
112381,기회추구 2호(1종),이지스기회추구일반사모부동산자투자신탁제2호(1종),지분증권
112348,302호(C-P),이지스코어리테일부동산투자신탁302호(Class C-P), 
300040,그린ON1호,이지스그린ON일반사모투자신탁제1호,기타
112397,331호(1종),이지스일반사모부동산투자신탁제331호(1종),복합(호텔)
112693,463-1호,이지스일반사모부동산투자신탁제463-1호(운용),지분증권
112400,97호(C2),이지스일반사모부동산투자신탁97호(Class C2),오피스
112295,266호,이지스미국일반사모부동산투자신탁266호,복합(오피스)
112346,302호(C-I),이지스코어리테일부동산투자신탁302호(Class C-I), 
112429,고배당리츠(C),이지스글로벌고배당리츠플러스부동산투자신탁(리츠-재간접형) Class C,지분증권
112427,고배당리츠(A-e),이지스글로벌고배당리츠플러스부동산투자신탁(리츠-재간접형) Class A-e,지분증권
112434,고배당리츠(C-P),이지스글로벌고배당리츠플러스부동산투자신탁(리츠-재간접형) Class C-P,지분증권
300006,하이일드공모주1호,이지스 하이일드 공모주 일반사모투자신탁 제1호,기타
112431,고배당리츠(C-G),이지스글로벌고배당리츠플러스부동산투자신탁(리츠-재간접형) Class C-G, 
112275,256호,이지스제256호전문투자형사모부동산투자유한회사,주거
300075,하이일드공모주3호,이지스하이일드공모주일반사모투자신탁제3호,기타
112073,78호,이지스글로벌전문투자형사모부동산투자신탁78호,오피스
112512,333호(2종),이지스제333호일반사모부동산투자신탁(2종),호텔
112336,시그니처리츠(C),이지스글로벌시그니처리츠전문투자형사모부동산투자신탁 Class C,기타
112444,354호(2종),이지스전문투자형사모부동산투자신탁제354호(2종),데이터센터
112443,354호(1종),이지스전문투자형사모부동산투자신탁제354호(1종),데이터센터
112572,KDCIP1(2종),이지스플랫폼케이디씨아이피1부동산전문투자형사모투자회사(2종),데이터센터
112072,73호,이지스영국전문투자형사모부동산투자신탁73호,복합(오피스)
112511,333호(1종),이지스제333호일반사모부동산투자신탁(1종),호텔
112452,글로벌리츠목표전환,이지스글로벌리츠목표전환전문투자형사모부동산투자신탁, 
112319,255호,이지스리테일전문투자형사모부동산투자신탁255호, 
112460,373호,이지스전문투자형사모부동산투자신탁373호, 
112455,367호(2종),이지스전문투자형사모부동산투자유한회사367호(2종), 
112515,395호(1종),이지스제395호전문투자형사모부동산투자유한회사(1종),주거
112463,371호(2종),이지스제371호전문투자형사모부동산투자회사(2종), 
112464,371호(3종),이지스제371호전문투자형사모부동산투자회사(3종), 
112467,374호,이지스제374호전문투자형사모부동산투자유한회사(운용), 
112477,372호(2종),이지스제372호전문투자형사모부동산투자신탁(2종),오피스
112323,아레나스1-1호(모),이지스아레나스케이엘아이피1의1사모부동산모투자회사,물류
112423,353호(2-A종),이지스일반사모부동산투자신탁제353호(2-A종),복합(오피스)
112481,10-1호(2종),이지스전문투자형사모부동산투자신탁10-1호(재간접)(2종),복합(오피스)
112387,326호,이지스전문투자형사모투자신탁326호,기타
112571,KDCIP1(1종),이지스플랫폼케이디씨아이피1부동산전문투자형사모투자회사(1종),데이터센터
112488,388호(1종),이지스전문투자형사모부동산투자신탁제388호(1종), 
P00004,P해운대626,해운대626피에프브이 주식회사,호텔
300079,멀티드래곤6호,이지스멀티드래곤일반사모투자신탁제6호,기타
112382,기회추구 2호(2종),이지스기회추구일반사모부동산자투자신탁제2호(2종),지분증권
112469,374호(2종),이지스제374호전문투자형사모부동산투자유한회사(2종), 
200042,579호,이지스글로벌일반사모부동산투자신탁579호,대출채권
112438,고배당리츠(C-W),이지스글로벌고배당리츠플러스부동산투자신탁(리츠-재간접형) Class C-W,지분증권
120076,경산 SS1호,이지스경산스페셜시츄에이션일반사모부동산투자신탁제1호,NPL
112581,420호(1종),이지스제420호전문투자형사모부동산투자회사(1종),복합(오피스)
112152,153호,이지스제153호전문투자형사모부동산투자유한회사,주거
112266,230호(2종),이지스전문투자형230호사모부동산투자유한회사(2종), 
120047,코어인프라1호(2종),이지스코어에너지인프라일반사모투자신탁제1호(2종),특별자산
112655,460호(2종),이지스일반사모부동산투자신탁460호(2종),주거
112491,389호(1종),이지스전문투자형사모부동산투자신탁제389호(1종),리테일
300029,K본드알파2호(A),이지스K본드알파일반사모투자신탁제2호(Class A),기타
112140,130-2호,이지스일반사모부동산자투자신탁제130-2호,오피스
112484,378-1호,이지스글로벌일반사모부동산자투자신탁378-1호,물류
112797,18A호(2종),이지스일반사모부동산자투자신탁18A호(2종),지분증권
112539,386호,이지스미국일반사모부동산투자신탁386호,복합(오피스)
112537,408호(A종),이지스제408호일반사모부동산투자신탁(A종),복합(오피스)
120010,518호(2종),이지스용산오피스일반사모부동산투자신탁제518호(2종),오피스
112517,비즈성장 1호,이지스비즈성장공간플랫폼일반사모부동산투자신탁제1호(재간접형),오피스
112548,403호(1종),이지스제403호전문투자형사모부동산투자유한회사(1종),물류
112371,243-2호,이지스글로벌일반사모부동산투자신탁243-2호(재간접형),물류
112722,라이징K리츠,이지스 라이징 K리츠 부동산투자신탁(리츠-재간접형),지분증권
112551,412호,이지스일반사모부동산투자신탁제412호,오피스
112555,367호(3종),이지스전문투자형사모부동산투자유한회사367호(3종), 
112553,412호(2종),이지스일반사모부동산투자신탁제412호(2종),오피스
112516,395호(2종),이지스제395호전문투자형사모부동산투자유한회사(2종),주거
200003,519호,이지스유럽포트폴리오일반사모부동산투자신탁제519호(대출), 
112567,419호,이지스제419호전문투자형사모부동산투자회사, 
112566,405-1호,이지스글로벌전문투자형사모부동산자투자신탁405-1호, 
112456,370호,이지스전문투자형사모투자신탁370호(운용),주거
120004,517-1호(2종),이지스일반사모부동산자투자신탁제517의1호(1의2종),복합(주거)
112542,411호,이지스일반사모부동산투자신탁제411호,주거
112549,403호(2종),이지스제403호전문투자형사모부동산투자유한회사(2종),물류
112544,386호(1종),이지스미국일반사모부동산투자신탁386호(1종),복합(오피스)
300043,그린ON1호(C-i),이지스그린ON일반사모투자신탁제1호(Class C-i),기타
112534,409호(2종),이지스일반사모부동산투자신탁409호(Class C),복합(오피스)
120068,562의1호(5종),이지스일반사모부동산자투자신탁제562의1호(5종),복합(주거)
112508,지엘아이피1-2호(1종),이지스지엘아이피일반사모투자신탁1-2호(1종),물류
112136,140호,이지스광명역세권전문투자형사모부동산투자신탁140호,복합(오피스)
112580,420호(보통주),이지스제420호전문투자형사모부동산투자회사(보통주),복합(오피스)
120019,472호(A종),이지스제472호일반사모부동산투자회사(A종),데이터센터
112285,227호,이지스전문투자형사모부동산투자신탁227호,리테일
112420,357호(2종),이지스캘리포니아일반사모부동산투자신탁357호(재간접형) (2종),오피스
112590,416호(1종),이지스일반사모부동산투자신탁제416호(1종),복합(오피스)
112592,437호,이지스전문투자형사모투자신탁437호,리테일
112594,354호(A종),이지스전문투자형사모부동산투자신탁제354호(A종),데이터센터
120093,RE100솔라1호(2종),이지스RE100솔라일반사모투자신탁제1호(2종),특별자산
300036,셀렉K리츠목표달성형,이지스셀렉트K리츠목표달성형일반사모투자신탁,기타
112595,354호(B종),이지스전문투자형사모부동산투자신탁제354호(B종),데이터센터
112593,303호,이지스제303호일반사모부동산투자회사,오피스
112487,388호,이지스전문투자형사모부동산투자신탁제388호(운용),특별자산
112563,424호(1종),이지스제424호전문투자형사모부동산투자회사(1종),오피스
112613,하우징플랫폼1호(2종),이지스하우징플랫폼일반사모부동산투자신탁제1호(2종),지분증권
112142,134호,이지스전문투자형사모투자신탁134호(태양광1호),특별자산
112435,고배당리츠(C-Pe),이지스글로벌고배당리츠플러스부동산투자신탁(리츠-재간접형) Class C-Pe,지분증권
120044,산단1호,이지스산업단지환경개선일반사모부동산투자신탁제1호,지분증권
112631,리츠플랫폼(A),이지스리츠플랫폼일반사모부동산투자신탁 Class A, 
112634,리츠플랫폼(C-f),이지스리츠플랫폼일반사모부동산투자신탁 Class C-g,지분증권
112636,리츠플랫폼(C-w),이지스리츠플랫폼일반사모부동산투자신탁 Class C-w, 
112344,302호,이지스코어리테일부동산투자신탁302호(운용),리테일
112138,136호,이지스아시아일반사모부동산투자신탁136호 (재간접형),복합(오피스)
112321,297호,이지스전문투자형사모부동산투자신탁297호,지분증권
112554,412호(3종),이지스일반사모부동산투자신탁제412호(3종),오피스
112670,472호(1종),이지스제472호일반사모부동산투자회사(1종),데이터센터
112396,331호,이지스일반사모부동산투자신탁제331호(운용),복합(호텔)
112678,47호(2종),이지스일반사모부동산투자신탁47호(2종),호텔
112433,고배당리츠(C-I),이지스글로벌고배당리츠플러스부동산투자신탁(리츠-재간접형) Class C-I, 
112616,446호,이지스일반사모투자신탁446호,주거
112688,울산신항인프라(1종),이지스울산신항인프라일반사모투자신탁(1종),특별자산
112694,463-1호(1종),이지스일반사모부동산투자신탁제463-1호(1종),지분증권
112692,463호(보통주),이지스제463호부동산일반사모투자회사(보통주),오피스
112695,463-1호(2종),이지스일반사모부동산투자신탁제463-1호(2종),지분증권
112697,463-1호(A종),이지스일반사모부동산투자신탁제463-1호(A종),오피스
112676,468-1호(C-I),이지스일반사모부동산투자신탁제468-1호(Class C-I), 
112632,리츠플랫폼(C),이지스리츠플랫폼일반사모부동산투자신탁 Class C,지분증권
112640,452호,이지스제452호일반사모부동산투자회사,데이터센터
112217,178호,이지스전문투자형사모부동산투자신탁178호,오피스
112203,196호(C-p),이지스부동산투자신탁196호(Class C-P), 
112708,478호,이지스북미토스카나선순위일반사모투자신탁478호,대출채권
112713,멀티인컴1호(C-i),이지스 멀티인컴 일반사모투자신탁 제1호(Class C-i),기타
112712,멀티인컴1호(C),이지스 멀티인컴 일반사모투자신탁 제1호(Class C),기타
112379,기회추구 2-1호,이지스기회추구일반사모부동산모투자신탁제2-1호,지분증권
112725,라이징K리츠(A-G),이지스 라이징 K리츠 부동산투자신탁(리츠-재간접형)A-G class,지분증권
112291,스트래티직1-3-3호,이지스스트래티직 일반사모부동산자투자신탁 제1-3-3호,리테일
112728,라이징K리츠(C-G),이지스 라이징 K리츠 부동산투자신탁(리츠-재간접형)C-G class,지분증권
120059,반포1호,이지스반포스페셜시츄에이션일반사모부동산투자신탁제1호,NPL
112733,라이징K리츠(C-P2),이지스 라이징 K리츠 부동산투자신탁(리츠-재간접형)C-P2 class,지분증권
112047,48호,이지스사모부동산투자신탁48호,리테일
112732,라이징K리츠(C-Pe),이지스 라이징 K리츠 부동산투자신탁(리츠-재간접형)C-Pe class,지분증권
112738,라이징K리츠(S-P2),이지스 라이징 K리츠 부동산투자신탁(리츠-재간접형)S-P2 class,지분증권
112707,421호(B종),이지스일반사모부동산투자신탁421호(B종),지분증권
112737,라이징K리츠(S-P),이지스 라이징 K리츠 부동산투자신탁(리츠-재간접형)S-P class,지분증권
112742,멀티인컴2호(C),이지스 멀티인컴 일반사모투자신탁 제2호 Class C,기타
112498,389호(3종),이지스전문투자형사모부동산투자신탁제389호(3종),리테일
112753,490호,이지스제490호부동산일반사모투자회사, 
112675,468-1호(A),이지스일반사모부동산투자신탁제468-1호(Class A), 
120070,555호,이지스제555호부동산일반사모투자회사,복합(오피스)
112354,317호(2종),이지스전문투자형사모부동산투자신탁317호(2종), 
112682,468-1호,이지스일반사모부동산투자신탁제468-1호,지분증권
112752,387호,이지스제387호부동산일반사모투자회사, 
112757,T-프런티어1호(A),이지스코어멀티에셋EMP일반사모투자신탁제1호(Class A),기타
112552,412호(1종),이지스일반사모부동산투자신탁제412호(1종),오피스
112731,라이징K리츠(C-P),이지스 라이징 K리츠 부동산투자신탁(리츠-재간접형)C-P class,지분증권
112760,T-프런티어1호(C-S),이지스T-프런티어일반사모투자신탁제1호(Class C-S),기타
112762,KDCIP 2호(기획),Korea Data Center Investment Platform II (기획),데이터센터
112764,리빙플랫폼2호,이지스리빙플랫폼일반사모부동산자투자신탁제2호,주거
112768,스튜디오 1호,IGIS Korea Studio Investment Platform I,기타
112774,508호(운용),이지스일반사모부동산투자신탁제508호(운용),지분증권
112779,502호(1종),이지스제502호부동산일반사모투자회사(1종),오피스
112775,508호(1종),이지스일반사모부동산투자신탁제508호(1종),지분증권
112786,482호(1종),이지스일반사모부동산자투자신탁제482호(1종),주거
112720,카스퀘어NPL,이지스카스퀘어NPL일반사모부동산투자신탁,NPL
112714,멀티인컴1호(C-g),이지스 멀티인컴 일반사모투자신탁 제1호(Class C-g),기타
112787,482호(2종),이지스일반사모부동산자투자신탁제482호(2종),주거
112717,장기지분형1호,이지스장기지분형전문투자형사모부동산집합투자기구, 
112788,482호(3종),이지스일반사모부동산자투자신탁제482호(3종),주거
112792,149호(1종),이지스일반사모부동산투자신탁149호(1종),리테일
112373,334호,이지스전문투자형사모투자신탁334호,주거
112793,149호(2종),이지스일반사모부동산투자신탁149호(2종),리테일
R00007,R로지스틱스,이지스로지스틱스리츠,물류
112364,316-2호,이지스글로벌일반사모부동산자투자신탁316-2호,주거
112726,라이징K리츠(C),이지스 라이징 K리츠 부동산투자신탁(리츠-재간접형)C class,지분증권
112202,203호,이지스전문투자형사모투자신탁203호(재간접형),호텔
120005,517-1호(3종),이지스일반사모부동산자투자신탁제517의1호(1의3종),복합(주거)
112526,397호(1종),이지스제397호전문투자형부동산사모투자회사(1종),오피스
120003,517-1호(1종),이지스일반사모부동산자투자신탁제517의1호(1의1종),복합(주거)
112522,이익참여형메자닌1-2호,이지스이익참여형메자닌전문투자형사모부동산모투자신탁제1-2호,물류
112750,장기지분형1-1호(2종),이지스장기지분형일반사모부동산자투자신탁제1-1호(2종),물류
120026,97호(F2),이지스일반사모부동산투자신탁97호(Class F2),오피스
120024,애월엔터1종,애월엔터테인먼트일반사모투자신탁(1종),지분증권
112385,전문투자형사모1호(1종),이지스전문투자형사모부동산투자신탁1호(1종), 
112799,천호SS(1종),이지스천호스페셜시츄에이션일반사모부동산투자신탁(1종),NPL
112769,비즈성장 2호,이지스비즈성장공간플랫폼일반사모부동산투자신탁제2호, 
112569,KDCIP 1호,이지스플랫폼케이디씨아이피1부동산전문투자형사모투자회사(운용),데이터센터
112015,18A호,이지스일반사모부동산자투자신탁18A호(운용),지분증권
R00002,R수익형319호,이지스수익형부동산제319호위탁관리부동산투자회사, 
120011,263호(3종),이지스전문투자형사모부동산투자신탁263호 3종,주거
112439,고배당리츠(S),이지스글로벌고배당리츠플러스부동산투자신탁(리츠-재간접형) Class S,지분증권
120040,성수 PF재구조화(1종),이지스 성수PF재구조화 일반사모부동산투자신탁(1종),NPL
120035,랜드플랫폼1-3호(4종),이지스랜드플랫폼일반사모부동산투자신탁제1-3호(4종),지분증권
120037,성수 PF재구조화(운용),이지스 성수PF재구조화 일반사모부동산투자신탁(운용),NPL
112262,셀렉리츠1호(C-I),이지스글로벌셀렉트리츠일반사모부동산투자신탁 1호 Class C-I,기타
112430,고배당리츠(C-e),이지스글로벌고배당리츠플러스부동산투자신탁(리츠-재간접형) Class C-e,지분증권
120051,수서PF(1종),이지스수서PF재구조화일반사모부동산투자신탁(1종),NPL
120050,수서PF,이지스수서PF재구조화일반사모부동산투자신탁,NPL
112798,천호SS(운용),이지스천호스페셜시츄에이션일반사모부동산투자신탁(운용),NPL
120002,서초SS,이지스서초스페셜시츄에이션일반사모부동산투자신탁,NPL
120055,42호(2종),이지스일반사모부동산투자신탁42호(2종),오피스
112126,110호,이지스세운전문투자형사모부동산투자신탁110호,복합(오피스)
112449,364호,이지스전문투자형사모투자신탁364호,주거
120020,주거후순위PF,이지스주거분양후순위PF 제1호,대출채권
112372,318호,이지스일반사모부동산투자신탁318호,오피스
300002,인컴플러스1호(A),이지스 인컴플러스 일반사모투자신탁 제1호(Class A), 
112506,지엘아이피1-1호(1종),이지스지엘아이피일반사모투자신탁1-1호(1종),물류
120108,424호(우선주식1-1),이지스제424호전문투자형사모부동산투자회사(우선주식1-1),오피스
120069,562의1호(6종),이지스일반사모부동산자투자신탁제562의1호(6종),복합(주거)
120049,국내PF재구조화1-2호(모),이지스국내PF재구조화일반사모부동산모투자신탁제1-2호,NPL
120071,10호(1종),이지스KORIF일반사모부동산투자신탁10호(1종), 
190007,542호(보통주식),이지스제542호부동산일반사모투자회사(보통주식),주거
112316,290호(C),이지스전문투자형사모부동산투자신탁290호(Class C), 
120077,경산물류1호,이지스경산물류제1호일반사모부동산투자회사,물류
112401,335호,이지스글로벌일반사모부동산투자신탁335호,물류
120073,송도SS,이지스송도스페셜시츄에이션일반사모부동산투자신탁,NPL
112318,NPL2-1호,이지스NPL전문투자형사모부동산투자신탁제2-1호,NPL
120083,경산로지스1-1호(2종),이지스경산로지스일반사모부동산투자신탁제1-1호(2종),물류
120086,경산로지스1호(보통주식),이지스경산로지스제1호일반사모부동산투자회사(보통주),물류
120090,395호(2-1종),이지스제395호전문투자형사모부동산투자유한회사(2-1종),주거
120097,항만현대화1호,이지스항만현대화인프라일반사모투자신탁제1호,특별자산
120096,재구조화선순위대출,이지스재구조화선순위대출일반사모부동산투자신탁,대출채권
112243,229호(A),이지스글로벌부동산투자신탁229호(파생형) (Class A),복합(오피스)
120101,용산PF재구조화1호(2종),이지스용산PF재구조화일반사모부동산투자신탁제1호(2종),오피스
112258,242호,이지스전문투자형사모부동산투자신탁242호,리테일
