entity_key,entity_type,entity_id,display_title,display_subtitle,source_table,source_id,confidence,status,metadata_json
project:project_notion_3258ced4-3c47-81bd-8cae-d653d94a7a92,project,project_notion_3258ced4-3c47-81bd-8cae-d653d94a7a92,더강남832,PRJ-27 | Project | 설정 후,projects,project_notion_3258ced4-3c47-81bd-8cae-d653d94a7a92,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81be-a045-f6d9f2ee2c6a,project,project_notion_3258ced4-3c47-81be-a045-f6d9f2ee2c6a,롯데백화점 분당점 리모델링,PRJ-2 | Project | 설정 후,projects,project_notion_3258ced4-3c47-81be-a045-f6d9f2ee2c6a,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81bf-b4c6-d16503557c02,project,project_notion_3258ced4-3c47-81bf-b4c6-d16503557c02,London Canon Bridge House Senior Loan,Project | 설정 후,projects,project_notion_3258ced4-3c47-81bf-b4c6-d16503557c02,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81c0-9deb-d9cf0ae55762,project,project_notion_3258ced4-3c47-81c0-9deb-d9cf0ae55762,에이치밸류 KORNER 136,Project | 설정 후,projects,project_notion_3258ced4-3c47-81c0-9deb-d9cf0ae55762,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81c0-bc85-e679f9a1327d,project,project_notion_3258ced4-3c47-81c0-bc85-e679f9a1327d,실물우선주 1호,Project | 설정 후,projects,project_notion_3258ced4-3c47-81c0-bc85-e679f9a1327d,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81c2-be12-f2654447d341,project,project_notion_3258ced4-3c47-81c2-be12-f2654447d341,용산PF재구조화 펀드,PRJ-72 | Project | 설정 후,projects,project_notion_3258ced4-3c47-81c2-be12-f2654447d341,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81c3-a4fe-ff8b9c70891c,project,project_notion_3258ced4-3c47-81c3-a4fe-ff8b9c70891c,부동산 및 인프라 섹터 컨버젼스 전략,Mission,projects,project_notion_3258ced4-3c47-81c3-a4fe-ff8b9c70891c,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81c4-8636-c586cdd9a67c,project,project_notion_3258ced4-3c47-81c4-8636-c586cdd9a67c,글로벌세컨더리3호,,projects,project_notion_3258ced4-3c47-81c4-8636-c586cdd9a67c,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81c4-8ef5-f0a726dd8f66,project,project_notion_3258ced4-3c47-81c4-8ef5-f0a726dd8f66,펀드 청산 및 폐업 신고 일정 관리,Project | 설정 후,projects,project_notion_3258ced4-3c47-81c4-8ef5-f0a726dd8f66,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81c6-87e2-f77e714dfccd,project,project_notion_3258ced4-3c47-81c6-87e2-f77e714dfccd,원센티널(舊 신한금융투자타워),PRJ-177 | Project | 설정 후,projects,project_notion_3258ced4-3c47-81c6-87e2-f77e714dfccd,1.0,confirmed,{}
