asset_id,canonical_name,pnu,source_asset_id,source_kind,fill_fields,fill_count,new_site_area,new_scr,new_far,new_main_usage,new_structure,new_floors_up,new_parking,new_height,applied_fields,new_gross_floor_area,new_completion_date
ast_7a29ef0974d5,이지스354호 수익증권,4145011000106070002,ast_84491d5860d7,same_pnu_ledger,"site_area,scr,far,main_usage,structure,floors_up,parking,height",8,6637.5,58.89,497.46,데이터센터,철근콘크리트구조,10,옥내 177 / 옥외 0,71.1,"site_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",,
ast_7e82a79ae501,에이치엠솔라1,5113025029122550002,ast_db3bfd1b4baf,same_pnu_ledger,"site_area,gross_floor_area,scr,far,main_usage,structure,floors_up,parking,height",9,20738.7,23.1,63.78,물류,철근콘크리트구조,3,옥내 0 / 옥외 69,17.05,"site_area,gross_floor_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",13226.8,
ast_b4b61550017e,이에스에이치12,4623025034122240000,ast_d4d0f0ff0926,same_pnu_ledger,"site_area,gross_floor_area,scr,far,main_usage,structure,floors_up,parking,height",9,0.0,0.0,0.0,공장,경량철골구조,1,옥내 0 / 옥외 0,4.95,"site_area,gross_floor_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",49.5,
ast_fd6c2781e217,에스와이솔라,2644010100116190000,ast_6fbb0d555e87,same_pnu_ledger,"site_area,gross_floor_area,scr,far,main_usage,structure,floors_up,parking,height",9,0.0,0.0,0.0,판매시설,철근콘크리트구조,1,옥내 0 / 옥외 0,4.5,"site_area,gross_floor_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",189.0,
ast_b63d20942515,씨에스에너텍,4729025321111860007,ast_357127c88355,same_pnu_ledger,"site_area,gross_floor_area,scr,far,main_usage,structure,floors_up,parking,height",9,0.0,0.0,0.0,공장,일반철골구조,1,옥내 0 / 옥외 13,6.15,"site_area,gross_floor_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",104.94,
ast_b03e4a6447f9,후너스빌딩,4113510200100220002,ast_1063cfdde684,same_pnu_ledger,"site_area,scr,far,main_usage,structure,floors_up,parking,height",8,1384.2,66.32,636.78,오피스,철골콘크리트구조,11,옥내 0 / 옥외 9,52.3,"site_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",,
ast_6ce950493e21,롯데마트대덕점,3020014600108870000,ast_9e54163d0926,same_pnu_ledger,"site_area,scr,far,main_usage,structure,floors_up,parking,height",8,33140.3,49.77,165.48,리테일,철근콘크리트구조,5,옥내 689 / 옥외 144,25.7,"site_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",,
ast_4ed0982904a0,구리 수택동 오피스텔 사업부지,4131010500103700000,ast_ee5b4d0511ec,same_pnu_ledger,"site_area,scr,far,main_usage,structure,floors_up,parking,height",8,1956.6,47.38,94.76,제1종근린생활시설,철근콘크리트구조,2,옥내 0 / 옥외 23,0.0,"site_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",,
ast_7a24bbf34ad5,화성 석포리 물류센터,4159135022101470012,ast_109318d66df6,same_pnu_ledger,"site_area,scr,far,main_usage,structure,floors_up,parking,height",8,0.0,0.0,0.0,물류,철골철근콘크리트합성구조,2,옥내 0 / 옥외 0,28.92,"site_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",,
ast_d2b153d30e56,㈜동방 보유 유엔씨티㈜ 대출채권 매입,3114011400108300000,ast_c644d28176a4,same_pnu_ledger,"site_area,gross_floor_area,scr,far,main_usage,structure,floors_up,parking,height",9,0.0,0.0,0.0,운수시설,철근콘크리트구조,6,옥내 0 / 옥외 0,30.4,"site_area,gross_floor_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",7113.14,
ast_a9ed8293cd98,안성홈플러스물류센터,4155038022109410000,ast_52adbb346181,same_pnu_ledger,"site_area,scr,far,main_usage,structure,floors_up,parking,height",8,0.0,4.03,0.0,물류,일반철골구조,1,옥내 0 / 옥외 0,8.3,"site_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",,
ast_59d30ecfb664,인천석남물류센터,2826011000102240008,ast_0920c9043185,same_pnu_ledger,"site_area,scr,far,main_usage,structure,floors_up,parking,height",8,54193.0,5.09,359.96036,물류,프리케스트콘크리트구조,8,옥내 1093 / 옥외 30,79.87,"site_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",,
ast_32b8e4125074,㈜동방 보유 유엔씨티㈜ 대출채권 매입,3114011400108300000,ast_c644d28176a4,same_pnu_ledger,"site_area,gross_floor_area,scr,far,main_usage,structure,floors_up,parking,height",9,0.0,0.0,0.0,운수시설,철근콘크리트구조,6,옥내 0 / 옥외 0,30.4,"site_area,gross_floor_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",7113.14,
ast_7de62416869e,롯데마트(대전대덕),3020014600108870000,ast_9e54163d0926,same_pnu_ledger,"site_area,scr,far,main_usage,structure,floors_up,parking,height",8,33140.3,49.77,165.48,리테일,철근콘크리트구조,5,옥내 689 / 옥외 144,25.7,"site_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",,
ast_97346b281c40,롯데마트(제주),5011012200107080000,ast_8f63f7ec9170,same_pnu_ledger,"site_area,scr,far,main_usage,structure,floors_up,parking,height",8,4364.9,6.7,399.36,제2종근린생활시설,일반철골구조,6,옥내 173 / 옥외 0,32.14,"site_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",,
ast_f634fefd3182,롯데팩토리아울렛(인천),2811011800100760002,ast_44e362fded27,same_pnu_ledger,"site_area,scr,far,main_usage,structure,floors_up,parking,height",8,20486.0,6.7,183.84,리테일,철근콘크리트구조,6,옥내 625 / 옥외 7,44.65,"site_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",,
ast_28ca5c846449,롯데마트(포항),4711111500104810001,ast_2599313d9083,same_pnu_ledger,"site_area,scr,far,main_usage,structure,floors_up,parking,height",8,9667.6,5.1,49.56,판매시설,일반철골구조,3,옥내 0 / 옥외 72,12.3,"site_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",,
ast_e1569e444936,안성홈플러스물류센터,4155038022109410000,ast_52adbb346181,same_pnu_ledger,"site_area,scr,far,main_usage,structure,floors_up,parking,height",8,0.0,4.03,0.0,물류,일반철골구조,1,옥내 0 / 옥외 0,8.3,"site_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",,
ast_585e399aa10a,뉴코아아울렛(평촌),4117310400110390003,ast_223bae23bf93,same_pnu_ledger,"site_area,gross_floor_area,scr,far,main_usage,structure,floors_up,parking,height",9,5745.9,54.08,615.63,리테일,철근콘크리트구조,12,옥내 600 / 옥외 4,54.0,"site_area,gross_floor_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",70154.7,
ast_366f9df25803,뉴코아아울렛(일산),4128510500107970000,ast_c9b5f50bc992,same_pnu_ledger,"site_area,gross_floor_area,scr,far,main_usage,structure,floors_up,parking,height",9,5712.1,50.9,502.35,리테일,철근콘크리트구조,10,옥내 501 / 옥외 24,48.95,"site_area,gross_floor_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",60148.0,
