asset_id,asset_code,canonical_name,proposed_physical_asset_name,proposed_non_physical_label,linked_fund_short_names,asset_type,asset_kind,review_status,has_address,has_pnu,cleanup_action,cleanup_reason
ast_0bab0f479396,A112669001,김포DC 개발사업,김포DC 개발사업,,"472호, 472호(1종), 472호(보통주), 472호(A종)",데이터센터,physical_asset,verified,Y,Y,keep_physical_name,real estate type or physical evidence exists
ast_344729614f8e,A300085001,국내 채권형 ETF,,노트/채권 · A300085001,,,physical_asset,verified,N,N,suppress_financial_name,financial/security keyword without enough physical evidence
ast_e3a8955cec50,A112682001,이지스일반사모부동산투자신탁제468-2호(2종)의 수익증권,이지스일반사모부동산투자신탁제468-2호(2종)의 수익증권,,"468-1호(A), 468-1호(C-I), 468-1호",오피스복합,physical_asset,verified,N,N,keep_physical_name,real estate type or physical evidence exists
ast_30a89c098710,A112055001,씨티플라자,씨티플라자,,,오피스,physical_asset,verified,Y,Y,keep_physical_name,real estate type or physical evidence exists
ast_32b8e4125074,A112687001,㈜동방 보유 유엔씨티㈜ 대출채권 매입,㈜동방 보유 유엔씨티㈜ 대출채권 매입,,,,physical_asset,verified,Y,Y,keep_physical_name,real estate type or physical evidence exists
ast_fdc6a46958de,A112693001,이지스제463호부동산일반사모투자회사 주식,이지스제463호부동산일반사모투자회사 주식,,463-1호,리테일,physical_asset,verified,N,N,keep_physical_name,real estate type or physical evidence exists
ast_2b86e2fb0350,A112050001,Prologis Targeted European Logistics Fund,,펀드지분 · A112050001,,물류센터,physical_asset,verified,N,N,suppress_fund_like_name,fund-like/security-like name has no physical address or PNU evidence
ast_b15d07c78d56,A112051001,Hines Poland Sustainable Income Fund,,펀드지분 · A112051001,,오피스복합,physical_asset,verified,N,N,suppress_fund_like_name,fund-like/security-like name has no physical address or PNU evidence
ast_7de62416869e,A112054001,롯데마트(대전대덕),롯데마트(대전대덕),,,리테일,physical_asset,verified,Y,Y,keep_physical_name,real estate type or physical evidence exists
ast_f634fefd3182,A112054003,롯데팩토리아울렛(인천),롯데팩토리아울렛(인천),,,리테일,physical_asset,verified,Y,Y,keep_physical_name,real estate type or physical evidence exists
ast_28ca5c846449,A112056001,롯데마트(포항),롯데마트(포항),,,리테일,physical_asset,verified,Y,Y,keep_physical_name,real estate type or physical evidence exists
ast_699a38d90c72,A112057001,Colony Distressed Credit Fund IV,,크레딧펀드/펀드지분 · A112057001,,오피스,physical_asset,verified,N,N,suppress_fund_like_name,fund-like/security-like name has no physical address or PNU evidence
ast_1e36ef9dd9b2,A112722001,"국내 상장 리츠, 상장 인프라펀드, 채권형 펀드",,노트/채권 · A112722001,,,physical_asset,verified,N,N,suppress_financial_name,financial/security keyword without enough physical evidence
ast_ac86e3c795d0,A120044001,이지스제542호부동산일반사모투자회사(제1종),이지스제542호부동산일반사모투자회사(제1종),,,주거,physical_asset,verified,N,N,keep_physical_name,real estate type or physical evidence exists
ast_84c127b8ca64,A120045001,한림그린에너지 주식 및 대여금,,지분증권 · A120045001,,,physical_asset,verified,N,N,suppress_financial_name,financial/security keyword without enough physical evidence
ast_7895e015edf7,A120045002,코어그린에너지 주식 및 대여금,,지분증권 · A120045002,,,physical_asset,verified,N,N,suppress_financial_name,financial/security keyword without enough physical evidence
ast_47369fe0367d,A120045003,이지스유에이치 주식 및 대여금,,지분증권 · A120045003,,,physical_asset,verified,N,N,suppress_financial_name,financial/security keyword without enough physical evidence
ast_eecafb08b47c,A120045004,유에이치파워 대여금,유에이치파워 대여금,,,,physical_asset,verified,N,N,review_unknown_name,insufficient evidence for automatic physical name decision
ast_697ed2622b49,A120047001,이지스 코어에너지인프라 1호 수익증권,,금융상품 · A120047001,,,physical_asset,verified,N,N,suppress_financial_name,financial/security keyword without enough physical evidence
ast_8c5d70080541,A120050001,수서역세권 공공주택지구 B1-3BL 개발사업 브릿지대출,수서역세권 공공주택지구 B1-3BL 개발사업 브릿지대출,,,주거,physical_asset,verified,N,N,keep_physical_name,real estate type or physical evidence exists
ast_974048441032,A120053001,하이파킹 대여금,하이파킹 대여금,,,,physical_asset,verified,N,N,review_unknown_name,insufficient evidence for automatic physical name decision
ast_e13b8d7b93b9,A120056001,"금융기관 등이 보유하는 담보부 부실 대출재권, 기타 부실징후자산 및 기업관련 대출 채권 등(블라인드)",,노트/채권 · A120056001,,,physical_asset,verified,N,N,suppress_financial_name,financial/security keyword without enough physical evidence
ast_79e367791fe8,A120056002,아이에이제십오차유동화전문 유한회사,아이에이제십오차유동화전문 유한회사,,,특별자산,physical_asset,verified,N,N,keep_physical_name,real estate type or physical evidence exists
ast_a67100590140,A120056003,아이에이제십육차유동화전문 유한회사,아이에이제십육차유동화전문 유한회사,,,특별자산,physical_asset,verified,N,N,keep_physical_name,real estate type or physical evidence exists
ast_91c206cb4478,A120062001,위례Senior Living 개발사업,위례Senior Living 개발사업,,,주거,physical_asset,verified,Y,Y,keep_physical_name,real estate type or physical evidence exists
ast_9fa9d0943be6,A112065001,Miami Courvoisier Center Senior Loan,Miami Courvoisier Center,,,오피스,physical_asset,verified,Y,N,strip_instrument_terms,"physical evidence exists, but name contains loan/security terms"
ast_e342ebe1ccdf,A112067001,괌 웨스틴 호텔,괌 웨스틴 호텔,,,호텔,physical_asset,verified,Y,N,keep_physical_name,real estate type or physical evidence exists
ast_953c098ae44b,A112068001,New York 787 Seventh Avenue Mezzanine Loan,New York 787 Seventh Avenue,,,오피스,physical_asset,verified,Y,N,strip_instrument_terms,"physical evidence exists, but name contains loan/security terms"
