relationship_status,asset_name,fund_name,project_name,asset_address,fund_asset_name,asset_kind,asset_type,fund_status,project_status,missing_parts,asset_id,fund_id,project_id,fund_short_name,fund_sector,project_type,fund_relation_type,project_relation_type,fund_exposure_role,fund_directness,fund_relation_confidence,project_relation_confidence,fund_lookup_status,project_lookup_status,project_lookup_source,fund_relation_source_table,fund_relation_source_id,project_relation_source_table,project_relation_source_id,asset_review_status,asset_source_confidence
missing_one_or_more_names,도지물류센터,,,경기도 이천시 백사면 조읍리 25,,physical_asset,물류센터,,,fund_name; project_name,ast_05637427d30e,,,,,,,,,,,,no_fund_link,no_project_link,no_project_link,,,,,verified,
missing_one_or_more_names,동서발전,이지스일반사모투자신탁435호(태양광),,경상북도 예천군 은풍면 부초리 산44,"다산1, 동서발전, 진이엔지, 현대산업쏠라5호, 케이앤스틸테크놀로지, 리에너지, 지우태양광, 에스지, 케이앤씨벨에포크, 케이에이치테크단북1호, 미션, 윈즈에너지, 이큐에너지, 소망, 청수, 봉산햇빛, 행암에너지일호, 도원에너지, 솔빛에너지, 에스와이솔라, 에이치엠솔라1, 이에스에이치12, 지티씨솔라13호, 강구16호, 외삼1호, 외삼2호, 솔라트리1호, 김송하, 에스이피브, 케이앤씨헤르메스, 모두에너지, 솔라팩토리10호, 씨에스에너텍, 알이씨에너지, 알이엔네트웍스, 어량리, 비케이솔라, 와이알에너지, 유현그린, 케이앤씨그린북, 디앤피상주, 적화솔라, 솔라시너지햇빛1호, 이인메가태양광, 솔라팩토리22호, 솔라팩토리19호",physical_asset,,운용,,project_name,ast_0595e7f4dccc,112584,,435호,특별자산,,underlying_asset,,direct_owner,direct,0.94,,resolved,no_project_link,no_project_link,fund_assets,58412,,,verified,0.94
missing_one_or_more_names,유림빌딩,,,서울특별시 마포구 동교동 165-4,,physical_asset,리테일,,,fund_name; project_name,ast_05a1704bed45,,,,,,,,,,,,no_fund_link,no_project_link,no_project_link,,,,,verified,
missing_one_or_more_names,여의도 유수홀딩스부지 오피스텔 개발사업 PF대출,이지스부동산론일반사모부동산투자신탁제1호,,서울특별시 영등포구 여의도동 25-11,"웨스트게이트타워 선순위 담보대출, 당산 지식산업센터 개발사업 PF대출, 여의도 유수홀딩스부지 오피스텔 개발사업 PF대출, 카이트타워 선순위 담보대출, 성수동 오피스 개발사업 선순위 브릿지론",physical_asset,,운용,,project_name,ast_05fbe6b353fb,112666,,부동산론 1호,대출채권,,underlying_asset,,direct_owner,direct,0.94,,resolved,no_project_link,no_project_link,fund_assets,58522,,,verified,0.94
missing_one_or_more_names,이지스일반사모부동산투자신탁제439호,,,경기도 고양시 덕양구 오금동 690번지,,physical_asset,데이터센터,,,fund_name; project_name,ast_064b41e30c94,,,,,,,,,,,,no_fund_link,no_project_link,no_project_link,,,,,verified,
missing_one_or_more_names,이지스 130호(모) 제1-1종 수익증권,,,서울특별시 중구 청계천로 100,,physical_asset,,,,fund_name; project_name,ast_0713581af76f,,,,,,,,,,,,no_fund_link,no_project_link,no_project_link,,,,,verified,
missing_one_or_more_names,Dallas KPMG Plaza Senior Loan,,,"2323 Ross Avenue, Dallas, Texas 75201",,physical_asset,오피스,,,fund_name; project_name,ast_07a74d2ee7e4,,,,,,,,,,,,no_fund_link,no_project_link,no_project_link,,,,,verified,
missing_one_or_more_names,트리스빌딩,,,서울특별시 강남구 논현동 70-6,,physical_asset,오피스,,,fund_name; project_name,ast_07e0f0bb366d,,,,,,,,,,,,no_fund_link,no_project_link,no_project_link,,,,,verified,
missing_one_or_more_names,강동 성내 역세권 청년주택,,,서울시 강동구 성내동 87-1번지 일원,,physical_asset,주거,,,fund_name; project_name,ast_07e49a3487e7,,,,,,,,,,,,no_fund_link,no_project_link,no_project_link,,,,,verified,
missing_one_or_more_names,KKR Real Estate Partners Europe II,,,,,physical_asset,,,,fund_name; project_name,ast_07f69f4d8b19,,,,,,,,,,,,no_fund_link,no_project_link,no_project_link,,,,,verified,
missing_one_or_more_names,"StepStone Secondary Opportunities Fund V Offshore Holdings, L.P.  가 발행하는 지분증권",,,,,physical_asset,,,,fund_name; project_name,ast_0812bfa02848,,,,,,,,,,,,no_fund_link,no_project_link,no_project_link,,,,,verified,
missing_one_or_more_names,수서역환승센터복합개발사업,,,서울시 강남구 수서동 197번지 일원,,physical_asset,오피스,,,fund_name; project_name,ast_081de2d9bdd9,,,,,,,,,,,,no_fund_link,no_project_link,no_project_link,,,,,verified,
missing_one_or_more_names,부산 온천동 복합시설 신축사업,,,온천동 180-14번지 복합시설 신축공사,,physical_asset,주거,,,fund_name; project_name,ast_088dd044de37,,,,,,,,,,,,no_fund_link,no_project_link,no_project_link,,,,,verified,
missing_one_or_more_names,맥스에너지금성태양광발전,이지스일반사모투자신탁377호,,경상북도 의성군 금성면 하리 산72,"환성2호태양광발전소, 환성3호태양광발전소, 예지안빛에너지, 장춘3호태양광발전소, 하늘별빛에너지태양광발전소, 해누리7호태양광발전소, 천리에너지2호태양광발전소, 엠아이에너지태양광발전소, 한국쏠라알피에스태양광발전소, 솔라팜1호, 솔라팜2호, 삼산태양광발전소, 맥스에너지하리태양광발전, 맥스에너지금성태양광발전, 제이에스금계태양광발전, 지동쏠라에너지태양광발전, 성남제이씨에너지, 선그린에너지, 일순에너지, 스카이에너지, 에이스쏠라, 디앤피옥연, 디앤피영천신기, 곡성, 케이앤씨해바라기, 케이앤씨솔라리아, 호니파워, 에스디일호, 에스플래닛삼십사호, 아인에너지, 제이피에너지",physical_asset,,운용,,project_name,ast_08feb99d7dd1,112466,,377호,특별자산,,underlying_asset,,direct_owner,direct,0.94,,resolved,no_project_link,no_project_link,fund_assets,58274,,,verified,0.94
missing_one_or_more_names,해운대 L7,,,부산광역시 해운대구 우동 626-14번지 일원,,physical_asset,호텔,,,fund_name; project_name,ast_093042bc2e8e,,,,,,,,,,,,no_fund_link,no_project_link,no_project_link,,,,,verified,
missing_one_or_more_names,솔라팩토리19호,,,"충북 충주시 대소원면 완오리 1165, 1166, 1167(건물 위), 충주시 대소원면 완오리 1155(건물위), 충주시 대소원면 영평리 840 (건물 위)",,physical_asset,,,,fund_name; project_name,ast_09cbe4380781,,,,,,,,,,,,no_fund_link,no_project_link,no_project_link,,,,,verified,
