asset_id,canonical_name,review_status,source_confidence,match_reason,source_row_count,fund_ids,address_text,pnu,asset_code,latitude,longitude,site_area,gross_floor_area,main_usage,structure
ast_6e21f7f90ac5,이지스일반사모투자신탁377호,auto_created,0.94,same_asset_code,1,112466,충청남도 금산군 남일면 신정리 122-1,,A112466021,36.0190286725931,127.518712932666,,,특별자산,
ast_7f04e40d8fcc,이지스일반사모투자신탁377호,auto_created,0.94,same_asset_code,1,112466,강원특별자치도 정선군 북평면 남평리 271,,A112466022,37.4235798409738,128.67631178933,,,특별자산,
ast_782f84536edf,이지스일반사모투자신탁377호,auto_created,0.94,same_asset_code,1,112466,경상북도 영주시 조와동 133,,A112466023,36.8687874844874,128.646087513163,,,특별자산,
ast_aab359e1cf01,이지스일반사모투자신탁377호,auto_created,0.94,same_asset_code,1,112466,경북 의성군 비안면 옥연길 677-1,,A112466024,,,,,특별자산,
ast_ff97a1f2dae8,이지스일반사모투자신탁377호,auto_created,0.94,same_asset_code,1,112466,경상북도 영천시 신기동 산 14,,A112466025,36.0152063251045,128.954239028964,,,특별자산,
ast_84777620581a,이지스일반사모투자신탁377호,auto_created,0.94,same_asset_code,1,112466,전남 순천시 주암면 백록리 산 41-8,,A112466026,,,,,특별자산,
ast_d19640044285,이지스일반사모투자신탁377호,auto_created,0.94,same_asset_code,1,112466,경상북도 의성군 비안면 옥연리 676-2,,A112466027,36.3258251862203,128.472477631152,,,특별자산,
ast_67c6580ada7b,이지스일반사모투자신탁377호,auto_created,0.94,same_asset_code,1,112466,경북 의성군 다인면 삼분리 산 101-14,,A112466028,,,,,특별자산,
ast_3c2f16286fc7,이지스일반사모투자신탁377호,auto_created,0.94,same_asset_code,1,112466,강원특별자치도 삼척시 도계읍 전두리 166,,A112466029,37.2383750139701,129.03008112488,,,특별자산,
ast_b0af734b18b2,이지스일반사모투자신탁377호,auto_created,0.94,same_asset_code,1,112466,강원특별자치도 삼척시 도계읍 전두리 166,,A112466030,37.2383750139701,129.03008112488,,,특별자산,
