relationship_status,asset_name,fund_name,project_name,asset_address,fund_asset_name,asset_kind,asset_type,fund_status,project_status,missing_parts,asset_id,fund_id,project_id,fund_short_name,fund_sector,project_type,fund_relation_type,project_relation_type,fund_exposure_role,fund_directness,fund_relation_confidence,project_relation_confidence,fund_lookup_status,project_lookup_status,project_lookup_source,fund_relation_source_table,fund_relation_source_id,project_relation_source_table,project_relation_source_id,asset_review_status,asset_source_confidence,current_asset_name,proposed_asset_name,asset_name_resolution_status,asset_name_action,is_fund_or_vehicle_fallback_asset,direct_fund_asset_candidates,same_fund_underlying_candidates,fund_asset_field_candidates,project_name_candidates,alias_name_candidates,drawer_behavior_hint
missing_one_or_more_names,인천 가좌동 소재 개발자산 선매입,,,,,physical_asset,데이터센터,,,fund_name; project_name,ast_0011c54227b4,,,,,,,,,,,,no_fund_link,no_project_link,no_project_link,,,,,verified,,인천 가좌동 소재 개발자산 선매입,인천 가좌동 소재 개발자산 선매입,current_asset_name_ok,keep,false,,,,,,entity_click_opens_detail
missing_one_or_more_names,안성산하3지구물류센터개발사업,,,경기도 안성시 원곡면 산하리500번지 외 168필지,,physical_asset,,,,fund_name; project_name,ast_004573bcb481,,,,,,,,,,,,no_fund_link,no_project_link,no_project_link,,,,,verified,,안성산하3지구물류센터개발사업,안성산하3지구물류센터개발사업,current_asset_name_ok,keep,false,,,,,,entity_click_opens_detail
missing_one_or_more_names,종로구 시니어주택 리모델링,,,서울시 종로구 평창동 153-3,,physical_asset,주거,,,fund_name; project_name,ast_0098d2fecd62,,,,,,,,,,,,no_fund_link,no_project_link,no_project_link,,,,,verified,,종로구 시니어주택 리모델링,종로구 시니어주택 리모델링,current_asset_name_ok,keep,false,,,,,,entity_click_opens_detail
missing_one_or_more_names,이지스10호(2종)의  수익증권,,,,,physical_asset,오피스,,,fund_name; project_name,ast_00d6ab2ffdec,,,,,,,,,,,,no_fund_link,no_project_link,no_project_link,,,,,verified,,이지스10호(2종)의  수익증권,이지스10호(2종)의  수익증권,current_asset_name_ok,keep,false,,,,,,entity_click_opens_detail
asset_fund_project_connected,New York 1551 Broadway Mezzanine Loan,이지스글로벌일반사모부동산투자신탁141호,New York 1551 Broadway Mezzanine Loan,"1551 Broadway New York, NY",New York 1551 Broadway Mezzanine Loan,physical_asset,리테일,청산,,,ast_00df26953973,112150,112150,141호,리테일,,underlying_asset,related_project,direct_owner,direct,0.94,0.95,resolved,resolved,asset_project_links.metadata,fund_assets,58018,projects,112150,verified,0.94,New York 1551 Broadway Mezzanine Loan,New York 1551 Broadway Mezzanine Loan,current_asset_name_ok,keep,false,New York 1551 Broadway Mezzanine Loan,New York 1551 Broadway Mezzanine Loan,New York 1551 Broadway Mezzanine Loan,New York 1551 Broadway Mezzanine Loan,New York 1551 Broadway Mezzanine Loan,entity_click_opens_detail
missing_one_or_more_names,이지스333호(디어스 명동),,,서울시 중구 남학동 13-2외 1필지,,physical_asset,,,,fund_name; project_name,ast_01045c0cd92d,,,,,,,,,,,,no_fund_link,no_project_link,no_project_link,,,,,verified,,이지스333호(디어스 명동),이지스333호(디어스 명동),current_asset_name_ok,keep,false,,,,,,entity_click_opens_detail
asset_fund_project_connected,강동 성내 역세권 청년주택,이지스전문투자형사모부동산투자신탁263호 3종,강동 성내 역세권 청년주택,성내동 190-11,강동 성내 역세권 청년주택,physical_asset,,운용,,,ast_021767a7f029,120011,project_notion_3258ced4-3c47-81af-bbdf-cc83ee3a30ba,263호(3종),주거,,underlying_asset,related_project,direct_owner,direct,0.98,0.95,resolved,resolved,projects,fund_assets,58610,projects,project_notion_3258ced4-3c47-81af-bbdf-cc83ee3a30ba,auto_created,0.98,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,current_asset_name_ok,keep,false,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,entity_click_opens_asset_fund_project_picker
asset_fund_project_connected,강동 성내 역세권 청년주택,이지스전문투자형사모부동산투자신탁263호 3종,강동 성내 역세권 청년주택,성내동 190-11,강동 성내 역세권 청년주택,physical_asset,,운용,,,ast_021767a7f029,120011,112287,263호(3종),주거,,underlying_asset,related_project,direct_owner,direct,0.98,0.95,resolved,resolved,asset_project_links.metadata,fund_assets,58610,projects,112287,auto_created,0.98,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,current_asset_name_ok,keep,false,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,entity_click_opens_asset_fund_project_picker
asset_fund_project_connected,강동 성내 역세권 청년주택,이지스전문투자형사모부동산투자신탁263호 3종,강동 성내 역세권 청년주택,성내동 190-11,강동 성내 역세권 청년주택,physical_asset,,운용,,,ast_021767a7f029,120011,112288,263호(3종),주거,,underlying_asset,related_project,direct_owner,direct,0.98,0.95,resolved,resolved,asset_project_links.metadata,fund_assets,58610,projects,112288,auto_created,0.98,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,current_asset_name_ok,keep,false,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,entity_click_opens_asset_fund_project_picker
asset_fund_project_connected,강동 성내 역세권 청년주택,이지스전문투자형사모부동산투자신탁263호 3종,강동 성내 역세권 청년주택,성내동 190-11,강동 성내 역세권 청년주택,physical_asset,,운용,,,ast_021767a7f029,120011,112289,263호(3종),주거,,underlying_asset,related_project,direct_owner,direct,0.98,0.95,resolved,resolved,asset_project_links.metadata,fund_assets,58610,projects,112289,auto_created,0.98,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,current_asset_name_ok,keep,false,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,entity_click_opens_asset_fund_project_picker
asset_fund_project_connected,강동 성내 역세권 청년주택,이지스전문투자형사모부동산투자신탁263호 3종,강동 성내 역세권 청년주택,성내동 190-11,강동 성내 역세권 청년주택,physical_asset,,운용,,,ast_021767a7f029,120011,120011,263호(3종),주거,,underlying_asset,related_project,direct_owner,direct,0.98,0.95,resolved,resolved,asset_project_links.metadata,fund_assets,58610,projects,120011,auto_created,0.98,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,current_asset_name_ok,keep,false,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,entity_click_opens_asset_fund_project_picker
asset_fund_project_connected,강동 성내 역세권 청년주택,이지스전문투자형사모부동산투자신탁263호 3종,강동 성내 역세권 청년주택,성내동 190-11,강동 성내 역세권 청년주택,physical_asset,,운용,,,ast_021767a7f029,120011,R00012,263호(3종),주거,,underlying_asset,related_project,direct_owner,direct,0.98,0.95,resolved,resolved,asset_project_links.metadata,fund_assets,58610,projects,R00012,auto_created,0.98,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,current_asset_name_ok,keep,false,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,entity_click_opens_asset_fund_project_picker
asset_fund_project_connected,강동 성내 역세권 청년주택,이지스청년주택제1호위탁관리부동산투자회사,강동 성내 역세권 청년주택,성내동 190-11,강동 성내 역세권 청년주택,physical_asset,,운용,,,ast_021767a7f029,R00012,project_notion_3258ced4-3c47-81af-bbdf-cc83ee3a30ba,R청년주택1호,주거,,underlying_asset,related_project,direct_owner,direct,0.98,0.95,resolved,resolved,projects,fund_assets,58765,projects,project_notion_3258ced4-3c47-81af-bbdf-cc83ee3a30ba,auto_created,0.98,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,current_asset_name_ok,keep,false,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,entity_click_opens_asset_fund_project_picker
asset_fund_project_connected,강동 성내 역세권 청년주택,이지스청년주택제1호위탁관리부동산투자회사,강동 성내 역세권 청년주택,성내동 190-11,강동 성내 역세권 청년주택,physical_asset,,운용,,,ast_021767a7f029,R00012,112287,R청년주택1호,주거,,underlying_asset,related_project,direct_owner,direct,0.98,0.95,resolved,resolved,asset_project_links.metadata,fund_assets,58765,projects,112287,auto_created,0.98,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,current_asset_name_ok,keep,false,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,entity_click_opens_asset_fund_project_picker
asset_fund_project_connected,강동 성내 역세권 청년주택,이지스청년주택제1호위탁관리부동산투자회사,강동 성내 역세권 청년주택,성내동 190-11,강동 성내 역세권 청년주택,physical_asset,,운용,,,ast_021767a7f029,R00012,112288,R청년주택1호,주거,,underlying_asset,related_project,direct_owner,direct,0.98,0.95,resolved,resolved,asset_project_links.metadata,fund_assets,58765,projects,112288,auto_created,0.98,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,current_asset_name_ok,keep,false,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,entity_click_opens_asset_fund_project_picker
