counterparty_general_name,counterparty_registered_name,counterparty_category,current_contact_points,related_projects_text,next_target_project,notion_url
창조,(주)창조종합건축사사무소,설계사,"양준모; 홍창의","백암빌딩(OPUS459); 서여의도 임대주택 개발사업; 부산육양국데이터센터",,https://www.notion.so/33d8ced43c4780a58c85dd48ebcfb1b0
동일건축,(주)종합건축사사무소동일건축,설계사,,효제동 주거용 오피스텔,,https://www.notion.so/33d8ced43c478026857ce2763271a430
무영,(주)무영종합건축사사무소,설계사,,"대구 경산 쿠팡센터; 인천 석남 물류센터",,https://www.notion.so/33d8ced43c4780efb1b7dc46dde0917f
유선엔지니어링,(주)유선엔지니어링건축사사무소,설계사,,오산세교 주상복합 개발사업,,https://www.notion.so/33d8ced43c4780da9872f39564deab98
원양건축,(주)원양건축사사무소,설계사,,더강남832,,https://www.notion.so/33d8ced43c4780169037e89d0e0e55d2
DMP,(주)종합건축사무소디자인캠프문박디엠피,설계사,,에이치밸류 KORNER 136,,https://www.notion.so/33d8ced43c47801f8e99de9eba84ebb8
STAK,스택건축사사무소,설계사,홍창의,"하남소형DC; 부천소형DC",하남위례소형DC,https://www.notion.so/33e8ced43c47803480c6cd1a9789efc6
기안건축,(주)기안건축사사무소,설계사,,"청라 오피스텔 개발사업; 부림빌딩",,https://www.notion.so/33d8ced43c478049b95fe76757317680
유일엔지니어링,(주)유일엔지니어링종합건축사사무소,설계사,,오산세교 주상복합 개발사업,,https://www.notion.so/33d8ced43c4780dcbec9e9bbaa516d14
더시스템랩,(주)더시스템랩건축사사무소,설계사,권순일,팩토리얼 성수,,https://www.notion.so/33d8ced43c47800883feecd64f951906
두가 CNC,(주)두가씨앤씨종합건축사사무소,설계사,우형석,"안성 성은 물류센터; 아레나스 안성",,https://www.notion.so/33d8ced43c478049a33ac25e43ed9894
차건축,(주)차건축사사무소,설계사,,화성 석포리 물류,,https://www.notion.so/33d8ced43c4780b7b9aae70db930476c
운율건축,(주)운율건축사사무소,설계사,,여주 본두리 물류센터,,https://www.notion.so/33d8ced43c47805ea586ea943a54ad3f
선우건축,(주)선우종합건축사사무소,설계사,,이천 마장면 회억리 물류센터,,https://www.notion.so/33d8ced43c4780aab84fc904596c898a
예성건축,(주)예성건축종합건축사사무소,설계사,,평창동 시니어주택,,https://www.notion.so/33d8ced43c47800e8cc3fc528c53a3bb
삼우 CM,(주)삼우씨엠건축사무소,CM,"홍창의; 홍장군; 우형석","롯데백화점 분당점 리모델링; 고양삼송 데이터센터; 에이치밸류 KORNER 136; 안산 글로벌클라우드센터 개발; 부산육양국데이터센터; 해운대 L7",,https://www.notion.so/33d8ced43c4780a390a0ec442b572e5f
건원엔지니어링,(주)건축사사무소건원엔지니어링,CM,우형석,"더강남832; 팩토리얼 성수; 상봉동 청년주택; 세운5구역개발",,https://www.notion.so/33d8ced43c4780ce804ddbdc91b05c50
한미글로벌,㈜ 한미글로벌건축사사무소,CM,홍창의,"하남IDC 개발사업; 백암빌딩(OPUS459); 부천 소사 공동주택 개발사업; 서리풀 개발사업; 안산 글로벌클라우드센터 개발",,https://www.notion.so/33d8ced43c4780cb8192d57b0522587c
WSP,(주)더블유에스피아시아리미티드,CM,,"청라 오피스텔 개발사업; 누디트 홍대",,https://www.notion.so/33d8ced43c4780348004eab52bdf2c48
한림 CM,(주)한림건축씨엠종합건축사무소,CM,권순일,"여주 본두리 물류센터; 이오타 816",,https://www.notion.so/33d8ced43c47801ea0a2d465d48ed463
아라그룹,(주)건축사사무소아라그룹,CM,,화성 석포리 물류,,https://www.notion.so/33d8ced43c4780c8b689ebfcd5e680dc
