asset_id,canonical_name,address_text,fund_count,project_count,linked_fund_ids,linked_project_ids
ast_c7abc1f4627e,Toronto The One Senior Loan (Standby Facility),"One Bloor St. West, Toronto, Ontario",1,3,112588,"112588, project_notion_3258ced4-3c47-8184-a631-d5d0ba437068, project_notion_3268ced4-3c47-814f-91fb-f3df2a130f89"
ast_c8a0466da702,Coller Capital이 운용하는 크레딧 세컨더리 관련 SMA의 집합투자증권,-,1,1,200031,200031
ast_ca6affbba270,디에스PFV 2종 종류주 및 주주대여,-,3,3,"112653, 112654, 112655","112653, 112654, 112655"
ast_cad3ca04538a,"메자닌, 공모주, 스팩, 이벤트 드리븐",-,1,1,112782,112782
ast_cb61fdbd9aa4,Jakarta Office Treasury Tower,"Lot 28, SudirmanCentral Business District",2,4,"112170, 112171","112170, 112171, project_notion_3258ced4-3c47-81f0-8369-c28a6a18e400, project_notion_3268ced4-3c47-812d-b6b2-c87aa3584527"
ast_cbc413cdfd7f,고양 일산 식사2구역 A2BL 공동주택 개발사업 선순위 PF대출채권,경기 고양시 일산동구 식사2도시개발구역 A2블록,1,1,112274,112274
ast_cbf922113fc6,판교 제2테크노밸리 C1 C2블록 I-Square 개발,경기도 판교 제2테크노밸리 C1 C2블록,1,3,P00001,"P00001, project_notion_3258ced4-3c47-8157-b1ac-f58d211a8fef, project_notion_3268ced4-3c47-81a4-bed2-e30818696e5a"
ast_cd234848887e,위례Senior Living 개발사업,서울특별시 송파구 거여동 573-1,8,10,"120062, 120063, 120064, 120065, 120066, 120067, 120068, 120069","120062, 120063, 120064, 120065, 120066, 120067, 120068, 120069, project_notion_3258ced4-3c47-8157-9a3c-d0552bc88d81, project_notion_3268ced4-3c47-81ac-8273-e1d685edeeae"
ast_cd2c32700ef7,수서역환승센터복합개발사업,서울시 강남구 수서동 197번지 일원,1,3,P00027,"P00027, project_notion_3258ced4-3c47-811e-8425-ec7178f406ba, project_notion_3268ced4-3c47-81d8-9bb3-d48bd44d3e32"
ast_cd9937cc8678,와이디427피에프브이 주식회사,-,5,5,"112614, 112706, 112707, 120016, 120113","112614, 112706, 112707, 120016, iota-427"
ast_ce2d13497cbc,New York 30 Hudson Yards Mezzanine Loan,"30 Hudson Yards, New York",1,2,112410,"112410, project_notion_3258ced4-3c47-8189-9ad9-c1f50dda1940"
ast_ce621c527b00,Frankfurt St.Martine Tower Mezzanine Loan,"Franklinstraße 61-63, 60486, Frankfurt",1,1,112304,112304
ast_cf7655c37f5e,이지스일반사모부동산투자신탁제336호,경기도 고양시 일산동구 장항동 889,4,2,"112414, 112415, 112416, 112417","112414, project_notion_3258ced4-3c47-8113-b688-db4ec74f20c9"
ast_d139acda1f42,하남시풍산동9MW 데이터센터,경기도하남시풍산동590-4번지,3,3,"190017, 190018, 190019","190017, project_notion_3258ced4-3c47-819d-982d-faf113678bdf, project_notion_3268ced4-3c47-8135-82f4-c5571b78de16"
ast_d148de771db5,세원이앤씨(주)의 담보부 신주인수권부 사채,-,1,3,120057,"120057, project_notion_3258ced4-3c47-812d-8b74-fc2d2994a424, project_notion_3268ced4-3c47-813f-8c9b-c523d70148a1"
ast_d19b7e4dea84,East Alexandria Multifamily The Foundry,"2470 Madeville Ln, Alexandria, VA 22314",2,3,"112598, 112599","112598, 112599, project_notion_3258ced4-3c47-8196-afa0-e81905aa5a35"
ast_d21464a17e8c,Hines US Property Partners,-,9,10,"112621, 112622, 112623, 112624, 112625, 112659, 112660, 112685, 112686","112621, 112622, 112623, 112624, 112625, 112659, 112660, 112685, 112686, project_notion_3258ced4-3c47-8173-a47a-c7d205063045"
ast_d27d2be05580,US BioMed Portfolio Senior Loan,16개 자산 포트폴리오,2,1,"112076, 112302",112076
ast_d2b291b01082,이지스전문투자형사모부동산투자신탁290호(운용),월전동 913-1,3,1,"112314, 112315, 112316",112314
ast_d3958acf9d57,아레나스안성,입장면 용정리 116-5,2,3,"112320, 112505","112505, project_notion_3258ced4-3c47-8126-ad66-f2a6056c4254, project_notion_3268ced4-3c47-816b-bc66-d6dc896e5830"
ast_d4da0b74e017,해운대중동공동주택,부산시 해운대 중동 256-5번지 일원,1,3,P00035,"P00035, project_notion_3258ced4-3c47-81a2-8889-e0127ab86d9c, project_notion_3268ced4-3c47-8102-9ac3-daa261cabed7"
ast_d5b7969befe3,London Canon Bridge House Senior Loan,-,1,2,200017,"200017, project_notion_3258ced4-3c47-81bf-b4c6-d16503557c02"
ast_d67f522a279c,안성 당목리 물류 개발사업,"경기도 안성시
죽산면 당목리
995-46번지 일원",1,1,112522,112522
ast_d6b3682a1147,판교 테크원타워 (우선주),경기도 성남시 분당구 백현동 534,1,6,200030,"200030, project_notion_3258ced4-3c47-8170-9352-ecf811de25bd, project_notion_3258ced4-3c47-817b-992a-df5b5aaff1f1, project_notion_3258ced4-3c47-81c0-bc85-e679f9a1327d, project_notion_3268ced4-3c47-8141-8a16-c752203e78dc, project_notion_3268ced4-3c47-819b-a152-ff2ec283b4f4"
ast_d7155e535335,GLP Europe Income Partners II,-,2,3,"112482, 112494","112482, 112494, project_notion_3258ced4-3c47-8190-95cf-fae7375985f9"
ast_d9f820e5df21,안성 성은지구 물류센터,경기도 안성시 원곡면 성은리 319-1,1,3,P00014,"P00014, project_notion_3258ced4-3c47-8146-b3a1-e78b9a3806b0, project_notion_3268ced4-3c47-81d4-9eaf-d8efbc29e52b"
ast_da9f73969f26,에스비씨PFV(P00005),서울시 서초구 서초동 1005-1외,1,1,112341,112341
ast_db35eead7a91,홈플러스 인천인하점,인천광역시 미추홀구 용현동 648,4,1,"112344, 112345, 112346, 112348",112344
ast_db4e0440e038,AXA Real Estate Development Venture IV,-,1,3,112074,"112074, project_notion_3258ced4-3c47-8158-9ea3-ff51db53ac4e, project_notion_3268ced4-3c47-8145-839d-d9dea5784324"
ast_db5ed66e1434,Brookfield Super-Core Infrastructure Partners,-,4,5,"112413, 112521, 112607, 112684","112413, 112521, 112607, 112684, project_notion_3258ced4-3c47-814f-a8a9-ca481cba91d1"
