asset_id,canonical_name,address_text,fund_count,project_count,linked_fund_ids,linked_project_ids
ast_0011c54227b4,인천 가좌동 소재 개발자산 선매입,-,0,0,,
ast_004573bcb481,안성산하3지구물류센터개발사업,경기도 안성시 원곡면 산하리500번지 외 168필지,0,0,,
ast_0098d2fecd62,종로구 시니어주택 리모델링,서울시 종로구 평창동 153-3,0,0,,
ast_00d6ab2ffdec,이지스10호(2종)의  수익증권,-,0,0,,
ast_01045c0cd92d,이지스333호(디어스 명동),서울시 중구 남학동 13-2외 1필지,0,0,,
ast_022d4816897f,여의도 파이낸스타워,서울특별시 영등포구 국제금융로 2길 32,0,0,,
ast_023cb333482d,성수동 복합시설 개발사업,"서울특별시 성동구 성수동2가 314-10, 314-11, 314-27번지",0,0,,
ast_024953888c95,판교 테크원타워,경기도 성남시 분당구 백현동 534,0,0,,
ast_02870a4cfd6e,시그니쳐타워,서울특별시 중구 수표동 99,0,0,,
ast_02f2fb35a743,이지스글로벌세컨더리일반사모혼합자산투자신탁제1호,-,1,0,200006,
ast_03afde6453fc,탑빌딩,경기도 성남시 분당구 야탑동 361-4,2,0,"112025, 112597",
ast_03c3c2e1b0b2,신라스테이울산,울산광역시 남구 달동 1247-1 외 2필지,0,0,,
ast_03f61e21a973,여주 본두리 물류센터,경기도 여주시 가남읍 본두리 18-3,0,0,,
ast_042b9d125ed3,"메자닌, 공모주, 이벤트 드리븐",-,0,0,,
ast_04878d0c997e,서울인터내셔널타워(SI타워),서울시 강남구 테헤란로 203(역삼동 679-4),0,0,,
ast_04fa217d3e90,"메자닌, 공모주, 이벤트 드리븐, 스팩",-,0,0,,
ast_0527c87b54b5,을지로3가 도시환경정비구역 제10지구 신축 오피스,을지로3가 95-11 일원,0,0,,
ast_0546ff4ee9db,OJP사옥(워싱턴),"810 7th Street, N.W., Washington D.C., U.S.A.",1,0,112035,
ast_05637427d30e,도지물류센터,경기도 이천시 백사면 조읍리 25,0,0,,
ast_0595e7f4dccc,동서발전,경상북도 예천군 은풍면 부초리 산44,1,0,112584,
ast_05a1704bed45,유림빌딩,서울특별시 마포구 동교동 165-4,0,0,,
ast_05fbe6b353fb,여의도 유수홀딩스부지 오피스텔 개발사업 PF대출,서울특별시 영등포구 여의도동 25-11,1,0,112666,
ast_064b41e30c94,이지스일반사모부동산투자신탁제439호,경기도 고양시 덕양구 오금동 690번지,0,0,,
ast_0713581af76f,이지스 130호(모) 제1-1종 수익증권,서울특별시 중구 청계천로 100,0,0,,
ast_07a74d2ee7e4,Dallas KPMG Plaza Senior Loan,"2323 Ross Avenue, Dallas, Texas 75201",0,0,,
ast_07e0f0bb366d,트리스빌딩,서울특별시 강남구 논현동 70-6,0,0,,
ast_07e49a3487e7,강동 성내 역세권 청년주택,서울시 강동구 성내동 87-1번지 일원,0,0,,
ast_07f69f4d8b19,KKR Real Estate Partners Europe II,-,0,0,,
ast_0812bfa02848,"StepStone Secondary Opportunities Fund V Offshore Holdings, L.P.  가 발행하는 지분증권",-,0,0,,
ast_081de2d9bdd9,수서역환승센터복합개발사업,서울시 강남구 수서동 197번지 일원,0,0,,
ast_088dd044de37,부산 온천동 복합시설 신축사업,온천동 180-14번지 복합시설 신축공사,0,0,,
ast_08feb99d7dd1,맥스에너지금성태양광발전,경상북도 의성군 금성면 하리 산72,1,0,112466,
ast_093042bc2e8e,해운대 L7,부산광역시 해운대구 우동 626-14번지 일원,0,0,,
