merge_action,risk_level,merge_reason,target_tables,asset_id,current_asset_name,db_asset_master_name,accepted_asset_name,asset_name_action,asset_semantics_hint,adoption_source,recommended_db_action,safe_to_update_existing_asset_master,linked_fund_ids,source_fund_code,source_fund_name,source_seq,source_asset_category,source_investment_asset_type,proposed_address,db_address_text,address_compare,proposed_pnu,db_pnu,pnu_compare,proposed_longitude,db_longitude,longitude_compare,proposed_latitude,db_latitude,latitude_compare,has_proposed_location,has_current_asset_master_location,has_current_ledger_for_asset,has_current_ledger_for_proposed_pnu,has_any_ledger_for_proposed_pnu,needs_asset_master_location_update,needs_building_ledger_fetch_by_pnu,fund_assets_id,fund_assets_pnu,fund_assets_address,fund_assets_longitude,fund_assets_latitude,fund_assets_has_building_ledger_metadata
create_underlying_asset_then_fetch_ledger,medium,multi-underlying candidate with new pnu; create asset then fetch/insert ledger,"asset_master, asset_fund_links, asset_building_ledger, fund_assets",ast_0bbbe8c5910d,이지스일반사모투자신탁435호(태양광),이지스일반사모투자신탁435호(태양광),리에너지,split_or_drawer_list,,domestic_excel_fund_code_match,create_or_link_underlying_asset_with_location,False,112584,112584,이지스일반사모투자신탁435호(태양광),6,특별자산,특별자산,경상북도 상주시 사벌국면 용담리 산42-1,충청북도 충주시 대소원면 완오리 1165,different,4725032526200420001,4313033530111650000,different,128.218246198146,127.837297354945,different,36.4863548646006,36.9983951162712,different,True,True,True,False,False,True,True,58416,,경상북도 상주시 사벌국면 용담리 산 42-1,128.218246150322,36.4863553447739,False
create_underlying_asset_then_fetch_ledger,medium,multi-underlying candidate with new pnu; create asset then fetch/insert ledger,"asset_master, asset_fund_links, asset_building_ledger, fund_assets",ast_0bbbe8c5910d,이지스일반사모투자신탁435호(태양광),이지스일반사모투자신탁435호(태양광),지우태양광,split_or_drawer_list,,domestic_excel_fund_code_match,create_or_link_underlying_asset_with_location,False,112584,112584,이지스일반사모투자신탁435호(태양광),7,특별자산,특별자산,경상남도 산청군 산청읍 내수리 산49-1,충청북도 충주시 대소원면 완오리 1165,different,4886025029200490001,4313033530111650000,different,127.915850592278,127.837297354945,different,35.4334179495002,36.9983951162712,different,True,True,True,False,False,True,True,58417,,경상남도 산청군 산청읍 내수리 산 49-1,127.915850281403,35.4334184893568,False
create_underlying_asset_then_fetch_ledger,medium,multi-underlying candidate with new pnu; create asset then fetch/insert ledger,"asset_master, asset_fund_links, asset_building_ledger, fund_assets",ast_0bbbe8c5910d,이지스일반사모투자신탁435호(태양광),이지스일반사모투자신탁435호(태양광),에스지,split_or_drawer_list,,domestic_excel_fund_code_match,create_or_link_underlying_asset_with_location,False,112584,112584,이지스일반사모투자신탁435호(태양광),8,특별자산,특별자산,경기도 연천군 중면 합수리 122,충청북도 충주시 대소원면 완오리 1165,different,4180037026101220000,4313033530111650000,different,127.053403053374,127.837297354945,different,38.1678164523042,36.9983951162712,different,True,True,True,False,False,True,True,58418,,경기도 연천군 중면 합수리 122,127.053402835629,38.1678167415454,False
create_underlying_asset_then_fetch_ledger,medium,multi-underlying candidate with new pnu; create asset then fetch/insert ledger,"asset_master, asset_fund_links, asset_building_ledger, fund_assets",ast_0bbbe8c5910d,이지스일반사모투자신탁435호(태양광),이지스일반사모투자신탁435호(태양광),케이앤씨벨에포크,split_or_drawer_list,,domestic_excel_fund_code_match,create_or_link_underlying_asset_with_location,False,112584,112584,이지스일반사모투자신탁435호(태양광),9,특별자산,특별자산,전라남도 진도군 지산면 와우리 137-3,충청북도 충주시 대소원면 완오리 1165,different,4690035030101370003,4313033530111650000,different,126.145784395077,127.837297354945,different,34.4273962344761,36.9983951162712,different,True,True,True,False,False,True,True,58419,,전라남도 진도군 지산면 와우리 137-3,126.145784212296,34.4273968869183,False
create_underlying_asset_then_fetch_ledger,medium,multi-underlying candidate with new pnu; create asset then fetch/insert ledger,"asset_master, asset_fund_links, asset_building_ledger, fund_assets",ast_0bbbe8c5910d,이지스일반사모투자신탁435호(태양광),이지스일반사모투자신탁435호(태양광),케이에이치테크단북1호,split_or_drawer_list,,domestic_excel_fund_code_match,create_or_link_underlying_asset_with_location,False,112584,112584,이지스일반사모투자신탁435호(태양광),10,특별자산,특별자산,경상북도 예천군 풍양면 흥천리 356,충청북도 충주시 대소원면 완오리 1165,different,4790041024103560000,4313033530111650000,different,128.321153420258,127.837297354945,different,36.5046457796687,36.9983951162712,different,True,True,True,False,False,True,True,58420,,"경상북도 예천군 풍양면 홍천리 356, 357, 390",,,False
create_underlying_asset_then_fetch_ledger,medium,multi-underlying candidate with new pnu; create asset then fetch/insert ledger,"asset_master, asset_fund_links, asset_building_ledger, fund_assets",ast_0bbbe8c5910d,이지스일반사모투자신탁435호(태양광),이지스일반사모투자신탁435호(태양광),미션,split_or_drawer_list,,domestic_excel_fund_code_match,create_or_link_underlying_asset_with_location,False,112584,112584,이지스일반사모투자신탁435호(태양광),11,특별자산,특별자산,경상북도 영주시 조와동 346,충청북도 충주시 대소원면 완오리 1165,different,4721011000103460000,4313033530111650000,different,128.626195302659,127.837297354945,different,36.8736398842617,36.9983951162712,different,True,True,True,False,False,True,True,58421,,경상북도 영주시 조와동 346,128.626195223085,36.8736403288388,False
create_underlying_asset_then_fetch_ledger,medium,multi-underlying candidate with new pnu; create asset then fetch/insert ledger,"asset_master, asset_fund_links, asset_building_ledger, fund_assets",ast_0bbbe8c5910d,이지스일반사모투자신탁435호(태양광),이지스일반사모투자신탁435호(태양광),윈즈에너지,split_or_drawer_list,,domestic_excel_fund_code_match,create_or_link_underlying_asset_with_location,False,112584,112584,이지스일반사모투자신탁435호(태양광),12,특별자산,특별자산,경상북도 영주시 조와동 346,충청북도 충주시 대소원면 완오리 1165,different,4721011000103460000,4313033530111650000,different,128.626195302659,127.837297354945,different,36.8736398842617,36.9983951162712,different,True,True,True,False,False,True,True,58422,,경상북도 영주시 조와동 346,128.626195223085,36.8736403288388,False
create_underlying_asset_then_fetch_ledger,medium,multi-underlying candidate with new pnu; create asset then fetch/insert ledger,"asset_master, asset_fund_links, asset_building_ledger, fund_assets",ast_0bbbe8c5910d,이지스일반사모투자신탁435호(태양광),이지스일반사모투자신탁435호(태양광),이큐에너지,split_or_drawer_list,,domestic_excel_fund_code_match,create_or_link_underlying_asset_with_location,False,112584,112584,이지스일반사모투자신탁435호(태양광),13,특별자산,특별자산,경상북도 영주시 조와동 346,충청북도 충주시 대소원면 완오리 1165,different,4721011000103460000,4313033530111650000,different,128.626195302659,127.837297354945,different,36.8736398842617,36.9983951162712,different,True,True,True,False,False,True,True,58423,,경상북도 영주시 조와동 346,128.626195223085,36.8736403288388,False
create_underlying_asset_then_fetch_ledger,medium,multi-underlying candidate with new pnu; create asset then fetch/insert ledger,"asset_master, asset_fund_links, asset_building_ledger, fund_assets",ast_0bbbe8c5910d,이지스일반사모투자신탁435호(태양광),이지스일반사모투자신탁435호(태양광),소망,split_or_drawer_list,,domestic_excel_fund_code_match,create_or_link_underlying_asset_with_location,False,112584,112584,이지스일반사모투자신탁435호(태양광),14,특별자산,특별자산,충청남도 서천군 서면 원두리 산79-1,충청북도 충주시 대소원면 완오리 1165,different,4477041025200790001,4313033530111650000,different,126.581342387506,127.837297354945,different,36.1688014842476,36.9983951162712,different,True,True,True,False,False,True,True,58424,,충청남도 서천군 서면 원두리 산 79-1,126.581342475573,36.168802003673,False
create_underlying_asset_then_fetch_ledger,medium,multi-underlying candidate with new pnu; create asset then fetch/insert ledger,"asset_master, asset_fund_links, asset_building_ledger, fund_assets",ast_0bbbe8c5910d,이지스일반사모투자신탁435호(태양광),이지스일반사모투자신탁435호(태양광),청수,split_or_drawer_list,,domestic_excel_fund_code_match,create_or_link_underlying_asset_with_location,False,112584,112584,이지스일반사모투자신탁435호(태양광),15,특별자산,특별자산,충청남도 서천군 서면 원두리 산79-1,충청북도 충주시 대소원면 완오리 1165,different,4477041025200790001,4313033530111650000,different,126.581342387506,127.837297354945,different,36.1688014842476,36.9983951162712,different,True,True,True,False,False,True,True,58425,,충청남도 서천군 서면 원두리 산 79-1,126.581342475573,36.168802003673,False
create_underlying_asset_then_fetch_ledger,medium,multi-underlying candidate with new pnu; create asset then fetch/insert ledger,"asset_master, asset_fund_links, asset_building_ledger, fund_assets",ast_0bbbe8c5910d,이지스일반사모투자신탁435호(태양광),이지스일반사모투자신탁435호(태양광),봉산햇빛,split_or_drawer_list,,domestic_excel_fund_code_match,create_or_link_underlying_asset_with_location,False,112584,112584,이지스일반사모투자신탁435호(태양광),16,특별자산,특별자산,강원특별자치도 철원군 갈말읍 동막리 산166,충청북도 충주시 대소원면 완오리 1165,different,5178025630201660000,4313033530111650000,different,127.312215136116,127.837297354945,different,38.2394423378619,36.9983951162712,different,True,True,True,False,False,True,True,58426,,강원특별자치도 철원군 갈말읍 동막리 산 166-1,127.312215172602,38.2394426585278,False
create_underlying_asset_then_fetch_ledger,medium,multi-underlying candidate with new pnu; create asset then fetch/insert ledger,"asset_master, asset_fund_links, asset_building_ledger, fund_assets",ast_0bbbe8c5910d,이지스일반사모투자신탁435호(태양광),이지스일반사모투자신탁435호(태양광),행암에너지일호,split_or_drawer_list,,domestic_excel_fund_code_match,create_or_link_underlying_asset_with_location,False,112584,112584,이지스일반사모투자신탁435호(태양광),17,특별자산,특별자산,충청남도 천안시 동남구 동면 401-8,충청북도 충주시 대소원면 완오리 1165,different,4413137000104010008,4313033530111650000,different,127.349987101045,127.837297354945,different,36.8097902273754,36.9983951162712,different,True,True,True,False,False,True,True,58427,,충청남도 천안시 동남구 동면 행암리 401-8,127.3499868511,36.809790645171,False
create_underlying_asset_then_fetch_ledger,medium,multi-underlying candidate with new pnu; create asset then fetch/insert ledger,"asset_master, asset_fund_links, asset_building_ledger, fund_assets",ast_0bbbe8c5910d,이지스일반사모투자신탁435호(태양광),이지스일반사모투자신탁435호(태양광),도원에너지,split_or_drawer_list,,domestic_excel_fund_code_match,create_or_link_underlying_asset_with_location,False,112584,112584,이지스일반사모투자신탁435호(태양광),18,특별자산,특별자산,경상남도 하동군 양보면 감당리 산85-1,충청북도 충주시 대소원면 완오리 1165,different,4885038023200850001,4313033530111650000,different,127.829534398816,127.837297354945,different,35.0825899467748,36.9983951162712,different,True,True,True,False,False,True,True,58428,,경상남도 하동군 양보면 감당리 산 85-1,127.82953436791,35.0825905534168,False
create_underlying_asset_then_fetch_ledger,medium,multi-underlying candidate with new pnu; create asset then fetch/insert ledger,"asset_master, asset_fund_links, asset_building_ledger, fund_assets",ast_0bbbe8c5910d,이지스일반사모투자신탁435호(태양광),이지스일반사모투자신탁435호(태양광),솔빛에너지,split_or_drawer_list,,domestic_excel_fund_code_match,create_or_link_underlying_asset_with_location,False,112584,112584,이지스일반사모투자신탁435호(태양광),19,특별자산,특별자산,경상남도 함안군 군북면 장지리 659,충청북도 충주시 대소원면 완오리 1165,different,4873032030106590000,4313033530111650000,different,128.335500235149,127.837297354945,different,35.299076463718,36.9983951162712,different,True,True,True,False,False,True,True,58429,,경상남도 함안군 군북면 장지리 659,128.33550030293,35.2990769768325,False
link_existing_underlying_asset_by_pnu,medium,same pnu exists elsewhere in DB; prefer linking/merging existing asset before creating,"asset_master, asset_fund_links, fund_assets",ast_0bbbe8c5910d,이지스일반사모투자신탁435호(태양광),이지스일반사모투자신탁435호(태양광),에스와이솔라,split_or_drawer_list,,domestic_excel_fund_code_match,create_or_link_underlying_asset_with_location,False,112584,112584,이지스일반사모투자신탁435호(태양광),20,특별자산,특별자산,부산광역시 강서구 대저1동 1619,충청북도 충주시 대소원면 완오리 1165,different,2644010100116190000,4313033530111650000,different,128.954259138838,127.837297354945,different,35.2131309772713,36.9983951162712,different,True,True,True,False,True,True,True,58430,2644010100116190000,대저1동 1619,128.954717074,35.209673248,True
link_existing_underlying_asset_by_pnu,medium,same pnu exists elsewhere in DB; prefer linking/merging existing asset before creating,"asset_master, asset_fund_links, fund_assets",ast_0bbbe8c5910d,이지스일반사모투자신탁435호(태양광),이지스일반사모투자신탁435호(태양광),에이치엠솔라1,split_or_drawer_list,,domestic_excel_fund_code_match,create_or_link_underlying_asset_with_location,False,112584,112584,이지스일반사모투자신탁435호(태양광),21,특별자산,특별자산,강원특별자치도 원주시 문막읍 반계리 2255-2,충청북도 충주시 대소원면 완오리 1165,different,5113025029122550002,4313033530111650000,different,127.798699195572,127.837297354945,different,37.2977858883412,36.9983951162712,different,True,True,True,False,True,True,True,58431,5113025029122550002,강원특별자치도 원주시 문막읍 반계리 2255-2,127.798699187274,37.2977862965336,True
