entity_type,entity_id,token_type,search_text,search_key,display_text,related_asset_id,related_fund_id,related_project_id,result_behavior,source
address,ast_db4799e88a26,address_region,New,new,Courtyard Melbourne West · 2101 West New Haven Avenue,ast_db4799e88a26,,,open_asset_drawer,asset_address.region_token
address,ast_db4799e88a26,address_region,Haven,haven,Courtyard Melbourne West · 2101 West New Haven Avenue,ast_db4799e88a26,,,open_asset_drawer,asset_address.region_token
address,ast_db4799e88a26,address_region,2101 West,2101west,Courtyard Melbourne West · 2101 West New Haven Avenue,ast_db4799e88a26,,,open_asset_drawer,asset_address.region_token
asset,ast_db4e0440e038,asset_name,AXA Real Estate Development Venture IV,axarealestatedevelopmentventureiv,AXA Real Estate Development Venture IV,ast_db4e0440e038,112074,project_notion_3258ced4-3c47-8158-9ea3-ff51db53ac4e,open_asset_drawer,project_name_cleanup_basis.final_asset_name
fund,112074,fund_name,이지스유럽일반사모부동산투자신탁57호 (재간접형),이지스유럽일반사모부동산투자신탁57호,이지스유럽일반사모부동산투자신탁57호 (재간접형),ast_db4e0440e038,112074,project_notion_3258ced4-3c47-8158-9ea3-ff51db53ac4e,open_fund_drawer,funds.fund_name
fund,112074,fund_short_name,57호,57호,이지스유럽일반사모부동산투자신탁57호 (재간접형),ast_db4e0440e038,112074,project_notion_3258ced4-3c47-8158-9ea3-ff51db53ac4e,open_fund_drawer,funds.short_name
project,project_notion_3258ced4-3c47-8158-9ea3-ff51db53ac4e,project_or_business_label,AXA Real Estate Development Venture IV,axarealestatedevelopmentventureiv,AXA Real Estate Development Venture IV,ast_db4e0440e038,112074,project_notion_3258ced4-3c47-8158-9ea3-ff51db53ac4e,open_project_drawer,actual_projects.project_name
project,project_notion_3268ced4-3c47-8145-839d-d9dea5784324,project_or_business_label,AXA Real Estate Development Venture IV,axarealestatedevelopmentventureiv,AXA Real Estate Development Venture IV,ast_db4e0440e038,112074,project_notion_3268ced4-3c47-8145-839d-d9dea5784324,open_project_drawer,actual_projects.project_name
project_context,112074,project_or_business_label,AXA Real Estate Development Venture IV,axarealestatedevelopmentventureiv,AXA Real Estate Development Venture IV,ast_db4e0440e038,112074,112074,open_context_drawer,funds.project_mission_name
asset,ast_db5ed66e1434,asset_name,Brookfield Super-Core Infrastructure Partners,brookfieldsupercoreinfrastructurepartners,Brookfield Super-Core Infrastructure Partners,ast_db5ed66e1434,112607,project_notion_3258ced4-3c47-814f-a8a9-ca481cba91d1,open_asset_drawer,project_name_cleanup_basis.final_asset_name
