project_display_class,asset_id,final_asset_name,asset_semantics,fund_id,final_fund_name,fund_name_status,project_id,current_project_name,project_display_name_candidate,project_display_name_source,project_display_kind,project_id_is_actual_project,project_id_is_pseudo_fund_context,project_name_contains_asset,project_name_contains_fund,project_name_has_purpose_word,project_name_vehicle_like,suggested_display_behavior
missing_project_relationship,ast_04fa217d3e90,"메자닌, 공모주, 이벤트 드리븐, 스팩",physical_asset,,,missing_fund_relationship,,,"메자닌, 공모주, 이벤트 드리븐, 스팩",derived.available_name,missing_project_available_name,false,false,true,false,true,false,프로젝트 없음/관계 발굴 대상. 자산+펀드 drawer에서는 프로젝트 미연결로 표시
missing_project_relationship,ast_0527c87b54b5,을지로3가 도시환경정비구역 제10지구 신축 오피스,physical_asset,,,missing_fund_relationship,,,을지로3가 도시환경정비구역 제10지구 신축 오피스,derived.available_name,missing_project_available_name,false,false,true,false,true,false,프로젝트 없음/관계 발굴 대상. 자산+펀드 drawer에서는 프로젝트 미연결로 표시
missing_project_relationship,ast_0546ff4ee9db,OJP사옥(워싱턴),physical_asset,112035,이지스글로벌사모부동산투자신탁37-1호,fund_name_verified,,,OJP사옥(워싱턴) / 이지스글로벌사모부동산투자신탁37-1호,derived.asset_fund_pair,missing_project_derived_pair,false,false,true,true,true,true,프로젝트 없음/관계 발굴 대상. 자산+펀드 drawer에서는 프로젝트 미연결로 표시
pseudo_project_vehicle_or_fund_context,ast_0555a6694264,이지스제572호부동산일반사모투자회사(1종),vehicle_or_share_class_asset,120084,이지스산업단지환경개선일반사모부동산투자신탁제2호,fund_name_verified,120084,산업단지환경개선펀드 2호,이지스제572호부동산일반사모투자회사(1종),funds.project_mission_name,fund_context_project_label,false,true,true,false,true,true,프로젝트가 아니라 펀드/비히클 컨텍스트명으로 표시
pseudo_project_vehicle_or_fund_context,ast_0555a6694264,이지스제572호부동산일반사모투자회사(1종),vehicle_or_share_class_asset,190015,이지스제572호부동산일반사모투자회사(보통주),fund_name_verified,120084,산업단지환경개선펀드 2호,이지스제572호부동산일반사모투자회사(1종),funds.project_mission_name,fund_context_project_label,false,true,true,true,true,true,프로젝트가 아니라 펀드/비히클 컨텍스트명으로 표시
pseudo_project_vehicle_or_fund_context,ast_0555a6694264,이지스제572호부동산일반사모투자회사(1종),vehicle_or_share_class_asset,190016,이지스제572호부동산일반사모투자회사(1종),fund_name_verified,120084,산업단지환경개선펀드 2호,이지스제572호부동산일반사모투자회사(1종),funds.project_mission_name,fund_context_project_label,false,true,true,true,true,true,프로젝트가 아니라 펀드/비히클 컨텍스트명으로 표시
missing_project_relationship,ast_05637427d30e,도지물류센터,physical_asset,,,missing_fund_relationship,,,도지물류센터,derived.available_name,missing_project_available_name,false,false,true,false,false,false,프로젝트 없음/관계 발굴 대상. 자산+펀드 drawer에서는 프로젝트 미연결로 표시
missing_project_relationship,ast_0595e7f4dccc,동서발전,physical_asset,112584,이지스일반사모투자신탁435호(태양광),fund_name_verified,,,동서발전 / 이지스일반사모투자신탁435호(태양광),derived.asset_fund_pair,missing_project_derived_pair,false,false,true,true,true,true,프로젝트 없음/관계 발굴 대상. 자산+펀드 drawer에서는 프로젝트 미연결로 표시
missing_project_relationship,ast_05a1704bed45,유림빌딩,physical_asset,,,missing_fund_relationship,,,유림빌딩,derived.available_name,missing_project_available_name,false,false,true,false,false,false,프로젝트 없음/관계 발굴 대상. 자산+펀드 drawer에서는 프로젝트 미연결로 표시
missing_project_relationship,ast_05fbe6b353fb,여의도 유수홀딩스부지 오피스텔 개발사업 PF대출,physical_asset,112666,이지스부동산론일반사모부동산투자신탁제1호,fund_name_verified,,,여의도 유수홀딩스부지 오피스텔 개발사업 PF대출 / 이지스부동산론일반사모부동산투자신탁제1호,derived.asset_fund_pair,missing_project_derived_pair,false,false,true,true,true,true,프로젝트 없음/관계 발굴 대상. 자산+펀드 drawer에서는 프로젝트 미연결로 표시
