issue_type,asset_id,asset_name,fund_id,current_fund_name,proposed_fund_name,project_id,current_project_name,proposed_project_display_name,proposed_project_display_source,project_id_is_actual_project,project_id_is_fund_id_pseudo,flags,relationship_status,missing_parts,project_lookup_source,fund_relation_source_table,project_relation_source_table
project_name,ast_f230c76d6975,"AA- 이상 채권, 국내 상장 리츠, 공모주, 스팩",300011,이지스K-리츠올인원일반사모투자신탁,이지스K-리츠올인원일반사모투자신탁,300040,"국내 상장 리츠,  인프라 펀드,  주식, ETF","국내 상장 리츠,  인프라 펀드,  주식, ETF",funds.project_mission_name,false,true,project_id_is_fund_id_pseudo_project;project_name_vehicle_like,asset_fund_project_connected,,asset_project_links.metadata,funds,projects
project_name,ast_f230c76d6975,"AA- 이상 채권, 국내 상장 리츠, 공모주, 스팩",300016,이지스 멀티인컴 일반사모투자신탁 제5호,이지스 멀티인컴 일반사모투자신탁 제5호,112722,"국내 상장 리츠, 상장 인프라펀드, 채권형 펀드","국내 상장 리츠, 상장 인프라펀드, 채권형 펀드",funds.project_mission_name,false,true,project_id_is_fund_id_pseudo_project;project_name_vehicle_like,asset_fund_project_connected,,asset_project_links.metadata,funds,projects
project_name,ast_f230c76d6975,"AA- 이상 채권, 국내 상장 리츠, 공모주, 스팩",300016,이지스 멀티인컴 일반사모투자신탁 제5호,이지스 멀티인컴 일반사모투자신탁 제5호,300011,"국내 상장 리츠, 리츠IPO","국내 상장 리츠, 리츠IPO",funds.project_mission_name,false,true,project_id_is_fund_id_pseudo_project;project_name_vehicle_like,asset_fund_project_connected,,asset_project_links.metadata,funds,projects
project_name,ast_f230c76d6975,"AA- 이상 채권, 국내 상장 리츠, 공모주, 스팩",300016,이지스 멀티인컴 일반사모투자신탁 제5호,이지스 멀티인컴 일반사모투자신탁 제5호,300016,"상장 리츠 메자닌, 국내 상장 리츠, 이벤트 드리븐","상장 리츠 메자닌, 국내 상장 리츠, 이벤트 드리븐",funds.project_mission_name,false,true,project_id_is_fund_id_pseudo_project;project_name_vehicle_like,asset_fund_project_connected,,asset_project_links.metadata,funds,projects
project_name,ast_f230c76d6975,"AA- 이상 채권, 국내 상장 리츠, 공모주, 스팩",300016,이지스 멀티인컴 일반사모투자신탁 제5호,이지스 멀티인컴 일반사모투자신탁 제5호,300040,"국내 상장 리츠,  인프라 펀드,  주식, ETF","국내 상장 리츠,  인프라 펀드,  주식, ETF",funds.project_mission_name,false,true,project_id_is_fund_id_pseudo_project;project_name_vehicle_like,asset_fund_project_connected,,asset_project_links.metadata,funds,projects
project_name,ast_f230c76d6975,"AA- 이상 채권, 국내 상장 리츠, 공모주, 스팩",300040,이지스그린ON일반사모투자신탁제1호,이지스그린ON일반사모투자신탁제1호,112722,"국내 상장 리츠, 상장 인프라펀드, 채권형 펀드","국내 상장 리츠, 상장 인프라펀드, 채권형 펀드",funds.project_mission_name,false,true,project_id_is_fund_id_pseudo_project;project_name_vehicle_like,asset_fund_project_connected,,asset_project_links.metadata,funds,projects
project_name,ast_f230c76d6975,"AA- 이상 채권, 국내 상장 리츠, 공모주, 스팩",300040,이지스그린ON일반사모투자신탁제1호,이지스그린ON일반사모투자신탁제1호,300011,"국내 상장 리츠, 리츠IPO","국내 상장 리츠, 리츠IPO",funds.project_mission_name,false,true,project_id_is_fund_id_pseudo_project;project_name_vehicle_like,asset_fund_project_connected,,asset_project_links.metadata,funds,projects
project_name,ast_f230c76d6975,"AA- 이상 채권, 국내 상장 리츠, 공모주, 스팩",300040,이지스그린ON일반사모투자신탁제1호,이지스그린ON일반사모투자신탁제1호,300016,"상장 리츠 메자닌, 국내 상장 리츠, 이벤트 드리븐","상장 리츠 메자닌, 국내 상장 리츠, 이벤트 드리븐",funds.project_mission_name,false,true,project_id_is_fund_id_pseudo_project;project_name_vehicle_like,asset_fund_project_connected,,asset_project_links.metadata,funds,projects
project_name,ast_f230c76d6975,"AA- 이상 채권, 국내 상장 리츠, 공모주, 스팩",300040,이지스그린ON일반사모투자신탁제1호,이지스그린ON일반사모투자신탁제1호,300040,"국내 상장 리츠,  인프라 펀드,  주식, ETF","국내 상장 리츠,  인프라 펀드,  주식, ETF",funds.project_mission_name,false,true,project_id_is_fund_id_pseudo_project;project_name_vehicle_like,asset_fund_project_connected,,asset_project_links.metadata,funds,projects
fund_name,ast_f239d6c0f82c,와이에이치파워1 주식,,,,,,,,false,false,fund_missing_no_id,missing_one_or_more_names,fund_name; project_name,no_project_link,,
