candidate_row_id,asset_id,current_asset_name,db_asset_master_name,accepted_asset_name,asset_name_action,adoption_source,recommended_db_action,safe_to_update_existing_asset_master,linked_fund_ids,source_fund_code,source_fund_name,source_seq,source_asset_category,source_investment_asset_type,source_operation_status,proposed_address,proposed_pnu,proposed_longitude,proposed_latitude,db_address_text,db_pnu,db_longitude,db_latitude,db_geocode_source,db_building_ledger_source,db_api_enrichment_status,db_last_api_enriched_at,db_data_completeness,db_manual_input_required,address_compare,pnu_compare,longitude_compare,latitude_compare,has_proposed_location,has_current_asset_master_location,has_current_ledger_for_asset,has_current_ledger_for_proposed_pnu,has_any_ledger_for_proposed_pnu,needs_asset_master_location_update,needs_building_ledger_fetch_by_pnu,db_asset_site_area,db_asset_gross_floor_area,db_asset_main_usage,db_asset_completion_date,ledger_pnu,ledger_site_area,ledger_gross_floor_area,ledger_main_usage,ledger_completion_date,fund_assets_id,fund_assets_pnu,fund_assets_address,fund_assets_longitude,fund_assets_latitude,fund_assets_has_building_ledger_metadata,raw_ledger_preview
11,ast_0bbbe8c5910d,이지스일반사모투자신탁435호(태양광),이지스일반사모투자신탁435호(태양광),리에너지,split_or_drawer_list,domestic_excel_fund_code_match,create_or_link_underlying_asset_with_location,False,112584,112584,이지스일반사모투자신탁435호(태양광),6,특별자산,특별자산,운용,경상북도 상주시 사벌국면 용담리 산42-1,4725032526200420001,128.218246198146,36.4863548646006,충청북도 충주시 대소원면 완오리 1165,4313033530111650000,127.837297354945,36.9983951162712,geocoding_cache,building_cache.json,not_checked,,unknown,,different,different,different,different,True,True,True,False,False,True,True,,660.0,공장,,4313033530111650000,,660.0,공장,,58416,,경상북도 상주시 사벌국면 용담리 산 42-1,128.218246150322,36.4863553447739,False,"{""completion_date"": null, ""elevators"": null, ""far"": 0.0, ""floors_down"": null, ""floors_up"": 1, ""gfa"": 660.0, ""height"": 8.8, ""main_usage"": ""공장"", ""parking"": ""옥내 0 / 옥외 0"", ""pnu"": ""4313033530111650000"", ""scr"": 0.0, ""site_area"": 0.0, ""structure"": ""일반철골구조""}"
12,ast_0bbbe8c5910d,이지스일반사모투자신탁435호(태양광),이지스일반사모투자신탁435호(태양광),지우태양광,split_or_drawer_list,domestic_excel_fund_code_match,create_or_link_underlying_asset_with_location,False,112584,112584,이지스일반사모투자신탁435호(태양광),7,특별자산,특별자산,운용,경상남도 산청군 산청읍 내수리 산49-1,4886025029200490001,127.915850592278,35.4334179495002,충청북도 충주시 대소원면 완오리 1165,4313033530111650000,127.837297354945,36.9983951162712,geocoding_cache,building_cache.json,not_checked,,unknown,,different,different,different,different,True,True,True,False,False,True,True,,660.0,공장,,4313033530111650000,,660.0,공장,,58417,,경상남도 산청군 산청읍 내수리 산 49-1,127.915850281403,35.4334184893568,False,"{""completion_date"": null, ""elevators"": null, ""far"": 0.0, ""floors_down"": null, ""floors_up"": 1, ""gfa"": 660.0, ""height"": 8.8, ""main_usage"": ""공장"", ""parking"": ""옥내 0 / 옥외 0"", ""pnu"": ""4313033530111650000"", ""scr"": 0.0, ""site_area"": 0.0, ""structure"": ""일반철골구조""}"
13,ast_0bbbe8c5910d,이지스일반사모투자신탁435호(태양광),이지스일반사모투자신탁435호(태양광),에스지,split_or_drawer_list,domestic_excel_fund_code_match,create_or_link_underlying_asset_with_location,False,112584,112584,이지스일반사모투자신탁435호(태양광),8,특별자산,특별자산,운용,경기도 연천군 중면 합수리 122,4180037026101220000,127.053403053374,38.1678164523042,충청북도 충주시 대소원면 완오리 1165,4313033530111650000,127.837297354945,36.9983951162712,geocoding_cache,building_cache.json,not_checked,,unknown,,different,different,different,different,True,True,True,False,False,True,True,,660.0,공장,,4313033530111650000,,660.0,공장,,58418,,경기도 연천군 중면 합수리 122,127.053402835629,38.1678167415454,False,"{""completion_date"": null, ""elevators"": null, ""far"": 0.0, ""floors_down"": null, ""floors_up"": 1, ""gfa"": 660.0, ""height"": 8.8, ""main_usage"": ""공장"", ""parking"": ""옥내 0 / 옥외 0"", ""pnu"": ""4313033530111650000"", ""scr"": 0.0, ""site_area"": 0.0, ""structure"": ""일반철골구조""}"
14,ast_0bbbe8c5910d,이지스일반사모투자신탁435호(태양광),이지스일반사모투자신탁435호(태양광),케이앤씨벨에포크,split_or_drawer_list,domestic_excel_fund_code_match,create_or_link_underlying_asset_with_location,False,112584,112584,이지스일반사모투자신탁435호(태양광),9,특별자산,특별자산,운용,전라남도 진도군 지산면 와우리 137-3,4690035030101370003,126.145784395077,34.4273962344761,충청북도 충주시 대소원면 완오리 1165,4313033530111650000,127.837297354945,36.9983951162712,geocoding_cache,building_cache.json,not_checked,,unknown,,different,different,different,different,True,True,True,False,False,True,True,,660.0,공장,,4313033530111650000,,660.0,공장,,58419,,전라남도 진도군 지산면 와우리 137-3,126.145784212296,34.4273968869183,False,"{""completion_date"": null, ""elevators"": null, ""far"": 0.0, ""floors_down"": null, ""floors_up"": 1, ""gfa"": 660.0, ""height"": 8.8, ""main_usage"": ""공장"", ""parking"": ""옥내 0 / 옥외 0"", ""pnu"": ""4313033530111650000"", ""scr"": 0.0, ""site_area"": 0.0, ""structure"": ""일반철골구조""}"
15,ast_0bbbe8c5910d,이지스일반사모투자신탁435호(태양광),이지스일반사모투자신탁435호(태양광),케이에이치테크단북1호,split_or_drawer_list,domestic_excel_fund_code_match,create_or_link_underlying_asset_with_location,False,112584,112584,이지스일반사모투자신탁435호(태양광),10,특별자산,특별자산,운용,경상북도 예천군 풍양면 흥천리 356,4790041024103560000,128.321153420258,36.5046457796687,충청북도 충주시 대소원면 완오리 1165,4313033530111650000,127.837297354945,36.9983951162712,geocoding_cache,building_cache.json,not_checked,,unknown,,different,different,different,different,True,True,True,False,False,True,True,,660.0,공장,,4313033530111650000,,660.0,공장,,58420,,"경상북도 예천군 풍양면 홍천리 356, 357, 390",,,False,"{""completion_date"": null, ""elevators"": null, ""far"": 0.0, ""floors_down"": null, ""floors_up"": 1, ""gfa"": 660.0, ""height"": 8.8, ""main_usage"": ""공장"", ""parking"": ""옥내 0 / 옥외 0"", ""pnu"": ""4313033530111650000"", ""scr"": 0.0, ""site_area"": 0.0, ""structure"": ""일반철골구조""}"
16,ast_0bbbe8c5910d,이지스일반사모투자신탁435호(태양광),이지스일반사모투자신탁435호(태양광),미션,split_or_drawer_list,domestic_excel_fund_code_match,create_or_link_underlying_asset_with_location,False,112584,112584,이지스일반사모투자신탁435호(태양광),11,특별자산,특별자산,운용,경상북도 영주시 조와동 346,4721011000103460000,128.626195302659,36.8736398842617,충청북도 충주시 대소원면 완오리 1165,4313033530111650000,127.837297354945,36.9983951162712,geocoding_cache,building_cache.json,not_checked,,unknown,,different,different,different,different,True,True,True,False,False,True,True,,660.0,공장,,4313033530111650000,,660.0,공장,,58421,,경상북도 영주시 조와동 346,128.626195223085,36.8736403288388,False,"{""completion_date"": null, ""elevators"": null, ""far"": 0.0, ""floors_down"": null, ""floors_up"": 1, ""gfa"": 660.0, ""height"": 8.8, ""main_usage"": ""공장"", ""parking"": ""옥내 0 / 옥외 0"", ""pnu"": ""4313033530111650000"", ""scr"": 0.0, ""site_area"": 0.0, ""structure"": ""일반철골구조""}"
17,ast_0bbbe8c5910d,이지스일반사모투자신탁435호(태양광),이지스일반사모투자신탁435호(태양광),윈즈에너지,split_or_drawer_list,domestic_excel_fund_code_match,create_or_link_underlying_asset_with_location,False,112584,112584,이지스일반사모투자신탁435호(태양광),12,특별자산,특별자산,운용,경상북도 영주시 조와동 346,4721011000103460000,128.626195302659,36.8736398842617,충청북도 충주시 대소원면 완오리 1165,4313033530111650000,127.837297354945,36.9983951162712,geocoding_cache,building_cache.json,not_checked,,unknown,,different,different,different,different,True,True,True,False,False,True,True,,660.0,공장,,4313033530111650000,,660.0,공장,,58422,,경상북도 영주시 조와동 346,128.626195223085,36.8736403288388,False,"{""completion_date"": null, ""elevators"": null, ""far"": 0.0, ""floors_down"": null, ""floors_up"": 1, ""gfa"": 660.0, ""height"": 8.8, ""main_usage"": ""공장"", ""parking"": ""옥내 0 / 옥외 0"", ""pnu"": ""4313033530111650000"", ""scr"": 0.0, ""site_area"": 0.0, ""structure"": ""일반철골구조""}"
18,ast_0bbbe8c5910d,이지스일반사모투자신탁435호(태양광),이지스일반사모투자신탁435호(태양광),이큐에너지,split_or_drawer_list,domestic_excel_fund_code_match,create_or_link_underlying_asset_with_location,False,112584,112584,이지스일반사모투자신탁435호(태양광),13,특별자산,특별자산,운용,경상북도 영주시 조와동 346,4721011000103460000,128.626195302659,36.8736398842617,충청북도 충주시 대소원면 완오리 1165,4313033530111650000,127.837297354945,36.9983951162712,geocoding_cache,building_cache.json,not_checked,,unknown,,different,different,different,different,True,True,True,False,False,True,True,,660.0,공장,,4313033530111650000,,660.0,공장,,58423,,경상북도 영주시 조와동 346,128.626195223085,36.8736403288388,False,"{""completion_date"": null, ""elevators"": null, ""far"": 0.0, ""floors_down"": null, ""floors_up"": 1, ""gfa"": 660.0, ""height"": 8.8, ""main_usage"": ""공장"", ""parking"": ""옥내 0 / 옥외 0"", ""pnu"": ""4313033530111650000"", ""scr"": 0.0, ""site_area"": 0.0, ""structure"": ""일반철골구조""}"
19,ast_0bbbe8c5910d,이지스일반사모투자신탁435호(태양광),이지스일반사모투자신탁435호(태양광),소망,split_or_drawer_list,domestic_excel_fund_code_match,create_or_link_underlying_asset_with_location,False,112584,112584,이지스일반사모투자신탁435호(태양광),14,특별자산,특별자산,운용,충청남도 서천군 서면 원두리 산79-1,4477041025200790001,126.581342387506,36.1688014842476,충청북도 충주시 대소원면 완오리 1165,4313033530111650000,127.837297354945,36.9983951162712,geocoding_cache,building_cache.json,not_checked,,unknown,,different,different,different,different,True,True,True,False,False,True,True,,660.0,공장,,4313033530111650000,,660.0,공장,,58424,,충청남도 서천군 서면 원두리 산 79-1,126.581342475573,36.168802003673,False,"{""completion_date"": null, ""elevators"": null, ""far"": 0.0, ""floors_down"": null, ""floors_up"": 1, ""gfa"": 660.0, ""height"": 8.8, ""main_usage"": ""공장"", ""parking"": ""옥내 0 / 옥외 0"", ""pnu"": ""4313033530111650000"", ""scr"": 0.0, ""site_area"": 0.0, ""structure"": ""일반철골구조""}"
20,ast_0bbbe8c5910d,이지스일반사모투자신탁435호(태양광),이지스일반사모투자신탁435호(태양광),청수,split_or_drawer_list,domestic_excel_fund_code_match,create_or_link_underlying_asset_with_location,False,112584,112584,이지스일반사모투자신탁435호(태양광),15,특별자산,특별자산,운용,충청남도 서천군 서면 원두리 산79-1,4477041025200790001,126.581342387506,36.1688014842476,충청북도 충주시 대소원면 완오리 1165,4313033530111650000,127.837297354945,36.9983951162712,geocoding_cache,building_cache.json,not_checked,,unknown,,different,different,different,different,True,True,True,False,False,True,True,,660.0,공장,,4313033530111650000,,660.0,공장,,58425,,충청남도 서천군 서면 원두리 산 79-1,126.581342475573,36.168802003673,False,"{""completion_date"": null, ""elevators"": null, ""far"": 0.0, ""floors_down"": null, ""floors_up"": 1, ""gfa"": 660.0, ""height"": 8.8, ""main_usage"": ""공장"", ""parking"": ""옥내 0 / 옥외 0"", ""pnu"": ""4313033530111650000"", ""scr"": 0.0, ""site_area"": 0.0, ""structure"": ""일반철골구조""}"
