asset_id,current_asset_name,proposed_asset_name,asset_name_resolution_status,asset_name_action,is_fund_or_vehicle_fallback_asset,direct_fund_asset_candidates,same_fund_underlying_candidates,fund_asset_field_candidates,project_name_candidates,alias_name_candidates,direct_fund_asset_details_json,linked_fund_ids,linked_project_ids,linked_fund_count,linked_project_count,drawer_behavior_hint
ast_e45b98ccfc65,"세운 6-3-1,2구역 도시환경정비사업","세운 6-3-1,2구역 도시환경정비사업",current_asset_name_ok,keep,false,"세운 6-3-1,2구역 도시환경정비사업","세운 6-3-1,2구역 도시환경정비사업",세운 6-3-1 | 2구역 도시환경정비사업,"세운 6-3-1,2구역 도시환경정비사업","세운 6-3-1,2구역 도시환경정비사업","[{""name"":""세운 6-3-1,2구역 도시환경정비사업"",""address"":""서울특별시 중구 을지로4가 261-1 일원"",""type"":""""}]",112126,112126,1,1,entity_click_opens_detail
ast_e47259b95cda,디앤피입암리1호,디앤피입암리1호,current_asset_name_ok,keep,false,,,,,,[],,,0,0,entity_click_opens_detail
ast_e47c4c7b3344,오산세교 주거시설,오산세교 주거시설,current_asset_name_ok,keep,false,오산세교 주거시설,오산세교 주거시설,오산세교 주거시설,오산세교 주거시설,오산세교 주거시설,"[{""name"":""오산세교 주거시설"",""address"":""경기도 오산시\n오산세교2지구\nM1BL"",""type"":""""}]",112519,112519,1,1,entity_click_opens_detail
ast_e4e8c1b51392,상봉 청년주택 개발,상봉 청년주택 개발,current_asset_name_ok,keep,false,,,,,,[],,,0,0,entity_click_opens_detail
ast_e4f79a3917ba,"BBB+ 이하 채권, 공모주, 스팩, 이벤트 드리븐","BBB+ 이하 채권, 공모주, 스팩, 이벤트 드리븐",current_asset_name_ok,keep,false,,,,,,[],,,0,0,entity_click_opens_detail
ast_e505ab13fd73,타이거대체전문투자형사모부동산투자신탁5호(미국캘리포니아주오렌지카운티소재상업용오피스 투자),타이거대체전문투자형사모부동산투자신탁5호(미국캘리포니아주오렌지카운티소재상업용오피스 투자),current_asset_name_ok,keep,false,타이거대체전문투자형사모부동산투자신탁5호(미국캘리포니아주오렌지카운티소재상업용오피스 투자),타이거대체전문투자형사모부동산투자신탁5호(미국캘리포니아주오렌지카운티소재상업용오피스 투자),타이거대체전문투자형사모부동산투자신탁5호(미국캘리포니아주오렌지카운티소재상업용오피스 투자),타이거대체전문투자형사모부동산투자신탁5호(미국캘리포니아주오렌지카운티소재상업용오피스 투자),타이거대체전문투자형사모부동산투자신탁5호(미국캘리포니아주오렌지카운티소재상업용오피스 투자),"[{""name"":""타이거대체전문투자형사모부동산투자신탁5호(미국캘리포니아주오렌지카운티소재상업용오피스 투자)"",""address"":""2 MacArthur Place, Santa Ana, CA 92707"",""type"":""""},{""name"":""타이거대체전문투자형사모부동산투자신탁5호(미국캘리포니아주오렌지카운티소재상업용오피스 투자)"",""address"":""2 MacArthur Place, Santa Ana, CA 92707"",""type"":""""},{""name"":""타이거대체전문투자형사모부동산투자신탁5호(미국캘리포니아주오렌지카운티소재상업용오피스 투자)"",""address"":""2 MacArthur Place, Santa Ana, CA 92707"",""type"":""""},{""name"":""타이거대체전문투자형사모부동산투자신탁5호(미국캘리포니아주오렌지카운티소재상업용오피스 투자)"",""address"":""2 MacArthur Place, Santa Ana, CA 92707"",""type"":""""}]",112418 | 112419 | 112420 | 112705,112418 | 112419 | 112420 | 112705,4,4,entity_click_opens_asset_fund_project_picker
ast_e5211e566e98,New York 564 6th Avenue Senior Loan,New York 564 6th Avenue Senior Loan,current_asset_name_ok,keep,false,New York 564 6th Avenue Senior Loan,New York 564 6th Avenue Senior Loan,New York 564 6th Avenue Senior Loan,New York 564 6th Avenue Senior Loan,New York 564 6th Avenue Senior Loan,"[{""name"":""New York 564 6th Avenue Senior Loan"",""address"":""564 5th Avenue New York, NY 10036"",""type"":""오피스복합""}]",112308,112308 | project_notion_3258ced4-3c47-8167-bdc2-fc41bd66f9b4,1,2,asset_click_opens_project_list
ast_e534a7538cd4,Courtyard Charlotte Arrowood,Courtyard Charlotte Arrowood,current_asset_name_ok,keep,false,,,,,,[],,,0,0,entity_click_opens_detail
ast_e53c191931b7,하이파킹 대여금,하이파킹 대여금,current_asset_name_ok,keep,false,하이파킹 대여금,하이파킹 대여금,하이파킹 대여금,하이파킹 대여금,하이파킹 대여금,"[{""name"":""하이파킹 대여금"",""address"":"""",""type"":""""}]",120053,120053,1,1,entity_click_opens_detail
ast_e547d4e384c5,대전 둔산파이낸스빌딩,대전 둔산파이낸스빌딩,current_asset_name_ok,keep,false,대전 둔산파이낸스빌딩,대전 둔산파이낸스빌딩,대전 둔산파이낸스빌딩,둔산파이낸스센터 | 대전 둔산파이낸스빌딩,대전 둔산파이낸스빌딩 | 둔산파이낸스센터,"[{""name"":""대전 둔산파이낸스빌딩"",""address"":""대전광역시 서구 둔산동 1413"",""type"":""오피스""},{""name"":""대전 둔산파이낸스빌딩"",""address"":""대전광역시 서구 둔산동 1413"",""type"":""오피스""},{""name"":""대전 둔산파이낸스빌딩"",""address"":""대전광역시 서구 둔산동 1413"",""type"":""오피스""}]",112778 | 112779 | 112780,112778 | 112779 | 112780 | project_notion_3258ced4-3c47-8191-b315-e81df37e9631 | project_notion_3268ced4-3c47-8162-bbc1-c31d85c20612,3,5,entity_click_opens_asset_fund_project_picker
ast_e564a0a4bfde,"국내 주식, 채권, ETF, 공모주, 스팩","국내 주식, 채권, ETF, 공모주, 스팩",current_asset_name_ok,keep,false,,,,,,[],,,0,0,entity_click_opens_detail
ast_e57ce277323d,성수동2가 268-2 업무시설 개발사업 브릿지대출,성수동2가 268-2 업무시설 개발사업 브릿지대출,current_asset_name_ok,keep,false,,,,,,[],,,0,0,entity_click_opens_detail
ast_e58f637f20d9,신도림핀포인트,신도림핀포인트,current_asset_name_ok,keep,false,,,,,,[],,,0,0,entity_click_opens_detail
ast_e5daaa392be6,Washington D.C. Woodies Building Senior Loan,Washington D.C. Woodies Building Senior Loan,current_asset_name_ok,keep,false,Washington D.C. Woodies Building Senior Loan,Washington D.C. Woodies Building Senior Loan,Washington D.C. Woodies Building Senior Loan,Washington D.C. Woodies Building Senior Loan,Washington D.C. Woodies Building Senior Loan,"[{""name"":""Washington D.C. Woodies Building Senior Loan"",""address"":""1001 & 1025 F Street NW, Washington, D.C. 20004"",""type"":""오피스""},{""name"":""Washington D.C. Woodies Building Senior Loan"",""address"":""1001 & 1025 F Street NW, Washington, D.C. 20004"",""type"":""오피스""},{""name"":""Washington D.C. Woodies Building Senior Loan"",""address"":""1001 & 1025 F Street NW, Washington, D.C. 20004"",""type"":""오피스""}]",112092 | 112102 | 112103,112092 | 112102 | 112103 | project_notion_3258ced4-3c47-814a-b6c2-fcbca891eddd | project_notion_3268ced4-3c47-81dd-8f0a-fd0f8836744c,3,5,entity_click_opens_asset_fund_project_picker
ast_e60d36b43a64,해운대 센텀 한진CY부지 Bridge Loan 선순위 담보대출 투자,해운대 센텀 한진CY부지 Bridge Loan 선순위 담보대출 투자,current_asset_name_ok,keep,false,해운대 센텀 한진CY부지 Bridge Loan 선순위 담보대출 투자,해운대 센텀 한진CY부지 Bridge Loan 선순위 담보대출 투자,해운대 센텀 한진CY부지 Bridge Loan 선순위 담보대출 투자,해운대 센텀 한진CY부지 Bridge Loan 선순위 담보대출 투자,해운대 센텀 한진CY부지 Bridge Loan 선순위 담보대출 투자,"[{""name"":""해운대 센텀 한진CY부지 Bridge Loan 선순위 담보대출 투자"",""address"":""부산광역시 해운대구 재송동 856-1"",""type"":""""}]",112449,112449,1,1,entity_click_opens_detail
ast_e6354f73d483,LA Wilshire Grand Center Senior Loan,LA Wilshire Grand Center Senior Loan,current_asset_name_ok,keep,false,,,,,,[],,,0,0,entity_click_opens_detail
ast_e658d751f1bd,판교 테크원타워,판교 테크원타워,current_asset_name_ok,keep,false,,,,,,[],,,0,0,entity_click_opens_detail
ast_e6eadbaa08bd,이지스일반사모부동산투자신탁232호(운용),클럽디 속리산,auto_single_underlying_candidate,update_asset_name,true,클럽디 속리산,클럽디 속리산,클럽디 속리산,클럽디 속리산,클럽디 속리산,"[{""name"":""클럽디 속리산"",""address"":""탄부면 상장리 643-3"",""type"":""""}]",112279 | 112280 | 112281 | 112282,112279 | 112280 | 112281 | 112282,4,4,entity_click_opens_asset_fund_project_picker
