fund_id,short_name,fund_name,vehicle_type,holding_type,fund_form,multi_class_type,aum_inclusion_flag,status,aggregate_asset_names,aggregate_beneficiary_names,aggregate_lender_names,source_row_number,row_hash
112021,17-3호,이지스KORIF사모부동산투자신탁17-3호,Fund,일반펀드,일반펀드,일반,Y,청산,London Office Ropemaker Place,,,22,1174b17e5acdd308b6e3bdcd4fd1db6fc131dd01bc90307c45adf6df3029b731
112022,17-4호,이지스KORIF사모부동산투자신탁17-4호,Fund,일반펀드,일반펀드,일반,Y,청산,London Office Ropemaker Place,,,23,44d49c879bc028696d10f42888ed5dca63f57e369285305d1c78dab34a1fe43d
112024,25호,이지스일반사모부동산투자신탁25호(운용),Fund,모펀드,수익차등(운용),수익차등,Y,운용,트윈트리타워,"이지스레지던스리츠, 이지스밸류리츠","삼성화재, 현대해상화재보험",24,016ccbba73db8742ab4959aa2b0f29a2a01fdebb4c8d0b8114bf9f0c31fb33c5
112025,22호,이지스 KORIF 사모부동산투자신탁 22호,Fund,일반펀드,일반펀드,일반,Y,청산,"서영빌딩, 탑빌딩, 트리스빌딩, 호수빌딩","GRANDEUR CAYMAN LTD., 과학기술인공제회",,25,cc46a99cda593656029448d27293fdb4ea880253efc776dd680c669417aa5d52
112026,20-1호,이지스해외간접RES사모부동산투자신탁제20-1호,Fund,일반펀드,일반펀드,일반,Y,운용,PartnersGroup Real Estate Secondary 2013,"개인(박상태), 과학기술인공제회",,26,9198f040da0ce0537dd35c259198818e16c40381754dd86172538243bdb3e515
112027,23호,이지스타이탄사모부동산투자신탁23호,Fund,일반펀드,일반펀드,일반,N,청산,,,,27,ea9fa782887d154c69f17c6c33058897adcbe4b8882711339822171cafa6fb18
112028,24호,이지스사모부동산투자신탁24호,Fund,일반펀드,일반펀드,일반,Y,청산,광화문G타워,"경찰공제회, 대한지방행정공제회, 삼성생명보험, 성담, 성담솔트베이, 신한라이프생명보험, 신한캐피탈, 케이티앤지","삼성생명, 신한라이프생명보험",28,76925d2439cceafbec3b9b3832df47083eca305375445a11f5885f5cf6f1c6fc
112029,28호,이지스엔지제28호사모부동산투자유한회사,Fund,일반펀드,일반펀드,일반,Y,운용,노스게이트빌딩,M&G (APF 2 S.a.r.l),"M&G (APF 1 S.a.r.l), OCBC Bank",29,b74dff26e7993eae9580fea807b831e89e6be7ece89d55224d24b6a9f244d452
112030,20-2호,이지스해외간접RES사모부동산투자신탁제20-2호,Fund,일반펀드,일반펀드,일반,Y,운용,PartnersGroup Real Estate Secondary 2013,"군인공제회, 전문건설공제조합",,30,28876f22717d57340eb29470e6b2ee6b9bcffb610d4315d3e7863cee282c7b75
112031,31호,이지스사모부동산투자신탁31호,Fund,일반펀드,일반펀드,일반,N,청산,,,,31,d428e568ac82e131a2ea3974eff713e20a89059db3cf4d22bd99a1f318dd7ad3
112032,20-3호,이지스해외간접RES사모부동산투자신탁제20-3호,Fund,일반펀드,일반펀드,일반,Y,운용,PartnersGroup Real Estate Secondary 2013,"개인(박상태), 경찰공제회",,32,a05a7bc5f02bcdb9d8ec54f9cedcf6bd0194e24ee87b56d9709e4173e11f61e3
112033,32호,이지스티디에이치제32호사모부동산투자유한회사,Fund,일반펀드,일반펀드,일반,Y,운용,대구시티센터,"I.O.IV, 퍼시픽제33호전문사모부동산투자유한회사","ASSKR1, IOIV, TDH2, 퍼시픽제33호전문사모부동산투자유한회사",33,3af9508a0eb42b740a78f48807f672ef93d0a5de2165a20827801ecfc843a0b5
112034,33호,이지스일반사모부동산투자신탁33호(운용),Fund,모펀드,수익차등(운용),수익차등,Y,운용,신라스테이제주,"신한캐피탈, 아이비케이투자증권, 이지스자산운용, 한국투자증권","신한은행, 제주은행",34,f972f061b6a13a31a8ac50c42a2ee3cd18a39ae4a5412c96e52dd7f5d704414d
112035,37-1호,이지스글로벌사모부동산투자신탁37-1호,Fund,일반펀드,일반펀드,일반,Y,운용,"Sanofi 본사(파리), Bell 본사(몬트리올), OJP사옥(워싱턴)","교보생명보험, 농협생명보험, 롯데손해보험, 새마을금고중앙회, 신용협동조합중앙회, 한화생명보험",,35,f85f134d23cc47a9ec1512889bacdd966ffdeaf50af8b0da376d65b40c931931
112036,37-2호,이지스글로벌사모부동산투자신탁37-2호,Fund,일반펀드,일반펀드,일반,Y,운용,"Sanofi 본사(파리) 대출, Bell 본사(몬트리올) 대출, OJP사옥(워싱턴) 대출","교보생명보험, 농협생명보험, 롯데손해보험, 새마을금고중앙회, 신용협동조합중앙회, 한화생명보험",,36,225c6518a83475b590b5635148ee6a59011736aca5f5ec3d9d4ee0ca6cf7724f
112037,30호,이지스복합쇼핑몰사모부동산투자신탁30호,Fund,일반펀드,일반펀드,일반,Y,운용,롯데수원역쇼핑타운토지,"과학기술인공제회, 국민연금공단, 이지스자산운용",DB손해보험,37,ff04e2b742b3be613ca80189a80bf20d1cd54363127cdc0669815d9b871828a1
112038,35호,이지스사모부동산투자신탁35호,Fund,일반펀드,일반펀드,일반,Y,운용,오토웨이타워,"넥슨코리아, 한국교직원공제회",삼성생명,38,c83edb60a9d55220e04e52df2cd06bed4b6fe6b2b75d014dba16c8bda9cdb5bb
112039,42호,이지스일반사모부동산투자신탁42호(운용),Fund,모펀드,수익차등(운용),수익차등,Y,운용,정동빌딩,"ADCF Megatrends Singapore Pte Ltd, Nuveen Group Holdings Limited","우리은행, 우리은행(캡스톤대출플랫폼일반사모투자신탁2호의 신탁업자)",39,3d0bba7902baaccb9ea5601b03ed33d138d1352b8913f7d3f752a8189ab93435
112040,45호,이지스KORIF45호,Fund,,해당없음,,N,미설정,,,,40,566166976ce7eb63c906a49ee93fa39572cb1bcab9c1547efcde4bf55f604b41
112041,40호,이지스해외간접ELP사모부동산투자신탁제40호,Fund,일반펀드,일반펀드,일반,Y,청산,CBRE IM European Logistics Partners Fund,대한지방행정공제회,,41,dba9d598e8768ee9564875262f4624e4e804705151208cd0af5e941d1c56df11
112042,43호,이지스일반사모부동산모투자신탁43호,Fund,모펀드,모펀드,일반,Y,청산,신라스테이서대문,"이지스사모부동산자투자신탁 43-1호, 이지스사모부동산자투자신탁 43-2호","국민은행, 수협은행",42,cb0e5753b8f65516208d8f018e8d2db8a0c3e7e13a90b3af5f55142cede3e9e2
112043,43-1호,이지스사모부동산자투자신탁43-1호,Fund,자펀드,자펀드,일반,Y,청산,이지스모 43호,,,43,f8b1c2022fd5576db15b1f00ed23c9f76e4220db6b1dc101f071997fb8dc4786
112044,43-2호,이지스사모부동산자투자신탁43-2호,Fund,자펀드,자펀드,일반,Y,청산,이지스모 43호,,,44,46aed3ead075125805816b64e27b6fb2bfd71b471142a48cdaf735d77ae029a8
112045,26호,이지스사모부동산투자신탁26호,Fund,일반펀드,일반펀드,일반,Y,청산,씨티센터타워,,,45,555b1ec68d77cb20ced418b3b6266d89a72f11670144c0c577b4b798805d756d
112046,15호,이지스프랑스오피스사모부동산투자신탁제15호,Fund,일반펀드,일반펀드,일반,Y,청산,프랑스 Orange Telecome 오피스,"경찰공제회, 새마을금고중앙회",,46,ede37685beb00d1355cf6572e526562177f6d93f9df822b090f167a149f0ebc2
