asset_id,canonical_name,pnu,status,missing_fields,fill_fields,item_count,selected_mgm_bldrgst_pk,new_floors_down,new_elevators,new_completion_date,new_site_area,new_scr,new_far,new_main_usage,new_structure,new_floors_up,new_parking,new_height
ast_a5d1e84522ed,진해오션리조트 선순위 대출,4812915100100010000,not_found,"site_area,gross_floor_area,scr,far,structure,floors_up,floors_down,elevators,parking,height",,0,,,,,,,,,,,,
ast_7f66d2a674c4,동일타워,1168010600110040000,found,"floors_down,elevators","floors_down,elevators,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",1,10241100213087,7,7,,,,,,,,,
ast_cf7655c37f5e,일산CLC,4128510400108890000,found,"floors_down,elevators,completion_date","floors_down,elevators,completion_date,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",1,11041100391381,8,16,2019-11-29,,,,,,,,
ast_d052165ba593,NC백화점(강서),1150010200106890000,found,"site_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height","site_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",1,10171100217150,7,10,,11213.6,56.82,464.19,판매시설,일반철골구조,10,옥내 931 / 옥외 0,51.26
ast_74aec6939fcf,포포인츠바이쉐라톤조선서울명동,1114016100100890000,found,"site_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height","site_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",1,10031100236906,3,5,,1546.0,59.68,1168.38,숙박시설,철근콘크리트구조,26,옥내 20 / 옥외 1,99.0
ast_4e209ca0367c,판교아이스퀘어E동,4113111500103390000,found,"floors_down,elevators","floors_down,elevators,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",6,10891100336794,5,7,,,,,,,,,
ast_fb643944b2a8,B스퀘어,2623010400108630001,found,"floors_down,elevators","floors_down,elevators,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",1,1032122826,7,10,,,,,,,,,
ast_e6eadbaa08bd,클럽디 속리산,4372034027106430003,found,"floors_down,elevators,completion_date","floors_down,elevators,completion_date,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",1,11591100188497,2,1,2013-09-02,,,,,,,,
ast_da18f033a8bc,이지스 130호(모) 제2-1종 수익증권,1114011000100990000,found,"site_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height,completion_date","site_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height,completion_date,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",1,10031100205574,6,16,2011-06-29,6937.6,59.95,923.53,업무시설,철골철근콘크리트구조,17,옥내 436 / 옥외 0,75.24
ast_40c746673d87,시그니처타워,1114011000100990000,found,"site_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height","site_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",1,10031100205574,6,16,,6937.6,59.95,923.53,업무시설,철골철근콘크리트구조,17,옥내 436 / 옥외 0,75.24
