character_maximum_length,column_default,column_name,data_type,is_nullable,numeric_precision,numeric_scale,ordinal_position,table_name,table_schema,table_type,udt_name
,,invested_loan_won,bigint,YES,64,0,33,v_funds_enriched,public,VIEW,int8
,,invested_deposit_won,bigint,YES,64,0,34,v_funds_enriched,public,VIEW,int8
,,invested_aum,bigint,YES,64,0,35,v_funds_enriched,public,VIEW,int8
,,termination_date,date,YES,,,36,v_funds_enriched,public,VIEW,date
,,aum_status,text,YES,,,37,v_funds_enriched,public,VIEW,text
,,aum_source,text,YES,,,38,v_funds_enriched,public,VIEW,text
,,recruitment_type,text,YES,,,39,v_funds_enriched,public,VIEW,text
,,legal_form,text,YES,,,40,v_funds_enriched,public,VIEW,text
,,fund_class,text,YES,,,41,v_funds_enriched,public,VIEW,text
,,fund_type,text,YES,,,42,v_funds_enriched,public,VIEW,text
,,division,text,YES,,,43,v_funds_enriched,public,VIEW,text
,,primary_region,text,YES,,,44,v_funds_enriched,public,VIEW,text
,,is_development,text,YES,,,45,v_funds_enriched,public,VIEW,text
,,is_delegated,text,YES,,,46,v_funds_enriched,public,VIEW,text
,,dept_resolved,text,YES,,,47,v_funds_enriched,public,VIEW,text
,,manager_resolved,text,YES,,,48,v_funds_enriched,public,VIEW,text
